node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
32,74003,29934,60718,50865,28781,37048,51480,56836,44874,8985,50075,66325,101683,85092,91197,65550,60152,23438,65836,80612,26364,43719,22417,16803,31995,106042,29600,22165,50087,1482676
33,55005,41060,55939,53448,59838,126537,23717,55935,30000,33429,57148,19175,38690,40406,95628,51377,58357,81345,51392,61409,94481,18380,20275,36106,48397,50201,169586,33871,26904,1588036
34,43133,10691,62363,36854,79403,54519,87083,51326,3247,64604,16510,52456,58087,35346,59528,85192,81838,74855,44264,82816,67272,123264,6670,21044,60647,40369,42517,106021,30625,1582544
35,106034,57324,77512,75847,24314,98071,41228,66828,53404,95772,97059,69393,78330,35468,62215,60574,87035,124708,94077,97251,74878,51399,117266,45643,29331,48300,121007,99981,178227,2268476
36,65987,73978,37985,37427,25182,12369,20637,14413,89117,92262,43654,39714,73385,56209,86003,90610,46177,44318,73140,68472,149434,44234,81438,98334,40822,87682,104558,76662,59814,1834017
37,115689,111975,61359,45511,75309,70983,32541,35862,78090,72706,255650,101128,69949,53143,77403,42797,126099,114198,67905,117086,76715,34583,65895,100876,38864,47805,106376,49131,20136,2265764
38,112700,55960,73599,60269,91210,127445,135022,90035,160563,90990,32125,85027,39658,55990,100424,88413,47854,75686,47264,18256,49468,45528,65104,46392,70644,62751,154673,54676,24216,2161942
39,106323,123136,98190,71526,108284,106875,60679,101847,103811,137230,54474,53132,73695,67000,52357,85933,114726,88916,39598,56809,25423,100047,87959,52556,109419,95342,202111,55516,27548,2460462
40,103569,39210,35445,58016,73304,49924,67521,47251,60209,35401,38509,27342,77558,19971,24071,68569,87128,49926,24781,31392,27056,22673,19185,76325,85899,88808,32108,41659,69771,1482581
41,35964,99079,86976,39431,101053,62379,127335,108552,21574,110400,25044,32490,50468,60290,23949,29463,68400,22499,43433,47379,45956,15216,77646,50217,53494,73904,79375,44651,77285,1713902
42,38351,11446,65184,117588,23339,49266,25322,37956,70241,58610,78290,42682,21306,51871,35206,58166,60575,24571,38777,41408,38679,15755,29128,36945,20078,55496,78318,70181,39797,1334532
43,43678,125018,74692,103269,79913,111745,193876,115907,128215,206480,152308,135485,45140,13669,45244,72756,60029,78308,34393,77823,90577,105044,27345,90024,98985,72041,87360,78725,91035,2639084
44,73166,48039,16945,22545,97414,129883,94469,152839,103592,212573,226513,108644,52982,59849,90156,87104,73208,66947,57432,70061,72328,58860,59084,22823,64007,71678,89573,47865,77653,2408232
45,57769,68588,48446,82716,100241,103423,122994,136702,122624,144443,216421,36962,65758,37877,42946,74384,67011,42539,68854,103536,101804,67199,58979,68822,124995,56437,102823,71481,126960,2523734
46,41127,33188,69615,102472,86047,75540,91408,101316,54343,47541,227204,107328,37439,53783,79550,102540,49712,103934,52964,98642,62268,59728,87808,107187,58268,63141,81338,103927,96827,2336185
47,32463,108196,90463,147861,102784,83133,93748,95624,97028,110841,136407,22326,90296,41593,36916,0,69352,50811,72386,76797,43844,90566,103704,65916,23014,111345,46755,58243,113900,2216312
48,77342,52821,92291,83101,127003,90351,92629,36006,35846,29572,158567,22341,44231,59666,35428,21996,142260,97933,27293,92777,56928,52974,66073,68626,62760,34790,46689,58188,58290,1924772
49,61040,125024,58227,59303,105244,72563,37319,36809,69558,66528,202946,61801,92904,72679,45777,45047,10021,32143,50631,36455,62912,117408,65091,85827,89168,23511,139420,46527,72729,2044612
50,98178,66584,62246,56632,86252,46252,82492,65861,47641,46953,168852,60216,49955,85361,91845,36521,20217,133851,35352,66370,62660,61091,87737,61899,35198,50572,15690,64321,66653,1913452
51,51603,60011,38025,56195,53890,122499,109961,56709,24418,103808,38320,50271,118846,44547,85602,25043,49979,68945,96301,68865,34268,95677,134543,86255,79444,44117,130937,131237,106953,2167269
52,54641,28614,40142,64670,65701,155444,57673,55638,38646,96797,51884,73240,143994,63736,80944,77676,75208,54687,122844,42515,46335,103964,95011,124881,71531,79947,161353,32794,73029,2233539
53,72094,110852,34297,46913,38697,164971,136199,65631,91225,70407,58750,36569,72299,91108,62246,35066,63519,58891,73958,72833,102117,62162,76443,101166,133281,116528,128451,43224,136238,2356135
54,91852,95285,30000,25094,37466,100803,70792,70846,38717,81488,91363,100268,36354,74925,123379,93737,56265,49521,106132,80703,35545,43783,92623,79055,69788,83448,129560,39030,23304,2051126
55,51557,39450,33113,27156,37690,79180,63673,70441,66216,66255,125472,38424,66215,132179,88832,80724,65054,14980,65944,39932,61738,55282,76395,60988,85150,54839,131889,36806,25409,1840983
56,64080,72608,62569,92832,55002,85360,96596,68245,61185,94486,231063,45145,75036,61820,114871,117711,54591,110261,50000,56994,113361,61502,81512,63058,83482,122316,153203,45458,46274,2440621
57,81955,52608,46081,85032,37082,89876,69157,128497,79399,62712,33104,30346,16438,23629,31690,69537,10482,71777,38750,61572,41237,107148,30610,7492,43919,18334,75575,56078,28837,1528954
58,103766,28003,23945,51417,38823,48667,48594,10000,64766,54059,60656,39467,58501,58060,69326,50869,17970,21724,36315,57390,56124,48638,60022,33822,35837,54669,30681,106375,53545,1422031
59,74919,97520,71198,42991,68253,125716,123637,44013,52567,116007,29295,41780,39316,31547,69010,54554,38752,20212,25380,32652,69694,38734,138457,38099,141765,6411,119417,103754,65537,1921187
60,106257,50062,144573,33610,26821,59997,79271,77548,57201,47809,28654,50304,42609,21145,74436,30882,91117,66391,59062,50902,72394,82257,47913,15994,25042,75217,36816,52414,24238,1630936
61,81031,56421,50630,101770,33363,75991,57313,54273,63501,32329,56618,27577,68562,39391,53996,24467,89555,20460,22161,55931,59388,76706,53380,38953,38230,29898,49446,99706,65890,1576937
62,75280,10000,51828,74379,64602,94376,94270,123525,150834,131095,167379,67302,32295,42343,47675,33813,51900,86807,45114,40525,137218,121046,92556,74881,33737,74084,29425,68041,61333,2177663
63,22429,28701,35458,28689,101228,94371,100052,64277,98862,120573,122693,86084,26150,23112,103878,78131,100022,26504,49511,122258,44103,84451,73056,37792,48971,48670,18628,40031,100935,1929620
64,40237,54929,21681,48396,143793,59529,83874,100072,83797,124813,129891,57078,65085,99647,41111,72175,51327,56764,68463,48784,37311,25130,58193,81947,31259,13179,62201,61853,85616,1908135
65,44440,87867,74602,62251,93031,94139,117316,103130,93833,143372,145277,35949,78607,16572,106209,44398,108130,76501,62454,42459,28664,30159,112927,54021,59971,48978,117487,87524,70713,2240981
66,33453,61881,88082,68027,99567,75299,82120,78333,107232,87502,206331,74566,99799,32518,93578,36830,89571,97106,68874,58146,113477,66206,74516,65781,114316,71163,43468,62725,48226,2298693
67,60994,63488,54518,77830,79805,88620,161107,73951,107712,95846,219069,100372,82588,81729,77248,81755,159390,109990,44192,35850,20067,65460,54664,70292,41423,80667,116860,99485,60308,2465280
68,33661,53349,107582,91357,68534,92009,107019,94280,71752,172717,191065,97424,74661,60923,16785,94202,24890,84845,89747,44795,83564,34107,28027,99397,106112,105302,93076,120505,101765,2443452
69,50508,105715,67253,93191,94804,68920,67766,121818,135577,96532,188683,69365,68522,29835,72647,14582,36607,77458,84139,117443,79517,130826,23366,50984,61078,131537,101176,64099,115520,2419468
70,74016,24566,42633,80290,73714,51652,62761,83577,49262,47102,9955,53250,113235,15830,43722,97271,53139,57925,51603,67653,31970,0,66496,52899,35118,30722,148927,62979,45751,1628018
71,60122,66650,68009,76455,76171,83660,77273,36116,83453,69725,57008,99152,61727,53642,61373,114396,52095,46714,59886,111846,51920,59701,50535,33450,89205,117933,208085,20000,114707,2161009
72,50090,36600,68534,40660,43778,84008,65327,92067,74875,51057,27846,40090,88448,101395,46129,19694,41901,55401,62350,56272,69871,28419,107971,71047,153552,81610,188487,32810,19693,1899982
