node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
438,31763,17126,17578,17537,14713,14701,16584,9624,14853,5315,7621,12556,13581,6149,7427,5457,7713,7205,10615,20284,12211,14758,8802,4292,8493,10261,7158,11743,24744,360864
439,21936,8139,9035,18206,6892,4859,15912,7440,8999,10651,3880,2617,14113,11846,3953,4366,10443,4285,6083,8021,9409,7004,7764,5014,4605,6549,10621,7240,6292,246174
440,35822,22342,16276,19053,13374,24181,14553,18128,9180,16672,7154,8540,7587,3156,2709,9796,15995,5413,10367,7756,8978,5829,7264,7430,6274,7825,11209,13553,7047,343463
441,21916,15624,6588,4192,7208,9023,14362,20429,13927,8676,4654,6098,7260,11040,5513,7163,11087,6171,13002,6580,4029,9576,6436,6180,5684,6149,5463,8401,9620,262051
442,36230,13210,11315,7771,5071,5350,19802,21658,17469,9288,21485,5724,6081,12339,7561,2751,8825,11021,8099,16258,6438,5613,13910,6339,6582,5879,5650,9142,8171,315032
443,12793,31972,12840,10445,9328,6234,31743,29201,19093,13178,11007,13066,6819,19081,12811,12792,7511,13115,6590,18357,6866,6677,13088,8006,12381,13429,4543,10786,13554,387306
444,41888,23966,26841,12202,11555,9332,17177,27158,12938,14011,12078,11893,13203,22536,10742,10879,9258,9748,14268,6821,5592,9460,3489,9437,6422,7424,3034,13624,19854,396830
445,26748,21586,23708,9509,6209,8079,6766,19434,14504,7947,10162,9600,19469,11009,9357,6872,6489,8748,13134,8024,4620,12576,5649,7051,5565,8149,4920,5414,17442,318740
446,16164,8740,25499,15351,10906,10243,6929,26790,11272,15342,5275,13987,8872,24826,10961,6106,23513,8297,7952,6082,4893,12840,6895,5396,6080,8696,11476,19454,17466,356303
447,13623,9417,10974,5137,3672,5525,19230,18038,7181,10971,9037,9326,8616,17478,5711,5840,6775,6739,4757,7286,6820,8308,4499,6726,11467,7453,16935,9947,11589,269077
448,17014,8164,7802,8480,5659,5249,24509,10992,12817,10274,4794,12150,9002,20589,7340,6435,9099,7865,8942,7477,6446,12899,4283,8000,8266,6681,16831,3686,5165,276910
449,19559,10336,4704,11293,10185,7959,23453,18670,15737,7417,8853,6103,7962,21141,10647,9727,10304,12125,10656,6471,8170,13951,8335,5191,9770,6094,7576,9216,11119,312724
450,25735,5090,2797,3254,4556,15562,16662,8538,10322,17717,6947,7065,1540,16218,14849,7508,4332,3925,3754,4592,6611,9400,4670,3962,5828,3067,3805,5106,6350,229762
451,15582,6804,4836,4945,8838,5614,16505,13694,6789,4039,4095,9443,8398,11047,6241,3711,9543,4971,7525,10871,7706,8684,5303,5649,6106,7552,4413,10376,12827,232107
452,24219,4834,6823,7414,6628,5929,11564,15727,9566,11771,6778,7622,17370,5447,13769,5743,5368,12237,11124,18995,13148,10671,10959,4105,6198,13034,13009,11441,14288,305781
453,23275,16812,16495,11100,10096,6253,5874,14889,9407,8045,7183,8698,9069,4929,10823,4081,4383,9166,10282,9167,3199,8972,12377,10824,18137,5752,7955,9552,9415,286210
454,17683,9279,8730,7326,8374,8197,6710,18259,11428,7117,3262,10122,4127,5270,11440,4001,7998,7107,7101,13241,8064,7416,7971,10956,6405,8707,9556,8517,14436,258800
455,14259,4514,5815,20060,8388,8529,8558,21240,11311,8168,9522,10009,7220,7046,14558,7590,5435,7733,9279,12122,6244,5422,6733,12346,7598,8603,7456,8044,13532,277334
456,39336,15098,12580,19466,14599,13171,13917,24078,20854,16928,8400,9937,14572,10015,18343,11536,9059,5872,6922,19748,24316,11678,7811,7729,8293,9828,9288,17310,11642,412326
457,12413,4505,4198,7038,4873,4369,4893,20154,8388,6980,6863,6263,9653,7356,19288,2811,7153,2864,8301,5152,5937,6198,11229,6578,4151,7400,8437,4733,7103,215281
458,20224,7839,8519,11948,8065,8314,5913,28963,20583,16339,7779,10394,8506,10943,23436,11692,16692,13371,6990,4192,5130,3860,10748,4050,4353,6555,14363,4173,6009,309943
459,22115,12460,10627,3063,1823,4565,6400,26999,15690,10651,8346,5312,3825,7829,14667,5333,9605,5724,5271,5268,3505,3878,5688,2470,6895,5438,4630,8730,7833,234640
460,24674,8656,6908,5341,4460,2265,14929,17832,14496,8933,17445,4920,6001,13471,7501,3800,6921,7105,9167,7838,5888,3674,11526,4100,8201,4590,4158,6477,6050,247327
461,17607,25973,11273,6653,4567,4192,24224,26498,15577,9458,7615,7737,5286,15689,14445,15169,6046,9064,4985,7642,4523,9331,4412,16569,7448,3534,9014,12569,10938,318038
462,30937,13271,15844,10076,7660,6036,9267,23320,12538,13832,11183,10568,6341,17383,10199,7314,12072,9328,9564,21925,6045,6262,8501,6256,3119,15549,11866,11878,8668,336802
463,18554,22334,18665,7481,5095,4784,5457,18548,14916,9314,7407,10237,14628,15344,7977,5339,8363,5608,7874,6296,6629,3710,5057,4288,5288,12946,6426,6800,13911,279276
464,12190,9947,18840,13460,7190,5623,6170,20002,16247,15492,4424,15021,7789,11360,6884,5779,12845,9583,5906,9671,7645,6679,7622,9900,15728,10924,5874,12041,15185,306021
465,9088,13013,5386,5616,3751,6589,17973,13682,11975,8170,5744,10184,5830,19092,5757,3790,8659,8584,7041,6512,6707,6210,7866,11093,7659,4146,7089,10609,7074,244889
466,30427,16286,6255,16222,7678,8640,23076,14835,18970,5147,3602,12746,13341,21268,9858,7634,9576,7323,14619,4995,6886,6905,5472,14428,9255,7672,10193,3927,8136,325372
467,32416,16417,5787,5863,8691,6367,30273,36435,30870,5331,6394,5444,4731,22822,10612,14541,11204,11075,8792,8442,5928,7254,10777,8292,4836,3544,6075,5943,8573,343729
468,16159,6142,6460,6797,3767,13482,23102,19814,6197,5685,6381,5503,4205,14029,8118,7415,5534,5395,2113,6660,6677,11010,8037,3574,4138,7525,3859,6371,6029,230178
469,16740,3521,7147,9373,5282,7324,13896,11056,5541,4295,6711,7639,7556,12706,7025,2464,7236,7183,8063,7614,4631,5269,7513,6245,9602,15206,9468,7404,6598,230308
470,14797,2532,10400,6283,9851,10036,14005,18229,6927,7328,7248,8327,14211,8287,12625,3976,5145,13411,8375,6964,4464,3751,7508,2386,3375,16199,9472,10919,8874,255905
471,23268,15846,11681,9477,8666,5101,6034,10304,8764,12865,8065,7565,5998,7627,11530,4973,6277,11156,10629,9306,3983,5658,7449,2769,4603,5681,17994,11595,13382,268246
472,18500,12976,8457,13578,9121,11984,7487,31947,18462,14263,5447,11678,5578,7301,22680,3463,4821,5489,9019,4252,6920,8310,3641,7876,9044,5129,12229,10779,13358,303789
473,14103,9620,6672,21840,6494,8216,8042,20557,16802,7201,10466,13162,5970,5451,12542,10292,7202,5094,6514,7046,4756,6968,6763,5277,6981,11021,7492,13719,9072,275335
474,15019,7364,15554,13700,7096,5104,8544,19824,24021,16927,14344,8288,9820,5720,9601,5862,8087,6335,5705,7930,5578,5749,6235,4642,6838,9491,9847,9432,5008,277665
475,16375,4547,3389,6479,5559,5274,4770,15291,9160,5034,8907,7119,10935,6546,28687,5977,7217,7920,7738,8209,5346,3715,9808,7300,6873,13885,4411,8576,10223,245270
476,16792,6013,6819,10309,8300,8915,4693,27566,22762,18314,8808,10974,7550,9857,29049,12914,17057,15042,6122,7905,6927,5347,3305,5709,17479,5949,9455,9431,5586,324949
477,21664,11564,11578,3895,3671,3199,7774,21489,11480,7750,6499,2779,5230,5408,19613,7044,10350,7260,5562,7172,3796,5423,6001,8289,6019,3759,8132,10148,6578,239126
478,26668,20309,11187,5156,3496,2123,18832,37680,9722,16288,24288,6227,4552,29761,4623,22143,9281,10771,9345,4477,6243,7706,4414,4767,6217,6557,9804,6095,12687,341419
479,11744,32049,9929,7580,5205,4830,21788,18255,11089,8179,8263,7054,4672,17893,11067,14462,4551,11028,4563,7462,15281,6729,7934,2898,9114,5930,2525,4807,14421,291302
480,31904,15191,13203,7854,6970,6236,10455,21163,17972,9202,14303,12923,9417,15186,8951,7464,15205,8438,9021,4428,4740,5400,9891,1879,2836,7129,10970,10747,12968,312046
481,18740,17361,15040,7244,4707,3336,5769,13792,7971,7326,8360,7436,12198,13686,5804,6480,7702,4849,11698,6330,6234,4810,9583,3738,7312,10988,7483,6249,9424,251650
482,14482,15460,14229,8679,4752,5262,4034,19916,15574,7913,4131,11989,6909,19312,4812,6169,21541,9558,6281,9795,9149,3914,13116,5780,8535,10142,9034,8088,10214,288770
483,12662,9569,7986,6983,5745,5665,22229,9828,10697,11086,5830,11158,8787,14873,5416,8706,7769,4947,4145,10490,5803,4895,2909,5480,5674,6860,8061,7406,12599,244258
484,28704,12380,8020,9049,6030,7960,27998,8907,15927,4192,5799,12539,13927,19515,10647,5828,9391,5636,9207,11721,5457,4097,5682,8380,7066,8455,5505,8181,9911,296111
485,27151,9689,5371,10512,7973,5652,29934,26909,22256,4689,6405,4679,5569,21413,10184,13188,14605,14473,9899,9314,14857,6416,6605,4615,10451,9243,6940,7439,16179,342610
486,24217,4206,2801,5682,5972,14646,22242,11095,13128,8219,5937,4299,2975,13572,6946,7254,3567,5112,4498,4320,5576,8500,4396,2831,5123,5690,7112,5097,13198,228211
487,17445,4171,6395,9661,6230,7748,17430,10705,5508,5271,5293,6223,5905,10294,5655,3380,6697,6048,6081,5031,7721,7914,8983,12492,12279,7837,6601,11701,10732,237431
488,19551,1835,6542,4493,11818,5239,10784,20289,7707,8697,7205,4364,12485,7359,9685,3271,3242,9774,4541,3714,5846,3675,6089,13752,12005,8972,9034,7695,11371,241034
489,20649,14522,11884,8716,10093,5618,5269,14591,9787,10029,8050,4850,6722,7111,15811,4631,3966,8487,5727,8442,5100,5902,6719,15403,10917,11501,10743,6688,10020,267948
490,21590,9076,8237,11805,8252,6669,6517,23777,13222,10440,3499,8349,5238,7141,15752,4090,4124,7097,6973,7624,8784,8612,7947,9875,8144,10797,13724,9402,7188,273945
491,13909,3725,6822,14793,6421,7249,5520,19115,20175,8270,8343,9801,5664,6208,12824,8673,6953,4815,8275,5875,3590,3697,5041,5613,8438,11733,11088,7130,6260,246020
492,13422,2880,12201,13255,5801,5732,5950,14130,20397,15568,10766,11363,5734,8253,18050,5795,4809,7633,6183,5160,6676,5204,5077,5283,4986,12444,7365,8370,7200,255687
493,28497,16857,10604,19944,16111,11264,15295,17213,16001,16201,10338,11261,17353,10560,10720,7413,7869,8745,9024,7512,8299,16244,16698,11879,8066,4662,11092,10215,6834,362771
494,13862,7609,9102,8908,7973,6942,6740,28748,18108,23418,8927,8320,8608,9096,37746,17465,17760,13476,6656,6058,3757,5085,5732,5099,2292,11414,5912,5312,17176,327301
495,22028,11407,12245,4418,1735,4047,6107,28158,6966,13230,9750,2215,2611,6284,15143,6926,5745,7666,4627,5516,3925,4456,4324,7390,6662,4930,5858,6350,11870,232589
496,29311,14846,14101,6336,2399,2072,17308,28030,14455,11308,16443,3916,4669,15080,4585,10358,7830,8877,7429,3290,3248,3206,11057,5691,5411,7345,6316,8113,10891,283921
497,11159,22667,7371,6381,5078,3770,17473,17560,15753,8047,6723,5198,3945,16047,13364,12828,6590,10444,4614,16822,7258,9897,4183,7943,9556,5021,3399,10101,6114,275306
498,30505,14589,11718,9874,6028,6093,7066,20281,12068,10699,15397,12527,9916,17325,9281,6852,14255,9750,7991,5139,7098,1600,4130,5973,4847,9018,11816,8611,6804,297251
499,17377,16337,14921,3965,5662,6033,6774,14754,12375,10918,7019,8447,12344,14387,5706,5232,7435,3950,9839,6699,9477,6476,5369,12959,5644,4117,8336,3500,6283,252335
