node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
345,34680,14551,11447,13385,11669,21910,17604,14970,16565,11812,16113,22244,35950,13340,8783,4940,6078,3476,5266,5981,8788,14028,8350,16088,13576,19337,14311,24099,28556,41042,6316,15656,5749,6381,20380,533421
346,18675,20287,15603,11483,12554,19191,12786,12532,11569,9340,13671,28645,6936,12699,11113,10489,2213,7208,1841,11898,7910,5167,5011,34907,11284,22610,19008,21449,12962,4331,12894,4933,5068,13953,24098,456318
347,9786,12005,12380,5967,6769,18905,12721,5963,9166,9182,9623,30631,10835,6774,4398,10472,18010,11728,5328,8558,7231,7695,32327,47037,4950,7129,7292,3578,6795,566,4496,8977,23470,17063,25313,423120
348,9300,17283,13267,10067,7058,16682,8166,12669,7565,11071,9717,21357,14622,7008,11235,2369,8996,7424,12417,26062,19855,9343,6761,4116,5738,12134,13303,4205,5398,4494,5106,22614,2715,20272,10442,380831
349,11956,7779,7155,10860,11983,13839,8016,6036,7413,9881,8106,20994,13471,10611,2076,13037,10562,22403,21535,15371,4706,10276,3966,3415,2928,7452,4128,1760,15724,2777,15683,9110,4016,13076,11403,343504
350,3077,6487,9317,12221,12710,15526,10007,6825,4253,4935,9885,27332,13480,11423,22833,8177,17317,7302,8100,4969,14023,11191,13326,1486,2104,5407,3782,4569,7990,26726,2673,1282,12902,15524,14025,353186
351,23463,12630,6317,11072,7489,8378,73691,27690,23422,34158,28936,30933,61639,27985,10747,5180,9834,3116,6550,7859,7859,10276,4543,4188,14744,10725,4581,28960,10444,13511,49532,7692,29165,34485,27300,679094
352,11531,13868,5717,7136,7449,26618,36775,25672,26442,27953,18147,26096,37487,7640,5642,15125,8939,5960,7993,9243,7530,9247,4425,5648,17905,9166,15657,13271,20192,11009,45934,53166,8421,33285,16144,602433
353,11902,9131,9326,6288,23194,23623,33840,25219,20097,21563,19296,47323,56310,9158,21298,4499,7414,5224,8869,11698,4208,13841,12706,4451,15281,11577,15660,37052,46974,4454,4752,3673,7837,21643,3926,583307
354,7667,8273,4660,29925,20845,19053,34872,24156,19886,20748,37842,24376,53451,8083,6490,7754,4496,4396,15115,6714,5706,10884,12006,10004,31638,37749,10824,16619,4210,4635,9249,4069,1685,13552,2397,534029
355,12951,10515,21979,18266,16530,20208,35159,26780,25957,46643,16875,13248,61993,7597,22972,15340,9005,22182,8773,20957,7366,15948,25866,8712,16566,3662,6682,5482,6135,8647,3718,6832,10952,10230,4806,575534
356,9120,28491,18844,19128,20324,24437,39594,36724,48884,20386,9388,10565,34097,4970,5972,10316,10905,7309,17655,26388,12086,8209,8068,13928,12359,4178,5931,5121,30294,8770,21885,11783,13278,18370,3123,580880
357,22076,14485,13115,17091,21207,26468,32790,45007,22974,9496,8240,12202,70386,8875,14718,7846,19473,16443,17663,6207,16946,11466,9682,7000,5963,5820,11850,4761,4468,22349,9338,6342,3187,8055,2865,536854
358,17412,14458,19498,17032,27397,26188,47218,25173,8861,5468,9677,10708,44334,13789,18826,30736,7711,5403,9842,3822,13402,7437,8666,18039,4865,14251,8134,5935,14800,2482,5766,5900,6943,15185,9873,505231
359,57251,36522,33987,29640,31218,27957,101484,29224,16821,19223,18224,18847,46234,3253,13153,8807,9292,13214,5213,3747,9589,26232,3059,24038,12228,3623,9925,29182,1808,18505,62989,15762,74555,44854,20011,879671
360,25817,20185,22481,18727,20687,54503,12864,7694,8484,10656,12270,16326,38623,15791,8612,2699,4288,9705,12626,4265,8497,7585,8149,8440,13316,5280,8472,19564,12172,32405,56929,19635,6508,25052,13935,573242
361,14480,12080,7340,7764,21424,6746,13544,12538,4068,10267,9383,24241,8642,24963,14781,13871,8236,7599,32794,6200,12302,5691,10749,9623,8181,16343,30463,46144,5608,7844,2670,5126,11820,8814,11035,453374
362,9224,10918,10543,9511,20635,6480,7116,13383,8699,7747,8068,14923,6852,23894,5891,4321,9453,11495,10390,14274,4637,11982,5025,19264,25868,4821,13231,1548,8368,19568,10375,6378,13658,5196,10347,374083
363,5117,8116,7306,8401,23743,5662,7058,6347,11074,8385,8205,19038,12418,24337,18174,3696,16067,5753,7214,7092,15207,23513,11257,8069,2274,4730,8997,4228,8319,9045,3661,7026,2978,5608,7940,336055
364,7690,5442,5025,8897,23158,3681,8399,10132,5569,13295,6241,18344,13158,25952,4407,10238,7680,12869,20474,18527,5405,5334,4578,6808,8711,17048,6830,3844,4003,5148,10566,12130,5946,2537,8005,336071
365,5656,4447,5835,5290,28338,6531,7035,5424,7306,10626,12392,24295,14825,32859,22905,14633,9042,16553,6805,12385,9441,4057,3279,4066,10250,3265,3887,4754,13438,6656,3886,2936,10210,5870,9603,348780
366,4517,8367,4769,6048,9542,8038,5429,5536,4963,8481,12541,28248,30512,38380,23580,3651,12563,11378,11200,7209,10337,4466,12781,7813,10444,3691,12642,6352,8640,5784,1596,7945,5546,8337,14813,366139
367,53900,54095,24227,15607,14389,16812,58391,21734,13618,13193,12043,14797,33519,26035,9126,10959,12529,15827,11106,9032,17103,18202,13825,11363,11771,23117,12943,15982,27702,21569,17673,48974,46543,20389,53991,802086
368,27908,14986,9143,14433,20725,19568,15704,12518,12782,15548,17299,15599,31653,13261,13143,10328,11308,7497,7472,6151,10890,13611,5748,17453,15159,30870,12393,14673,2731,26490,5118,15441,2233,15889,18925,504650
369,19292,25575,11764,14548,27000,16458,11880,10875,7505,13441,8686,28505,8831,13728,11023,11312,2224,17872,9373,15289,11328,9026,4067,31924,9236,4747,10943,48205,13934,1620,15807,4722,6212,20395,14491,491838
370,22651,20281,11179,8772,15499,7888,19066,11089,6117,9890,14632,17061,9717,8927,5810,10964,23846,21644,9935,8238,8481,4981,24077,24912,6504,6206,3555,10545,42334,2828,7536,5058,21806,7391,15162,454582
371,9037,18809,10683,9582,21847,8626,13146,17201,8105,9113,4222,19319,15444,5028,3495,6577,11830,6175,15448,21514,10931,5654,4087,4109,909,20688,17709,3143,4814,9808,27294,18578,3344,26179,9140,401588
372,8306,9782,16314,17309,10093,5157,11420,8845,13134,7332,9801,16715,15144,6799,6230,16360,3015,7724,7393,13161,13858,17796,3971,3740,3304,4396,6526,11145,11664,6019,30015,38024,3915,19062,16152,399621
373,6538,17884,8740,43585,14095,15673,5903,21882,14492,30479,24018,28445,17010,6738,7629,6471,7143,5679,9273,6138,15007,17494,12004,23590,4906,8957,14229,4367,3282,72807,7934,2165,54095,35587,23943,598182
374,4576,7326,8537,7692,9495,17869,16526,17688,22063,25430,22512,27760,54854,17658,4676,8608,8424,10899,5380,8738,13553,4601,6307,23597,6406,9512,9532,9023,10950,13543,14497,2140,5270,12049,13367,461058
375,7689,6922,5477,10664,21065,17590,26192,21227,21110,21217,21682,35728,42629,18233,7570,12241,12247,20503,3217,8949,14640,5628,7255,7577,23289,6316,13706,13781,3586,3659,4865,10036,10449,15861,2336,485136
376,6142,4319,7784,13655,17301,20535,20680,20420,20380,17904,29824,30771,48807,7674,8456,13789,10746,8247,2166,7883,17306,3099,16797,7800,10711,9371,26664,16570,8876,4260,5645,2282,15654,8983,2339,473840
377,10072,7256,18029,10824,15860,19908,31751,26660,25069,34676,30987,28450,38959,6631,6896,5523,13814,11783,19938,5474,6511,12611,10857,11112,11030,12591,14178,27069,7634,9173,15498,5186,1773,15746,1626,531155
378,8731,17898,15883,15431,21288,20328,36373,29370,36293,24233,29018,16100,58982,7614,23221,24911,12167,13306,10539,16179,7744,1146,7785,9364,16282,5196,3962,4592,10280,29662,11007,6921,11479,8948,3084,575317
379,23891,14473,18443,19871,25552,25740,39327,53101,38342,24330,18245,15690,33960,5132,7989,6751,8955,10029,11002,23755,13646,9620,6508,22098,12640,7046,9348,7228,15573,16120,30564,9689,23174,23123,4071,635026
380,13532,15143,18717,20043,28568,27159,44756,37185,28048,5451,12222,19398,31813,3937,18690,4643,8950,9356,9519,5515,13943,12263,15280,23596,10963,11137,13064,6010,17071,22971,8604,9874,26312,31775,8842,594350
381,20795,19818,31729,21905,52550,28837,41070,28990,18094,13169,33031,19633,52257,7485,5638,12444,6850,2637,6878,9228,9682,9503,26864,27666,7910,26088,23231,5941,9580,46268,6413,4260,62084,20734,21155,740417
382,19341,21842,23353,25308,26735,37172,31877,8085,11594,8187,13707,13152,79165,4529,28000,13022,12514,5138,10275,8097,8072,19911,6769,25687,7953,3986,6343,6622,5034,8448,16690,8133,20944,3916,5689,555290
383,21203,16224,19028,23623,28576,24753,8488,6362,5955,7239,18039,11226,76993,7200,3438,22098,9524,16461,5783,10109,6656,8083,8864,2169,9472,29945,5048,16264,12853,7495,7039,13019,3484,3293,9086,485092
384,10259,10961,11803,19621,15624,10952,12489,9274,9878,10147,8158,23949,5769,14916,29065,24506,8800,14892,21477,6611,7013,5684,11867,3283,2537,24567,18234,27527,2039,12963,7353,2289,12237,9370,11494,437608
385,5451,15055,13052,18638,7696,10441,6896,4937,9490,6786,7501,24119,8850,26618,4283,4568,9341,16434,19276,13405,6075,9499,2260,3792,6012,3044,12389,8684,31911,25019,10622,3671,13164,1424,12115,382518
386,11655,9173,7469,20219,11279,8114,9589,11301,10890,4048,6123,20484,9610,25950,11363,2353,12626,3501,16298,11110,4998,13181,10901,1466,2643,7886,8121,856,21268,29769,6137,7854,5659,8960,3779,356633
387,5071,9871,5669,21138,6294,6488,4975,11393,10363,8850,10208,17485,12011,27406,6232,14256,5018,5684,5714,18068,9612,4625,8627,2348,10341,12102,3809,13184,2511,3525,24522,37443,12631,12270,9745,379489
388,8945,10725,8095,4897,6363,6623,5397,7658,16394,7565,9083,16895,19756,31959,16728,5974,4279,16494,6188,7340,10995,18637,6369,7834,10185,7985,4422,8459,25708,3029,3755,10046,32460,13717,17379,398338
389,5303,6543,7679,9589,10530,7572,7349,6132,5312,8652,14961,15879,37076,45359,5634,3388,12346,3538,13408,1910,14601,7837,20073,12055,12514,6739,12381,9590,6157,5451,3092,4509,5179,4947,19041,372326
390,37400,50064,21928,11581,13317,26575,47709,13992,11788,8315,8335,10144,35646,44045,26484,13831,11394,13563,26787,10778,15425,11080,13315,10653,30022,17735,16052,18763,15693,16771,12741,11807,9237,18634,13716,675320
391,34251,19258,12112,14327,9152,21577,14086,29695,13705,11324,12510,13113,46918,22448,4963,11222,6852,4615,17255,4545,10629,18207,8229,34436,14383,14485,8767,23641,5628,24805,3282,5047,2302,11581,16638,525988
392,14436,27851,20356,17434,12598,8629,29905,24532,18435,10270,11159,29584,5947,14604,12518,4615,1527,10431,6688,17894,7999,8938,6787,39268,4980,5123,7570,11506,8171,5013,47258,3881,10768,27032,13960,507667
393,11371,12214,15547,14116,4746,4125,9580,19274,8239,11878,12077,32652,9546,9307,2584,12425,28674,32240,6919,7456,2690,6326,10679,12403,4743,9720,14084,5340,1643,7341,10247,6293,15465,16299,16657,404900
394,10385,8883,12493,15110,7642,5711,4335,7253,32415,13297,11632,27830,12510,5949,6694,9086,10612,9738,4521,7306,10217,5842,16258,3365,4082,20353,16867,3940,5465,9058,6106,25447,4451,23259,15435,393547
395,21649,19006,11379,14275,18991,18245,11999,10461,10024,48474,13041,47798,15909,8306,4238,7680,7487,11977,16757,4713,7936,25466,4924,3507,9561,15449,2312,5694,26513,29071,14366,3722,72037,13975,31640,588582
396,11435,11189,9167,13172,25956,6828,11096,6284,5174,14962,28065,15049,17542,7209,6757,6158,6146,6921,13886,4375,16626,7621,11175,2949,5269,11259,5051,3855,14107,25052,7574,4548,12845,13823,13857,382982
397,6052,9218,5913,8412,11980,7777,19494,21552,21059,25155,22688,32017,50814,9066,9770,3967,11845,9191,12130,4627,7238,9812,4515,4646,10763,9558,11674,5005,9444,15224,6382,6369,6132,8916,3374,421779
398,7441,7789,10898,12778,3504,10956,25122,20857,32213,24178,26633,40933,66525,13586,6542,18303,8047,15883,7463,7481,10072,11337,8564,5033,7935,7126,18690,9107,4083,19598,4846,6973,4103,12618,4788,502005
399,11015,11967,14331,7471,14146,20144,24114,32838,20402,32653,18447,34507,40349,11943,4300,8211,8455,4639,6805,11029,5678,9146,6407,7302,17841,14843,8649,33389,8346,4904,5960,6168,18895,12374,1668,499336
400,11398,14502,10331,13434,15519,21730,39277,26906,27253,20073,27920,39103,39792,7708,10577,2644,7765,5455,8691,14080,13165,21430,6395,11487,16150,17283,5429,2196,4946,5319,11231,5693,3257,26004,2952,517095
401,40538,25148,21668,25219,23442,21113,49609,53558,32261,30981,23372,60453,54027,7821,2122,21223,17223,5275,11218,29018,12662,10307,2529,16285,23155,1859,5626,16796,38707,7952,5453,65215,7642,22651,5575,797703
402,11563,13055,19219,20188,18323,31616,36925,27993,27129,16562,8498,28899,64250,10643,6991,10503,8613,13775,6354,9204,11341,7565,6999,8815,11576,4035,1402,17671,17730,19857,2146,15911,10252,15325,4485,545413
403,14626,52623,28853,23376,40041,24388,54355,47754,27852,17168,9648,53639,50823,7109,18454,2626,6188,14936,4653,5104,10878,19011,8723,23495,21897,34361,19840,9073,33170,48537,4816,7114,90974,4314,11038,851457
404,16149,20063,16242,37975,17316,28198,37472,25025,9015,13206,17970,20165,42643,6317,4361,15528,6246,3307,1937,9124,12398,14959,3978,25448,10513,11144,8675,8440,28239,1628,4811,16195,4461,1548,7514,508210
405,22919,25429,40929,23586,35499,23443,35773,6814,8382,12728,7984,21644,69724,3221,12742,8784,12055,21240,4183,13320,15338,6810,7656,5091,16472,6773,5382,9049,7505,7557,16318,8412,15952,7424,10372,556510
406,23344,30578,23275,33962,18921,28535,10867,5633,11336,8013,10703,20552,43838,15250,6173,11215,11444,5293,13347,6861,19375,2490,18282,2851,8560,7703,4401,13988,8903,8374,4235,16056,9245,5193,8826,477622
407,24242,10328,24428,4099,6841,10122,16020,21227,10372,8429,10132,27382,8753,5894,39591,16447,5395,4669,18366,8454,11826,6713,10842,12429,6909,15834,7780,27038,7186,12335,19874,4765,13438,10311,9215,457686
408,17390,14760,25845,9649,9306,7406,9268,10755,6731,6173,6918,18290,9741,14012,7919,5882,15602,16624,9124,23486,7169,5277,7043,9893,4916,4558,19519,5460,13669,30258,13889,4787,2651,8543,10986,393499
409,7916,57645,34724,28773,11573,11369,15353,10183,28773,15697,13380,43837,12428,20601,24794,6818,16753,2080,6312,13946,11581,18403,20831,11368,24222,6552,9634,18368,45215,2727,6237,60315,3855,10406,8555,641224
410,7318,8276,13049,7920,13863,7125,12096,8141,18641,9865,6744,14432,14092,23054,5926,22325,4850,7305,11214,5776,9255,3517,8626,9382,11858,16094,3396,17239,5683,5347,14557,14074,9549,14362,23048,387999
411,8009,8001,7838,14895,9077,7355,7307,8265,18770,10787,7529,11880,19482,32568,16991,7457,11858,14895,11693,6147,6777,5336,7131,10973,13137,6438,4396,4845,14205,5399,4087,4668,3710,8188,20321,360415
412,6142,3524,5157,7773,22185,15564,9610,6529,22723,7740,9778,31679,37123,31804,5265,3633,5973,3191,14665,7471,9018,4846,2898,6132,12448,4704,19370,5548,5188,4053,4252,6165,6467,6874,10360,365852
413,41291,49712,18927,11102,22639,24086,50274,20108,28439,7994,9420,6838,28249,51808,11589,11223,11855,20261,13371,19714,13574,11839,12793,12509,11147,18838,19525,25707,18918,26141,5865,26988,11220,14125,12301,700390
414,35329,23845,18801,13606,33081,24265,21410,18330,15160,20607,13903,29827,52411,16052,3169,8136,14783,5582,15367,7766,15988,8138,5278,28174,18600,12441,9900,26339,18899,18921,12530,2204,4880,21161,16608,611491
415,23122,22573,24174,15562,10716,18795,13312,15589,19302,9426,17150,32974,7222,19852,11990,20631,8256,7341,5262,35484,9998,2837,3482,35980,15648,4452,4932,1971,8972,6284,4692,4571,7462,31108,21553,502675
416,19541,16985,17298,11150,10033,15303,27024,26569,13357,7831,5363,30484,8828,7630,4465,12818,5350,39106,9859,9002,11193,4824,14657,8160,6294,19434,2858,4498,5542,6993,9722,6179,24906,16411,22928,462595
417,33469,14620,15019,10647,20602,11525,15018,52644,18257,21072,7069,39364,16192,11640,9179,6524,10878,8667,5822,5011,5699,7111,12720,7998,11137,13440,19542,40597,36944,14651,1830,49464,48926,11445,26732,641455
418,12427,15032,9525,23666,5790,10772,9476,15975,16716,7641,12701,22649,17589,8079,5988,7610,2047,8255,19999,10557,6505,18873,6605,8892,3661,545,9276,6455,15596,9436,29685,1366,1357,5712,20790,387248
419,10613,7409,11684,19398,11281,6484,14967,10927,8556,27479,29722,24538,21621,7870,7220,7107,5888,4102,9210,9642,8016,6233,18282,11369,11482,3877,10063,20387,2356,27917,6074,2654,20951,15637,2201,423217
420,7167,11231,3359,14364,5778,8397,14835,26852,16591,19937,28598,17348,41082,7170,11856,14953,17246,10497,18021,11576,7509,5831,7816,7029,3769,13626,5180,8138,15238,8908,4326,6231,3879,7333,477,412148
421,7630,10187,18919,11941,8110,16569,32918,16833,24282,35822,31464,27119,40552,11659,12982,3921,6382,15107,6997,5227,6018,10554,10160,8084,10614,4960,5577,18017,6015,4310,11928,14508,5172,28551,4727,493816
422,15092,30599,14168,23731,15568,29428,26237,45339,33887,28941,70185,29597,55205,20737,6507,8491,6624,3939,5227,15757,8037,10435,8986,10908,16456,8255,35984,54288,24378,3287,29004,47107,15497,22499,2631,783011
423,23749,13390,6856,13532,12429,28283,30488,28872,20233,16249,29338,26897,32338,14658,10709,1821,3474,8099,8540,19603,5716,12084,9283,12950,9843,15105,8455,5350,4038,3947,11733,12191,2870,12136,2712,477971
424,10627,10669,16124,20229,31893,22595,44318,32612,29954,21194,47359,25275,57064,5579,3887,21391,20225,6003,15184,8743,3474,4618,9445,31342,14831,7278,17471,2997,12603,8589,5024,8733,6810,7960,12051,604151
425,22379,15720,21251,55050,17795,36277,31186,48902,19338,32789,45956,13683,61121,10832,16221,12839,13388,17461,16582,7735,4188,9975,11106,34833,9377,5160,7205,47812,59831,19156,4645,53523,75069,3436,14217,876038
426,16963,18391,29697,19063,24588,33388,35368,28461,27158,15816,21131,14965,60155,4790,5458,3902,5791,13413,13329,2410,12708,13953,16649,26217,10106,10901,21249,4683,7189,1663,9250,9515,9061,5809,7973,561163
427,19749,27579,18022,27932,33001,23275,26202,43597,17104,10801,34065,18713,62381,2398,4819,15925,7762,4446,9969,8354,15084,17031,12181,14610,10276,4038,18864,22658,25085,15778,20261,3766,10428,3578,7272,617004
