node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,0,8,0,4,8,0,0,0,0,10,8,5,0,6,3,0,0,52
1,338,0,2,10,10,5,0,19,0,2,0,1,9,8,216,4,30,654
2,62,2,0,25,0,27,10,6,168,1,96,26,19,0,72,0,0,514
3,184,23,0,62,0,55,103,0,10,10,0,9,28,102,0,14,45,645
4,89,40,66,21,5,0,6,15,0,0,1,0,11,4,2,0,0,260
5,6,11,4,0,16,43,4,0,18,0,12,0,19,18,2,1,23,177
6,37,6,4,4,5,30,4,4,2,3,0,5,0,10,4,0,12,130
7,5,1,10,63,69,15,3,8,3,0,0,70,14,19,0,0,5,285
8,293,0,0,0,37,53,4,0,62,10,12,0,215,7,128,0,80,901
9,176,0,0,0,48,77,70,45,15,0,121,0,296,1,0,0,7,856
10,154,31,2,0,50,86,17,10,10,0,42,36,247,145,10,105,50,995
11,0,13,6,0,18,7,50,0,3,2,9,0,42,0,0,6,23,179
12,26,0,2,0,1,0,0,0,0,0,0,34,4,0,2,26,0,95
13,0,0,10,14,0,0,6,0,9,0,6,6,5,3,9,0,7,75
14,0,0,0,22,5,0,16,3,5,13,0,17,11,17,6,4,4,123
15,0,0,10,1,8,2,11,1,30,17,20,0,26,0,3,1,10,140
16,0,4,20,9,10,0,0,1,0,10,0,0,14,0,12,5,1,86
17,2,4,0,10,0,0,11,0,10,11,0,8,48,22,7,0,14,147
18,6,0,0,11,12,7,6,0,23,1,0,10,56,19,12,0,31,194
19,8,13,0,38,0,14,4,4,4,0,3,8,0,0,13,7,0,116
20,0,2,0,18,4,2,1,0,15,0,8,14,0,6,3,8,0,81
21,0,7,6,15,10,0,21,0,27,10,42,61,33,15,16,2,160,425
22,0,0,5,0,8,14,0,2,11,6,0,12,6,0,0,0,0,64
23,0,0,0,0,4,3,4,4,5,7,0,13,6,0,0,11,16,73
24,0,3,7,0,0,0,0,14,0,0,0,10,4,6,0,22,12,78
25,0,0,0,10,14,15,3,9,15,0,9,0,0,21,0,0,0,96
26,0,3,10,2,16,4,2,0,10,8,4,0,10,10,5,11,8,103
27,8,0,4,12,0,0,9,0,13,11,1,11,37,1,137,0,39,283
28,7,10,3,16,15,11,32,37,13,124,22,84,138,7,8,1,35,563
29,0,5,7,10,6,0,10,10,6,2,5,0,1,2,0,96,20,180
30,7,7,20,2,0,0,10,0,0,0,38,11,0,13,0,0,0,108
31,4,7,8,0,0,1,4,5,35,4,6,21,5,31,3,0,51,185
32,4,4,0,39,0,13,17,14,68,0,0,54,16,12,57,10,6,314
33,0,0,24,32,0,0,30,15,44,13,5,40,23,39,12,3,19,299
34,15,0,4,22,5,1,0,4,10,1,28,18,25,0,2,4,5,144
35,3,5,2,3,0,15,0,9,0,0,12,3,0,5,12,3,0,72
36,12,1,1,51,9,16,34,36,0,4,0,8,0,0,18,0,20,210
37,10,4,13,8,21,19,24,1,0,0,1,70,4,9,0,16,0,200
38,8,9,3,0,0,0,16,0,0,0,20,3,6,0,24,25,7,121
39,12,11,5,1,0,7,5,3,22,10,0,10,0,0,0,0,1,87
40,10,0,6,0,0,36,4,0,14,0,0,0,73,1,0,0,0,144
41,2,0,5,2,4,4,3,4,10,0,4,10,0,8,0,6,0,62
42,8,1,1,0,10,4,0,0,2,16,0,2,8,0,0,0,0,52
43,10,1,21,12,10,16,35,11,48,18,29,2,22,57,0,66,3,361
44,2,25,3,3,72,2,7,10,2,0,0,1,31,1,25,0,0,184
45,13,6,5,7,0,16,18,0,4,28,6,16,11,3,0,17,1,151
46,11,0,0,40,15,14,0,0,0,1,0,0,36,31,23,20,0,191
47,7,0,0,0,3,28,5,0,0,4,13,0,6,1,15,127,13,222
48,0,14,23,3,9,7,17,15,6,0,5,0,4,52,24,0,43,222
49,6,3,8,6,1,2,4,0,6,0,12,4,0,2,2,0,3,59
50,140,7,0,0,1,18,18,0,29,8,8,0,42,169,12,9,2,463
51,3,0,4,15,5,55,13,9,3,45,0,7,17,0,6,13,69,264
52,6,3,2,3,0,2,12,8,20,16,22,7,0,0,3,10,32,146
53,3,7,2,10,0,13,0,5,10,0,0,67,8,27,0,57,24,233
54,3,20,1,81,5,2,77,7,31,16,31,15,26,0,56,3,23,397
55,42,7,55,20,44,48,17,51,0,0,13,0,48,109,1,42,0,497
56,70,0,10,22,0,10,10,0,0,17,5,88,30,41,29,52,86,470
57,2,18,23,40,3,29,0,6,3,4,5,15,12,25,10,0,9,204
58,16,33,6,0,16,0,0,0,0,0,7,48,0,3,50,0,7,186
59,32,16,0,6,1,0,25,4,26,42,0,20,16,4,18,9,14,233
60,0,5,4,0,3,2,6,12,10,4,4,35,5,10,0,10,0,110
61,13,4,6,0,27,9,38,13,1,17,0,8,9,0,0,0,9,154
62,6,0,1,0,1,74,0,11,1,9,5,35,11,1,25,28,9,217
63,73,13,0,2,0,4,15,17,0,0,0,0,42,20,13,0,14,213
64,0,38,1,0,17,13,4,12,0,6,5,13,8,16,0,0,4,137
65,2,28,0,111,2,1,42,0,70,17,0,14,9,53,25,13,30,417
66,16,6,19,7,3,8,3,20,0,0,22,9,11,1,13,0,3,141
67,8,86,9,0,5,65,0,10,35,13,10,26,83,31,41,20,7,449
68,6,20,16,1,15,4,0,10,0,1,20,0,64,10,16,76,33,292
69,17,3,5,4,4,9,30,31,10,3,0,0,49,10,25,4,15,219
70,0,15,6,0,27,11,30,0,0,0,6,12,18,0,22,1,0,148
71,11,11,0,60,8,81,3,22,0,17,0,3,0,4,29,47,4,300
72,0,10,1,30,1,0,36,90,6,0,14,6,25,0,0,0,9,228
73,41,147,0,7,54,30,4,3,10,102,5,15,72,50,14,2,57,613
74,0,60,0,90,10,0,0,38,7,13,0,52,60,36,6,0,19,391
75,5,5,0,35,39,9,31,5,13,0,7,48,20,4,2,46,1,270
76,0,85,5,40,6,3,98,63,18,33,0,3,12,48,36,79,11,540
77,2,28,31,12,16,5,16,8,11,0,0,0,4,0,6,15,10,164
78,0,71,51,14,0,9,13,4,0,11,0,0,89,11,20,52,18,363
79,50,98,34,0,0,15,14,0,4,99,43,85,36,35,67,147,33,760
80,0,0,27,40,16,21,27,0,56,0,4,4,72,4,0,25,10,306
81,0,45,0,4,0,17,0,1,0,12,10,5,0,0,0,5,0,99
82,14,7,3,0,0,6,3,0,5,10,0,1,20,12,10,0,22,113
83,7,6,3,12,11,44,45,38,8,8,8,4,9,3,16,0,2,224
84,0,10,7,15,5,33,0,89,18,25,0,0,15,15,2,46,43,323
85,0,3,6,13,7,60,0,12,0,0,13,0,16,11,0,27,3,171
86,10,1,0,3,10,8,9,0,0,0,0,51,28,0,31,10,0,161
87,10,16,41,38,67,10,19,0,22,56,22,0,26,0,11,10,3,351
88,0,18,12,108,56,112,6,20,13,23,0,4,11,32,0,51,13,479
89,0,14,2,16,4,32,3,20,1,10,10,0,7,18,0,2,10,149
90,4,9,11,0,13,8,10,10,0,23,4,0,11,10,11,17,6,147
91,2,3,7,10,5,4,12,0,10,0,0,12,3,0,0,0,21,89
92,0,22,0,3,8,1,49,6,1,0,0,0,41,21,44,10,10,216
93,3,0,13,20,4,82,3,1,28,0,0,0,13,0,5,18,0,190
94,2,22,1,36,32,18,39,15,0,4,0,15,4,2,20,0,11,221
95,0,3,20,56,8,34,5,88,13,31,10,37,62,8,0,10,0,385
96,65,48,62,97,36,18,31,57,38,1,32,35,70,10,15,0,6,621
97,7,0,2,8,42,10,70,10,0,13,10,10,55,0,15,4,0,256
98,66,29,0,43,64,3,75,8,61,10,60,22,25,52,80,47,17,662
99,2,10,10,8,0,19,4,2,0,35,0,0,13,16,15,20,19,173
100,1,0,24,1,0,25,0,14,1,0,41,64,16,0,20,14,10,231
101,19,28,0,12,4,44,8,30,0,12,10,27,6,6,0,0,3,209
102,35,22,2,6,14,2,124,43,33,52,42,21,34,15,67,26,135,673
103,0,8,23,16,0,10,51,0,0,10,20,6,18,0,0,54,0,216
104,8,40,0,28,3,3,6,0,11,31,27,3,0,10,0,10,10,190
105,22,10,4,0,0,6,64,45,0,7,52,0,16,39,11,0,9,285
106,14,4,10,26,0,83,0,0,35,40,10,0,21,28,16,20,7,314
107,0,0,0,0,22,24,3,2,0,10,2,2,8,26,0,0,0,99
108,22,10,10,10,18,3,1,27,27,1,0,0,3,0,0,6,0,138
109,3,7,10,84,11,0,70,23,12,20,0,0,132,9,13,53,93,540
110,10,14,10,5,15,11,0,12,5,10,0,0,0,20,13,2,10,137
111,10,37,3,33,30,34,4,0,11,0,0,0,0,8,2,14,7,193
112,5,1,19,18,14,52,13,0,10,0,10,5,5,6,17,14,14,203
113,0,6,2,14,5,4,14,0,0,0,4,10,0,10,25,10,0,104
114,13,7,22,4,1,2,9,0,0,0,20,2,27,51,18,0,18,194
115,1,18,0,70,0,2,26,5,1,0,10,0,21,10,10,0,10,184
116,7,0,27,10,1,21,39,0,35,0,0,71,7,1,5,0,10,234
117,35,2,36,37,31,35,0,1,0,0,15,51,4,22,10,22,0,301
118,0,9,8,0,12,77,2,10,0,12,0,0,14,9,10,40,0,203
119,2,2,11,57,0,0,50,22,35,20,10,17,148,3,56,9,175,617
120,32,46,24,82,49,0,40,26,4,7,10,25,10,21,25,3,78,482
121,73,7,19,59,3,0,0,3,1,6,19,12,25,54,85,9,28,403
122,35,0,0,0,10,0,4,0,10,15,0,0,1,0,0,3,3,81
123,58,3,21,0,12,16,4,13,8,5,6,1,0,6,3,8,3,167
124,88,12,11,2,5,3,2,15,24,66,33,9,72,8,2,82,49,483
125,22,0,6,6,8,28,35,0,16,77,39,49,27,43,11,45,23,435
126,11,17,1,22,13,8,2,3,4,22,29,78,5,44,15,106,19,399
127,6,23,32,15,36,25,25,21,24,31,42,64,21,29,68,2,42,506
128,0,2,4,9,0,9,12,8,10,3,5,33,10,16,9,0,34,164
129,34,0,0,1,0,8,3,6,24,5,0,0,0,3,5,4,9,102
130,112,10,5,4,0,6,13,4,40,20,141,31,68,22,35,0,23,534
131,145,49,52,12,60,27,15,23,50,58,10,26,48,13,59,29,29,705
132,88,16,3,104,19,14,35,16,46,0,80,0,133,39,0,0,26,619
