node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
176,116573,57657,70397,65386,92339,206815,188224,246125,218461,174818,326349,63260,178334,70997,148026,75477,83159,59375,87470,66802,115949,105045,123212,139564,96526,104966,159565,124336,105617,3670824
177,64194,66241,84938,118640,172940,214041,210383,203176,158583,199919,273522,41864,107900,149493,93542,59459,88725,61872,48307,29988,92917,118801,83834,53729,135305,149707,131785,138933,115255,3467993
178,74768,82042,91072,156435,222748,285783,215646,159316,167195,206627,215593,87217,47569,66771,70215,87785,120867,115058,80114,100064,68992,112159,34635,60759,89779,224629,168435,151743,130227,3694243
179,121726,122380,198843,200911,242104,524032,305070,248745,227965,143133,340640,63036,145311,92974,120567,118697,251444,47298,103336,50870,58386,99890,78046,252666,41341,391974,125802,270286,178648,5166121
180,122962,183768,179016,205440,416543,393970,261655,242128,108504,121290,260687,191097,131459,68211,139112,98742,76283,72083,36889,121622,103399,183176,99347,205079,68639,356618,109647,194344,49560,4801270
181,143023,143849,173545,270946,304027,261134,218268,86908,91796,106493,219178,106452,141007,139396,151590,48880,37108,99718,89584,106864,73643,164499,107512,209057,93026,122034,82791,167953,74556,4034837
182,138851,135668,207609,209494,232996,415130,222825,193358,169009,180625,311971,223887,47442,62413,42485,162390,42614,198321,114401,246414,126640,199107,68088,129813,125768,149749,174830,178220,43827,4753945
183,155119,205749,177220,173445,355491,264793,193545,166976,153026,177283,344638,113923,71216,90848,51282,66800,55163,190883,165302,165505,85333,197177,40553,75756,38847,193774,155261,151338,202542,4478788
184,131765,95527,76012,189258,194729,241093,168053,144388,143065,242939,57007,206253,99986,127479,208929,167679,82593,139687,115979,98111,35874,56674,156443,159783,127082,188702,122307,71026,45472,3893895
185,69457,118789,63527,154748,150437,183439,178354,132356,118805,205979,64397,188374,107264,144711,90190,121259,85636,102705,32429,73963,55738,92886,186857,65758,72723,142268,124380,45253,121858,3294540
186,47831,49419,69314,139820,133663,138575,170724,130043,114147,193793,211691,246210,43660,107464,93655,54685,50849,72983,81450,43726,124912,119315,57072,66056,141541,63440,130279,191527,77503,3165347
187,41543,46690,56143,150684,119924,116685,135025,179091,123497,216085,295632,171034,78906,105035,29746,104006,75535,86605,68864,100934,104183,109204,50185,63233,30733,61985,95437,115856,108208,3040688
188,42981,38446,47254,58049,145622,111087,127575,135309,180608,229382,215967,163341,95593,73097,80162,188182,81867,40273,31095,54767,111316,61573,89540,142106,166090,41161,158085,123489,98893,3132910
189,501650,175611,93810,86546,103747,394826,155583,146840,165155,192717,295234,109322,112127,105397,181347,124883,129062,66081,120591,73164,128126,73411,197058,76713,127848,68584,340190,131382,159814,4636819
190,122931,90283,92389,94870,94038,105796,90090,113841,119756,137984,271206,102651,71707,131641,156435,94376,103304,100800,86360,110312,95680,40882,32034,58298,158741,115363,120368,129026,353893,3395055
191,172588,86154,82861,76270,69285,107427,84498,88915,83421,122826,61913,106642,123083,80504,30472,56055,117454,107274,77703,92193,72965,81956,114235,59055,66670,65123,146154,161716,314258,2909670
192,148127,157441,70711,57705,57348,84947,144298,96666,80164,111771,100279,95168,151773,111710,111722,109564,59128,136558,93490,126290,63859,86642,78371,56794,66493,170218,188809,70294,245375,3131715
193,105646,134664,170370,63045,53901,96577,127991,98447,78880,91632,94044,54741,51531,104962,81996,141282,78837,91596,31446,145318,56835,75689,86818,68793,45460,188331,101140,110331,119470,2749773
194,82330,91531,115427,171796,58339,68526,119013,74268,90509,128584,77406,45760,95192,59940,49006,77267,57910,104261,68225,129191,36123,177356,52588,90137,100557,154099,100617,148101,132252,2756311
195,69996,70069,82662,94363,149387,219347,247293,191596,181078,172516,344959,101052,82373,42104,140928,88254,64583,55507,84886,62987,98555,85240,39502,165622,86532,130009,139664,161709,102205,3554978
196,84293,96060,114670,132479,295979,333504,201138,195151,171093,197194,284390,75947,203929,112614,87437,31517,101339,50684,31792,146383,109818,177817,101379,177509,42679,324363,107637,97783,118885,4205463
197,118083,120542,160227,281892,418034,240270,220024,187739,196947,249285,291435,40830,100159,45247,131347,108122,131152,116346,132117,64564,112163,319481,54918,205266,37254,358807,84430,300864,188983,5016528
198,71880,63770,129780,158620,224225,435891,322317,281236,264787,167678,268360,183563,147568,73696,51338,181672,162945,161992,126750,47410,162447,159063,66777,76971,112121,217103,170551,137480,43406,4671397
199,72817,106558,154644,192701,334786,407517,310221,293969,161551,167931,388416,81733,53406,178879,189866,51376,50034,158718,166518,89454,156502,79730,51516,115402,58819,203137,146924,141092,107690,4671907
200,108786,135934,170350,259324,329778,335001,304414,149019,140226,162725,222623,153254,177813,110112,199412,104383,85661,156490,94592,63193,64199,60504,132917,62526,216792,157589,131013,160905,35763,4485298
201,153192,186332,226032,254651,318506,318679,164256,156226,143584,117267,262396,92274,85423,146978,71975,101555,90888,131378,135628,155457,45708,47622,154979,145536,43390,53885,141646,80498,186280,4212221
202,216746,206413,231138,262341,318055,185648,160420,156166,110910,101995,330117,179008,101236,57372,101281,73356,103226,48904,133565,178250,129600,103545,44002,85209,187350,93005,156184,38897,37437,4131376
203,146939,145410,156335,163296,194402,184359,154980,111121,82861,137160,60891,226923,54026,85088,100673,180902,124603,70765,133226,130594,157422,148744,129176,40436,85529,42118,99778,226234,120532,3694523
204,61023,154048,143962,129922,139563,184294,135725,72856,61131,96951,70017,204657,72504,58010,113193,109448,143921,75306,54194,49326,127675,29022,154572,145030,147581,62627,144272,146595,74678,3162103
205,49454,58394,138152,125873,131385,133406,169427,64707,54034,98611,170804,201125,71784,103476,37092,41317,116630,36288,124327,28168,108806,71801,171757,42838,176221,91329,165819,115813,81094,2979932
206,69277,70218,114879,80983,78128,93754,89882,141232,61450,126864,150111,201130,152729,99618,57915,130290,31301,60401,84280,71772,117886,78572,74578,53695,125928,40453,183030,120598,60233,2821187
