node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,18,30,20,0,0,18,0,23,10,10,0,0,0,12,0,5,0,0,8,154
1,162,0,0,0,0,5,5,3,0,20,5,0,8,0,10,0,0,8,6,232
2,6,1280,18,14,24,167,5,3,13,19,0,21,22,2,0,4,25,8,80,1711
3,1554,51,34,53,4,292,10,10,0,0,0,3,14,0,0,169,0,208,0,2402
4,134,0,2,9,2,2,0,0,14,6,2,18,10,0,112,0,115,7,88,521
5,16,19,94,42,11,56,0,14,0,11,9,0,0,2,2,18,0,59,17,370
6,37,116,37,4,64,63,8,13,10,10,10,11,51,10,101,4,9,3,0,561
7,46,79,20,36,91,17,17,6,8,0,7,11,7,17,0,31,0,18,14,425
8,39,14,49,54,3,136,0,19,4,10,17,13,50,0,5,8,0,24,21,466
9,196,0,0,10,0,78,0,10,6,0,0,122,0,77,7,0,33,3,41,583
10,161,0,2,15,0,0,4,0,0,8,176,0,55,12,0,22,3,36,21,515
11,0,4,0,5,53,134,10,15,2,110,6,43,10,3,10,48,10,0,3,466
12,174,1101,500,101,12,16,29,24,121,2,68,34,12,40,36,14,5,15,9,2313
13,37,6,6,0,0,1,0,14,0,0,7,10,0,0,0,18,11,14,13,137
14,14,24,27,31,11,20,86,163,65,66,17,63,11,35,28,89,41,25,114,930
15,3,1,0,23,0,0,6,0,6,0,13,18,6,7,0,11,0,9,0,103
16,14,10,13,8,7,0,8,12,0,1,0,8,0,1,2,5,0,5,0,94
17,0,42,0,8,0,5,20,9,1,10,2,12,0,10,0,0,20,17,0,156
18,11,4,20,2,0,0,8,2,0,0,19,5,12,0,0,0,3,2,0,88
19,0,0,15,12,3,9,12,11,10,0,0,0,7,8,6,9,12,0,0,114
20,2,24,24,6,8,11,16,17,18,4,8,0,16,0,7,9,25,4,2,201
21,0,6,6,7,4,2,23,18,0,3,10,7,0,0,0,4,6,4,6,106
22,3,16,0,11,10,12,6,7,8,0,0,10,10,14,5,9,11,8,6,146
23,3,5,2,8,12,33,12,0,16,11,9,6,0,0,36,26,44,20,33,276
24,29,10,3,0,7,2,25,8,22,10,0,0,3,0,0,6,22,18,19,184
25,0,0,1,12,4,0,9,5,29,0,12,0,0,0,23,6,3,0,4,108
26,0,14,0,52,74,24,20,5,0,0,8,55,0,45,10,0,38,15,30,390
27,20,4,0,5,0,8,14,2,14,0,10,0,5,5,17,0,10,0,15,129
28,0,9,0,0,6,3,0,51,0,0,20,0,0,0,10,9,0,0,8,116
29,10,8,7,0,16,2,2,9,8,0,5,3,0,0,1,18,6,22,8,125
30,1,10,29,6,11,11,0,10,0,9,9,18,0,0,10,4,7,24,6,165
