node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,dir_43,dir_44,dir_45,dir_46,total
0,84689,68739,138474,100406,33566,28603,23780,17507,63743,31692,29819,28576,18844,16723,23963,36311,22616,48745,79568,63279,107616,40793,29095,25440,29219,32652,31576,34056,34877,28619,159306,458133,69556,91769,30615,28509,78278,84924,27618,27647,32199,401943,191811,31727,26748,27823,54020,3176212
1,190460,94644,68382,55413,30477,31786,22908,18976,38606,25168,18329,25607,18021,23823,18451,29762,24603,38771,31531,28929,34465,37788,38291,31830,34223,46348,31022,32266,30161,26909,71964,58894,39716,41853,30802,39877,22009,34058,44653,29669,23349,295343,110174,42065,31448,25864,39505,2159193
2,36041,16021,58600,82933,60943,18846,18535,14747,38796,33913,25709,11579,18889,18736,15318,34211,18037,47265,53675,45053,86988,58751,57204,46524,47412,28285,35341,30442,29507,27735,167646,140027,202945,74213,113215,40603,26473,80584,105200,35068,34392,63864,253370,44404,43076,39918,44144,2625178
3,154651,73284,80066,91619,39397,25800,24005,15736,46897,26044,26794,27834,23046,22105,21522,31195,16523,40653,35670,30185,39026,30161,34399,29152,31987,30259,32500,33968,31969,33017,93892,58709,40951,40313,52523,44256,37455,45646,46109,45556,31198,290343,147868,47985,50488,45316,45714,2343786
4,117036,77291,77172,82392,36831,30242,25285,23018,31853,22327,32148,25570,20194,18869,18755,25045,18157,24622,31444,34052,35030,29228,36546,29109,26300,32046,32408,39484,29240,37070,127001,83212,54445,39032,51637,49524,42799,29592,47970,54976,56180,32749,154223,51210,55559,48350,32768,2109991
5,83246,40311,69982,40799,29890,24501,20898,29919,25127,24433,22838,24002,17994,26240,28221,25334,27363,28595,43715,37247,40254,39566,49106,39459,37445,34502,45697,33893,32446,39955,58224,110960,48682,57768,46459,43897,42662,27336,22696,42387,39862,29276,95010,41013,45966,30225,30644,1876045
6,57365,26142,45294,30132,27875,34436,20707,18026,24524,18368,21955,16851,12681,15092,16101,19539,22450,27410,17347,27605,31119,21269,35610,34767,35102,30731,33001,28402,19978,34949,37184,97217,31144,41023,29887,41266,35353,16764,26962,44349,39364,23265,90409,33458,40058,28937,21061,1482529
7,50668,25268,53054,32597,24277,23364,30557,20066,22186,14743,15091,12792,13482,18228,13930,26114,18892,27095,21202,30113,31212,32468,37514,34037,28903,35836,35779,35081,29784,33378,35122,108677,33023,43633,35442,27954,41081,21115,22708,39279,40733,22449,83339,34973,34298,21243,20460,1493240
8,135361,30349,68202,37137,32447,29476,27210,24681,34802,30521,25557,31349,29603,23827,28447,39499,33161,41233,31558,28057,39126,32011,37123,37451,35428,28125,35541,40747,34764,33875,113606,79376,31966,37811,28926,34231,41144,24254,29049,38365,39545,24496,73079,24001,31993,22842,24824,1816176
9,150366,59988,106164,60006,29785,30816,28291,31579,23307,40565,39491,39256,34888,23668,25413,51979,36371,54194,32891,35840,49030,38219,59011,45895,51054,48211,46995,50526,51607,71603,127672,62686,131946,41783,33804,64688,38890,28161,31422,37943,44712,34371,43511,23122,41503,28639,25691,2287553
10,72681,42162,91432,40648,28423,26109,29602,22342,20541,33336,30072,24590,30862,24871,21584,31523,26409,37235,27202,28838,34248,26694,35481,33222,40746,30294,40526,36339,42183,54773,59307,33613,92107,30973,48263,27646,30311,30242,26534,43585,39592,36500,61211,22384,28939,31786,26650,1734611
11,70265,39242,84125,42331,27741,30925,19758,18876,19832,34031,30955,31296,20872,24557,23581,26783,24961,45808,16338,28793,43290,28220,27958,30520,23545,27841,30790,34278,37168,47565,53068,38217,105693,32974,47687,34008,36729,25463,28964,38950,40873,38774,57102,23854,32787,30990,24367,1682745
12,94682,60014,74292,64118,48252,24128,24176,20305,22327,31832,20608,18966,27977,19553,18874,26840,24514,30457,24719,21584,31313,27792,34032,29042,25711,26353,30779,27552,25146,29422,75979,76108,91445,43007,56658,39519,37353,29881,34690,31395,43893,32305,69875,33028,34343,40536,34125,1789500
13,59493,29920,71408,27397,22804,20125,17940,20932,14852,24040,23347,24279,23021,19267,18197,21893,20058,35766,14414,24707,31207,27524,29424,27423,23674,22531,25368,33086,30253,35706,44109,20099,99812,24576,45468,29272,36021,27337,20614,32695,27680,23220,55242,23805,25803,29420,21770,1406999
14,61487,32733,72880,28178,24509,20936,21027,19236,28244,28168,20052,22313,20954,16093,19530,23147,21778,32173,17729,19864,31843,25926,38536,33603,33981,28358,33659,24691,25269,38832,37173,21192,103094,28014,32736,31589,40042,34195,22237,29545,32315,22133,62650,24347,24208,20078,28223,1459500
15,50020,31252,53003,30684,16482,21049,19305,18772,16981,27632,21540,21812,22360,17608,18511,23177,21661,25669,13904,23886,29704,26028,26045,28924,27765,27107,32288,27813,32825,40406,42064,20138,95897,21821,29005,26614,36508,29760,18828,29706,42675,31570,79621,20842,25627,22238,24337,1391464
16,39791,24567,38292,29736,22796,15209,14041,20126,39749,36506,28088,31938,28132,23143,21031,18247,29981,44371,20034,25811,29432,32031,31693,40035,29088,27855,27264,37766,25621,31960,32001,24765,71300,32928,32288,33302,38221,36881,25250,37256,35590,32078,111494,31099,28611,21444,27354,1516196
17,65882,52952,77821,46837,20655,20194,19072,21269,20852,29292,24134,17651,25320,22011,18772,17170,32323,38308,25229,21746,23199,27683,30538,25334,28008,17719,21506,26099,27242,30866,49980,32798,95225,39887,31376,23988,25971,37707,27236,23932,23856,37754,65795,22561,27902,37067,20855,1499574
18,104125,73626,105472,48750,34375,24359,21188,28496,20873,37057,27147,27781,32878,22284,20606,19609,34075,19670,41249,37075,38469,33492,35129,39449,32684,39371,36484,43985,36394,56160,79757,115137,34147,53283,34204,44440,40457,41511,37006,34691,58815,50930,71248,35887,32077,33141,33748,2002791
19,69111,21126,86644,42833,33212,27266,22810,42777,24168,30311,16399,16443,27203,13748,12713,12128,16097,13517,26386,44213,58700,41109,47227,43321,45625,45420,56382,51085,49869,55775,48455,86000,48374,42203,34739,46936,49688,72678,33014,40919,32681,38829,110422,34347,42046,45334,42045,1942328
20,71848,36011,77303,48580,34286,37932,30545,36196,22645,33577,24504,23291,25810,21667,22067,20039,17413,27015,41183,45011,52356,37569,40404,36608,37543,38575,50102,50855,45989,46881,53769,82135,46857,52313,41630,57567,60107,50841,41795,40673,48628,51451,104829,37180,42335,45611,45300,2036826
21,43701,21603,61169,46649,29869,21509,12693,21175,5918,22091,9498,10209,10848,5491,5111,7938,11764,6850,16483,62706,50942,32562,32977,37141,27465,27926,41602,42123,34634,43065,40634,82403,234231,48265,61286,72055,82245,44946,51184,66182,50279,65268,73821,61239,68529,81585,42432,2030296
22,29752,17026,44058,28516,22428,16219,16942,18019,3344,12437,10444,10661,12871,6754,7221,5914,7806,8921,16904,34331,25542,28438,29484,23321,27453,26112,25462,25522,29003,32141,24014,61575,189999,48447,76588,47203,53419,45875,44554,49904,48580,45687,51635,36056,35991,37159,41025,1540757
23,47477,21592,41904,39785,22657,17605,15736,13619,7557,24457,5617,8835,12077,5715,6752,9428,9094,6175,13318,35466,24990,33866,21460,29951,23624,25169,24573,25555,26096,34280,32739,61233,198432,54994,76300,44021,53145,53205,46166,50219,46272,68837,64588,39279,38023,41947,48746,1652576
24,31496,20608,35585,32194,23422,12173,21270,16092,10748,16963,9099,6992,11625,5899,7008,10054,8866,5742,15679,34010,23759,29368,20505,21461,26590,19418,21584,27326,23010,35480,21625,68972,185401,33895,40603,82001,45380,54712,59306,52601,54380,55392,51562,44674,38912,38150,48951,1560543
25,28561,12595,40273,26859,20184,12111,10143,14151,4841,21621,7868,5351,8113,5001,4093,3609,7394,4846,13171,29954,21032,36285,26809,14658,27083,31389,32023,27420,24278,31481,26784,61095,194203,39317,42077,80602,41665,38635,31901,41768,28882,49554,70696,29856,32321,39786,55015,1457354
26,38620,15202,17470,34928,21267,15235,15193,16394,6627,18320,4770,6969,9462,5015,5426,5221,13684,4145,12289,28076,20808,42814,18941,28529,27046,14040,27243,25155,27197,46134,25344,21733,59261,194644,41445,35443,104338,43664,51884,40262,42007,41228,35452,36466,37739,44227,49550,1476907
27,22619,14529,37747,29041,10160,12985,13282,19571,7521,23972,7170,6573,6251,5443,6968,8062,8217,7367,15358,43784,29814,51799,28882,22858,19266,17831,17362,24263,21217,38364,22969,28019,76443,226595,38788,46152,113220,42980,45327,42627,32971,50569,43567,65880,37953,43710,58709,1594755
28,36065,23242,12302,28475,15974,12597,16176,18081,3162,18281,10268,8342,10711,7131,6537,6945,11413,9515,17065,39236,33228,39018,20624,26235,18115,22268,23241,25523,26254,36105,23674,31032,86348,230983,49664,49895,47628,104436,33632,41157,48154,47417,40556,39136,37068,43068,50978,1586955
29,27942,16946,17496,28687,20749,18408,13811,19820,5688,22065,11799,8946,8708,8598,9950,5740,10004,8056,21214,43374,39793,51267,29753,24657,23757,17351,20076,19734,17471,29146,21351,29287,71249,210694,39864,44068,44338,99830,51397,40391,39187,53642,38713,47801,37383,32710,45706,1548617
30,26937,5094,12476,22984,20869,18114,23492,20387,7704,53496,19757,13038,10929,6359,6569,10041,10509,11190,33238,40994,38973,49422,34834,26265,24071,20199,20743,17822,20440,17569,16685,25000,86619,220445,49536,40305,46415,108115,52436,43947,33765,39318,256248,36059,40683,39264,37797,1817152
31,61284,24583,24534,27423,16522,70614,21897,23501,21202,15593,15669,15593,24022,14868,44718,73626,59453,67767,15896,13110,15690,14170,16592,13658,15078,14749,18699,62815,126045,87436,83096,211235,36634,46551,17100,18658,53248,49910,18490,17444,19765,277229,189658,20945,12742,18761,38998,2167271
32,58725,31292,21355,28131,15779,18153,18708,12081,28432,25800,20369,24694,18035,23372,52602,70806,30291,50835,21258,26979,20347,13805,10777,15103,15713,29301,9961,16180,9535,11474,43803,23520,14647,12662,13686,12422,8223,12463,14332,11282,10056,213828,124313,11963,11769,8499,10859,1308220
33,109510,94557,115386,114845,50755,29152,35945,26144,26761,35022,19566,27478,21831,28552,23361,48134,34618,42795,38074,41016,41828,20247,15990,19678,21524,19394,18319,25162,27503,143318,90196,203060,39980,83849,46713,43059,73337,77794,34443,44658,63963,224532,124371,28924,39721,41632,39473,2616170
34,132479,37212,90290,52640,15721,13578,11333,10945,14088,13677,9920,13000,9878,10655,13393,16868,15422,15948,17318,21158,27589,14517,16445,19512,14625,14004,22377,18370,16339,34804,49945,15639,10970,10106,14043,13780,15547,14227,11059,12201,13629,78885,123049,8229,15233,12101,10346,1163094
35,40201,81034,54784,20858,15021,15591,8565,10033,6863,9119,15219,9304,8187,8770,20804,7147,9831,12356,6893,9945,11746,11105,7594,11204,5670,12421,12702,16176,17739,74693,35548,23260,19978,7122,9226,12201,9988,10121,14073,9762,15253,12604,132417,7734,9847,9847,12755,903311
36,26453,49282,28332,40371,18708,20785,16757,13369,17381,14584,8093,12738,13789,16072,27138,16704,15610,17053,20064,21436,19105,21391,13997,10896,14544,17592,15083,15740,13924,60070,7167,54736,27741,14572,9480,7143,6478,14410,7954,5667,8051,12331,141951,5778,6326,10223,10307,967376
37,21662,25003,17708,15438,12717,7505,11119,13577,8613,7204,5918,12313,9558,7327,10961,13301,11372,11384,10707,12100,9660,10852,12746,7829,9757,10079,11503,11241,11585,18970,8222,91828,19017,19269,8466,7395,6892,7437,13067,4068,8330,4007,42513,5932,6271,10528,10257,633208
38,25265,27849,11699,17561,14411,12454,8123,9410,10593,9948,6620,8188,8980,6882,15132,9262,5817,7350,12838,11673,10804,12264,7918,10735,10061,6971,12317,11664,11633,29052,4755,73288,14610,16559,15539,3950,6861,6910,14130,5623,7583,8665,88103,6063,7792,7895,8421,660221
39,13260,47500,16500,13403,9622,15024,13243,20505,22197,24242,19785,17493,16575,10605,26500,18752,15939,8809,8859,10070,8683,10717,11997,11752,14067,5473,7620,11796,9101,43038,5571,64348,14823,22980,12705,6303,8677,5411,7135,6639,13748,7371,74627,8935,8089,7995,6261,764745
40,15220,29600,16352,11820,5517,8899,12814,13541,16547,14895,16795,15182,12567,12008,19272,14865,8409,6431,13857,7858,11474,9367,6549,11092,8429,11269,8438,7729,14782,27242,9340,24360,59755,13121,7760,15823,7570,6321,5498,9245,8962,8330,96997,9208,7940,7059,10449,696558
41,17306,31882,11927,13660,6715,9227,5215,6870,10825,19599,14100,14205,15796,13659,18107,9671,12174,10817,9548,6151,10506,7861,12811,7434,10936,10326,14623,8201,9597,22673,6717,23551,80658,10087,27741,4886,6277,5874,4906,16023,12087,6045,70180,4831,11998,7347,5808,677438
42,17796,31428,12142,9938,9440,6911,7339,9894,9775,13581,18483,11486,9669,10674,14423,13838,14974,6501,6005,8487,9723,10925,8196,6389,9544,8980,7019,10555,10191,23292,7355,19858,80860,6362,28847,10353,8597,6080,6046,18593,12390,6798,63942,4110,11638,8205,5897,653529
43,25358,60020,37117,24109,9675,8779,6883,8946,10524,15723,11982,17239,13357,10870,13387,18542,17737,11869,11776,7345,3613,7839,6856,4480,8053,10434,6609,7037,9059,26687,13607,48876,75889,16182,38138,18973,22972,13483,15251,16314,18343,13942,76412,16423,15460,10914,12162,875246
44,9723,26443,8135,7858,9160,5699,7049,5941,9157,9075,6923,15867,10871,16101,13557,15000,14123,9691,4657,7266,5999,7247,5180,2589,6578,7588,5285,10693,4182,22731,6786,17126,73168,7551,29936,9071,16920,10474,4464,7319,7140,7900,79181,5308,8491,14628,8549,604380
45,13030,25923,9923,6802,5600,8203,5964,8663,6059,6470,5766,12655,8781,10346,15681,13194,16005,8078,6570,11045,6530,5847,6647,5639,5874,6362,5071,7667,8944,15689,7159,19705,83617,6663,16137,11927,17364,11145,9139,7949,14957,10051,56936,6889,9395,6022,7201,581284
46,10611,25126,8065,8711,6223,7030,6334,5869,7506,8683,6041,12330,5988,7910,13144,11498,10076,8255,10376,8708,4810,5776,9251,4375,5080,10521,6293,5274,7715,11155,5934,11670,76990,4704,23185,7865,13387,4572,11021,10310,15573,5899,64633,8058,6232,8533,6874,544174
47,9064,19681,6169,14315,7763,5409,7221,44831,16721,20222,17914,19861,14256,12892,15112,9872,17220,6378,11064,11267,6583,10585,10965,6317,9667,10904,7036,11975,10766,18375,6785,11156,33430,6248,19650,13794,10858,16254,11054,10648,11554,9264,132541,15037,11828,10457,8828,729791
48,30165,8725,11209,11269,8771,4534,5552,11050,14035,10094,15248,7819,7139,8616,13878,21353,14067,7647,17851,7891,6337,6634,5431,5867,10563,8259,8735,10559,19717,19536,14162,66210,65347,14528,12824,4207,4093,4377,8199,4788,6952,7570,69845,6115,7163,8740,3696,647367
49,38580,25254,16136,10638,12330,13229,8200,12043,12933,11993,16515,9254,9402,10510,18838,13362,16448,19001,17750,7776,14727,6871,7762,10047,10192,6266,9917,14175,26066,20617,25585,91836,23063,35098,8549,13093,17811,12596,10251,14656,22553,23359,45368,12807,14159,15442,13448,826506
50,39725,16392,18048,12118,12303,17857,5838,4765,5413,6921,12964,6128,6552,5390,9585,4692,13477,17845,19493,15740,17668,14211,15369,13195,16589,14368,17750,14250,17727,7415,28408,39275,41805,21258,13717,14539,13053,22616,9315,10141,8437,5267,55457,12748,13732,19293,15146,743995
51,35260,13690,9660,7946,9937,13925,5021,7619,6439,6422,9283,5483,9946,5760,8636,8299,12932,25846,17358,12479,14944,11233,10294,11372,11157,12824,11396,15172,15455,5920,26412,33555,34377,13108,12481,16445,13427,5815,8417,8103,5218,6945,85541,10645,10647,12409,12215,667468
52,36749,24310,10491,12093,8704,18798,7835,5941,7006,5065,9725,9104,6367,7268,14567,8261,6286,38138,22656,15898,15788,13035,15081,12510,12201,13808,11692,16790,19447,4813,25908,32581,45309,8819,25475,21185,18609,5210,19916,12381,9259,6907,41333,13125,21118,22517,6482,746561
53,32899,13582,5550,8948,7239,11324,7727,7569,8694,4950,11236,5282,6757,4870,9993,4591,6963,14931,11801,10354,11533,8703,6095,5037,9116,10521,12075,10579,14771,4606,13331,25427,20457,7168,40114,11134,10047,5194,21047,10683,4293,9281,31763,12664,6966,5929,4739,528533
54,28270,15299,9125,13230,12173,10293,6136,8074,7226,5838,9977,4466,9527,6356,8702,10396,7347,12647,10003,12336,7120,8451,6081,7161,3854,10175,5037,10100,21570,2312,8399,30717,18437,6163,43345,9494,7032,4655,8293,10968,8122,8259,28183,13577,9277,8639,8220,521062
55,26381,26774,13693,12832,7760,11729,12740,10015,6397,7474,15027,8584,10232,10173,12176,8852,7819,16472,8548,16433,7224,10381,5960,7383,9322,7443,12749,12656,18813,10137,8974,23836,19525,4195,4717,43963,5346,4317,8446,7184,6548,4279,29244,5524,6458,6517,6271,547523
56,22953,10052,4907,13271,5617,7982,13052,4502,6784,5843,7747,4725,7822,1461,8775,3493,6448,15085,9996,11296,5238,6908,6159,9883,9375,6606,8311,6242,15735,4672,11079,21518,21190,4108,12159,44081,7975,6190,6011,14449,4597,6044,19547,6433,10691,7807,6421,461240
57,29607,13200,5410,18599,6862,8817,4991,7515,7148,9851,16797,7438,6216,6285,14984,5903,3510,14654,9374,17558,3167,7849,3422,7518,6591,8248,8851,10635,18555,8865,12140,21746,21452,36928,6334,7863,49068,5545,7314,7365,10416,5235,6186,6255,8497,5546,5719,522029
58,26067,11861,9686,17820,6383,10785,6526,7877,9705,4676,10869,7879,8071,6188,9240,7972,9429,21038,13741,15935,5024,6868,3771,5609,8389,9732,5930,10908,13743,7718,11906,33239,29073,52184,11484,5399,37462,9686,5280,6205,5029,9531,7835,32660,5175,7309,6688,575585
59,27420,8432,9810,15757,8474,15007,6932,6406,6598,7767,9894,6778,6765,5892,10953,7139,9074,19347,14298,16008,7407,3860,3627,6172,8151,10348,8409,11082,16676,5591,10558,31944,19371,57508,5255,7105,4220,52262,1837,5343,5994,12210,8450,3528,5217,7369,6289,544534
60,31102,12979,11423,10396,6292,14802,10075,8381,8996,13084,12336,5775,6172,6167,11706,6123,5937,18356,10919,16154,4090,8334,9193,7679,6492,7800,10121,8377,20529,11633,11800,27409,27651,47361,8477,6445,8541,49037,8268,5844,7203,9169,6022,6340,4280,6505,8766,570541
61,82276,15845,25170,13101,14145,13366,9187,8569,8339,16998,6733,7208,8646,12986,3914,7925,18566,15433,19067,10993,5847,7564,7022,6216,9385,8872,12018,16708,10472,15355,25007,33163,28086,68575,10733,13110,11468,70033,6797,7631,9367,9517,38673,12387,7058,7587,11754,788872
62,37982,25264,17931,26075,11113,11107,10896,15870,16692,8651,7779,8014,17556,9876,18698,57220,39723,55371,13672,11445,16001,11608,9416,17617,11632,16135,15004,26355,38963,87582,82875,69175,29974,24902,11373,11284,28425,27828,10255,8412,12824,78631,161692,13238,10878,13350,28658,1295022
63,22483,8541,6463,9349,5670,6702,11562,9116,11961,4976,6955,5958,8292,14032,20756,8009,9618,9272,8199,10676,11742,6250,8450,11306,12822,10783,13524,28687,37881,46300,48188,23883,12192,6580,8595,7253,9319,11551,6869,7305,9372,73513,109957,7898,5497,7619,8321,750247
64,13794,19770,16556,27541,17540,14825,17267,18856,14191,48374,37690,35936,31071,22111,20947,19510,22278,21496,21942,20413,25190,31150,50593,59568,64421,83626,56881,48810,50658,92346,49600,86308,25972,42137,32331,28918,36963,43504,31292,27380,38876,135992,140338,25932,27507,26687,25796,1850884
65,45194,128373,138811,65757,112746,61960,26036,18740,18948,21867,21357,15470,16148,24430,16165,19345,22307,24989,14748,18788,33889,24611,40664,24201,19610,27540,16818,23440,25921,21999,79446,22293,9751,13088,16244,12242,24074,9046,15763,17617,13579,145640,96678,14613,17898,10904,10840,1620588
66,119758,94588,17198,17736,13620,10041,14236,8255,12173,11745,9417,13813,13919,10974,13220,11742,15672,11852,18808,14492,15186,11509,10113,10373,13041,12806,19160,18464,52075,50266,25424,29955,13181,9444,13362,7394,10415,8710,10213,6643,11953,11943,160960,7821,10968,10821,17371,1032830
67,82203,41354,44227,19872,13896,15913,18708,17351,16200,9262,15089,15273,15215,24140,21431,17835,19810,22136,20951,24199,24784,14165,21013,23989,15140,11714,19561,21878,28619,15246,20899,51452,15202,18738,10626,5336,9373,9127,9784,6699,8113,8395,144657,5973,7135,11281,11461,1025425
68,82989,23354,19291,19575,13948,9786,17990,12794,11635,11463,11763,15073,8795,9323,12079,9176,14404,13746,12920,12474,13351,10042,4589,12293,8852,8113,15137,14128,21054,11102,17089,80358,19211,12252,8470,7311,5561,6896,8666,5553,7062,6249,52289,4301,6812,7011,6272,722602
69,64521,26771,15817,19209,18598,14253,16334,11516,10730,9534,12155,6224,12445,16104,8885,11342,9813,13264,16814,16829,13910,14628,9525,11586,9350,9769,14600,10867,23560,12524,13233,89388,18385,11956,16808,4382,2677,6213,10670,6873,3722,6126,45910,7722,4796,7033,7882,725253
70,26449,14426,18485,15146,14386,28140,16712,13677,14059,18181,14599,21214,24434,18183,14058,10230,11508,31807,11312,8249,11306,11376,14451,9578,5516,8363,12205,32716,11004,28892,25519,84299,12692,14554,6251,8349,5692,6690,3509,7471,13748,6499,66727,9922,8134,5134,5534,781386
71,26178,13288,14678,9525,17043,11763,17520,14974,11676,12397,12195,8604,15524,13546,9539,13571,9518,9801,5685,10910,6543,10036,12408,9957,9255,7741,12058,18378,8957,14161,22073,19728,61052,8367,9294,14768,6458,4265,4968,5372,14249,4621,69997,5206,8750,6908,9640,643145
72,22909,9759,12768,11151,12535,10311,14431,8181,15323,10947,9844,12904,12741,10371,9560,7089,9888,7796,8671,4431,11075,10137,7830,8151,6639,4915,9040,15554,10324,12753,14553,12682,72014,7201,24989,8750,7938,2895,6919,16353,14558,6197,72958,5079,11970,7636,7098,617818
73,20569,12097,12552,11458,12629,7281,8158,15309,13238,14182,11036,14238,18087,10638,13687,8389,6676,9271,5193,8476,12184,8458,7156,8603,5372,7202,9539,17930,10747,19426,9925,10958,70890,9058,22433,7808,10765,5410,4524,11836,13460,7473,50673,5273,9674,5589,5584,601114
74,38375,25096,13838,10715,9588,15154,12846,18571,19857,15357,13526,14287,16226,16999,20089,9604,10883,9802,7029,9404,5174,11490,9634,6632,4810,12093,15346,20911,15437,19597,20349,31578,94490,11678,39832,16427,18540,8283,6855,13996,16480,6943,43623,6171,9560,12709,9278,795162
75,17674,9992,8330,9178,10879,7424,8714,9483,11916,19243,14909,11126,11411,12364,16796,11011,8374,10025,9586,7754,6207,5062,3674,5803,5665,7078,7823,16267,11370,13443,8212,11697,83933,7575,28085,5795,14817,8318,6979,7150,6647,7212,64363,2666,8355,9317,7128,596830
76,16638,8617,10049,8529,7573,9075,9755,9085,9292,17275,14120,9416,11409,11373,13598,10919,10225,9964,3866,7700,6826,4777,4768,5481,6841,6441,7965,14427,9969,16028,6953,7914,52233,5529,17880,7444,16928,10516,5381,6936,10697,6678,102000,5699,9868,5399,5717,575773
77,20421,12076,6605,11147,9019,8898,10376,6793,12245,19376,9940,11863,17635,12823,14115,13197,9613,10601,5887,7505,7128,6527,4900,9670,8259,5039,10239,14965,11290,14776,6948,12008,53299,6751,21791,9085,13826,6082,6237,8881,19038,7025,53927,8003,9856,6213,6016,577914
78,19332,10896,7904,5673,11004,33021,18547,11932,13530,16935,11616,10062,12579,12614,22135,11417,9646,16667,8222,9895,7867,5233,6190,5646,5126,7199,7610,23432,14388,9639,15222,12815,45141,6555,14129,6507,12625,11579,7204,9321,12578,10063,143925,10289,10443,7179,9681,711213
79,28044,8045,8852,10497,8903,7326,13857,11013,8717,21595,11075,14443,11346,16090,16805,10763,10132,13571,8084,6920,7180,7717,7916,5340,5916,4048,6270,24617,15747,12757,10925,17108,60391,11553,14227,5868,6750,7259,7332,4121,6518,6788,86148,5580,7232,7367,8246,616999
80,32159,17488,10572,13608,12903,9359,12887,14756,14399,20796,19167,10415,13022,18690,17732,15426,19019,15322,13373,11565,14818,12815,8547,9719,8259,7419,10219,27706,24384,15669,23759,83571,21714,30894,8280,12886,18352,9152,8676,13849,19528,25577,93945,15856,15279,16361,15748,885640
81,51904,30983,28691,25519,21093,9612,8532,10734,11327,14952,8011,7866,10347,13045,7786,20104,21480,17493,10270,10561,8725,10056,11101,11441,7921,7694,8510,23779,14173,14178,26226,19876,48076,18602,12267,10534,15890,17174,8834,10889,7272,8734,53757,9529,9724,10245,8827,754344
82,50496,24578,20517,17374,16657,7755,6295,11001,11421,24346,11557,9016,10019,12086,9540,16842,18730,12497,10274,12446,12658,10721,9906,14487,7121,10987,11572,14453,10349,13170,19394,33151,57447,10084,14930,11642,16779,6024,9331,8811,10446,7990,45300,10095,10646,13133,13178,727252
83,48152,25053,20001,14275,13431,8620,6021,6560,4838,11349,4057,8860,10249,12972,6013,10167,34373,22977,12593,12294,10501,11272,8817,8669,14761,14931,12233,19379,15443,16828,17305,22590,61891,7885,40292,17894,17171,6479,18180,11303,9524,5807,42001,9375,14357,19603,8442,755788
84,40643,13943,17727,9070,10419,4100,6335,4644,7944,11314,6866,5291,3532,7369,9091,11367,10619,9112,13051,8857,6627,4727,8616,11369,7816,6642,6457,14236,6655,8418,9093,23173,19419,4966,33717,10875,6036,2661,19767,8851,6882,8239,30369,12179,11625,5649,3953,510311
85,43286,14781,17904,11322,8590,9139,8355,3218,4787,13567,9967,11843,7323,17051,6582,7613,12546,7628,12169,6703,8019,5462,9691,6045,11481,5581,11188,14892,10380,8073,8606,24466,21439,4580,35525,8549,5629,4460,6404,10647,7257,8253,15863,13086,8293,4502,4186,516931
86,40417,16887,21131,9543,9935,6291,8387,9076,11089,11492,4002,8016,11510,11490,12470,7596,15527,7242,11276,5218,5466,5666,6748,5177,4754,7023,6543,9669,10573,10965,10575,33545,16365,3371,6822,41107,8003,8704,7584,10283,10339,7572,26518,8914,6861,6484,6724,530950
87,32990,11652,13551,6726,6774,8742,6680,5472,8749,8610,7784,5387,8387,9827,7471,10859,14163,12979,8705,6089,5505,6361,4659,4561,8315,4757,5014,11232,9199,9670,8312,17736,21115,2038,11490,37508,8797,3861,3275,7957,4997,6033,34527,8384,11481,8348,7283,474012
88,34495,9147,20286,8324,8874,6317,4707,6609,7399,14334,6942,5675,4075,9634,7874,5926,14088,4603,10458,4389,3825,6798,4718,8186,2164,6958,5917,22566,6546,21682,7867,20154,21117,14160,8719,5586,49302,7582,4597,4363,8783,4645,6474,4872,10007,6659,5350,473753
89,34132,9097,18675,5237,9268,6772,1994,7905,10351,10431,7979,7269,8558,11770,10247,10797,14662,10145,14213,6668,3475,3416,3799,8359,7887,13607,10159,9765,8288,15459,10559,29758,39185,15385,6084,1955,50926,12140,5796,4710,2665,8438,8705,35639,3212,8643,4263,548447
90,34894,14498,17347,8410,7242,7549,9027,8566,7508,6089,8018,7233,4615,10704,6697,8535,19535,12740,14997,4922,4798,6509,5896,7541,6715,10518,14175,15735,9365,21984,5976,24411,19995,13133,5594,9799,2344,52158,3253,3348,2359,7175,7836,1915,4142,6290,5211,497301
91,35847,30885,26934,25816,10702,8751,4552,7098,11914,6936,5371,8380,8890,6344,8394,20335,11153,16126,6255,9787,9382,7607,7478,5781,11157,17080,22808,9383,29638,7866,30279,21933,16966,12836,7521,4854,6020,47774,4679,4425,4589,4794,10112,9721,5142,10025,3608,603928
92,45555,36805,27635,27328,7989,9323,7160,4767,9863,6597,5462,7332,6869,10881,9054,14364,13803,15557,6885,8977,7935,10890,10835,6268,6221,11794,17601,15219,26319,6384,28193,36150,20261,14753,9545,9276,6170,60671,6581,5915,3429,7533,39622,6553,5111,7491,13801,682727
