node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,dir_43,dir_44,dir_45,dir_46,total
460,18416,20843,63725,16677,22499,16448,6073,14480,17002,16274,6459,15318,20954,14660,16189,14327,59992,15685,71759,19033,12956,8670,12968,9849,11123,8857,15319,8331,12592,11411,13746,15624,45509,47604,15371,17096,27873,23694,15533,17174,25951,27662,22812,19097,24406,23994,17770,979805
461,17610,9411,12377,6683,5172,4570,9358,4766,9608,8659,23627,5676,13799,4827,18261,2185,14750,5895,23425,5555,2337,7905,13681,7518,14100,7102,5353,9714,4612,8234,4678,4221,33899,23551,7156,6267,7450,8210,3742,6997,16714,9181,11361,21023,2943,4181,4437,462781
462,15550,13998,10017,8520,9806,8248,5730,6937,17826,8819,10966,10881,14113,10355,22846,8997,6723,13706,25993,7109,6809,5852,2411,3408,11753,8575,17346,9609,3778,9116,4623,6594,30770,17859,4530,4439,5230,8355,4073,2264,8737,6466,11106,3807,6711,4322,5761,451444
463,22167,16009,4446,4809,4764,4424,12016,4629,11769,8696,14059,9398,18138,6112,10237,12807,11630,8735,13156,4999,7595,6283,6734,8694,5314,6716,5168,4942,6528,6751,6138,2377,40266,15759,5494,5369,11601,11727,6110,3775,10553,7457,7298,3967,4683,6878,7169,424346
464,14929,20531,4260,5881,15532,8175,11271,7565,17502,10455,24286,10828,6484,9796,8454,8018,11875,8502,5298,10257,9240,10513,9908,5422,8625,8951,8097,8355,9728,8607,2398,52927,18323,5958,8085,8082,9903,14087,5805,5831,7913,11580,74559,9182,8272,7367,7817,565434
465,21230,75117,20180,59150,23050,74052,210120,53955,26616,103785,80615,61917,70894,60899,53907,83340,49293,24851,49233,15542,45868,15408,55560,15059,39979,14720,36508,16070,34096,14185,29491,59322,35696,20422,20712,19501,28141,14364,21042,20018,18722,93164,128902,17889,22345,23249,16636,2094815
466,18921,129111,15567,35804,37013,40404,14298,50518,44140,40494,55977,47657,39230,39171,35138,37206,53289,19244,33247,20976,31163,20577,34564,17437,31701,18613,27871,17805,35461,30203,26175,29057,14832,11245,17774,17150,11096,13064,15878,19479,11058,47582,77360,20893,17474,14477,16163,1453557
467,18453,21550,11945,11742,16454,12834,18534,7440,18196,9815,12546,13071,10532,10037,9391,10854,14452,20680,14890,14491,16296,18824,16427,16765,13069,10233,12569,11704,9934,11349,70141,9673,14903,8241,9762,5032,2389,16676,11559,6799,6429,16239,32232,5400,7367,5716,7831,651466
468,26309,61232,13534,37187,21611,28643,28177,31212,42125,28783,34513,30810,29935,30234,48842,35613,30450,18547,23390,16961,30704,14065,25961,17620,30004,27621,34392,26889,9808,32401,45920,9078,7433,10978,6517,5469,6638,10340,8652,8331,7163,49050,76270,9974,9463,9815,8464,1157128
469,41661,13957,98354,25361,15345,30338,16680,33387,11373,45042,15475,32822,11281,45272,14821,41697,14496,8966,42984,11610,14759,11244,18863,44671,11055,33751,14840,13682,14382,54539,15298,16316,8140,14651,14553,13152,13237,7378,8654,11894,12772,10538,81962,12565,15763,13444,11289,1084314
470,36970,22168,11180,17964,14815,23192,12672,26327,19757,27254,10494,25727,15659,11936,12433,19023,35803,11948,12335,14286,12998,16109,15887,22329,16209,13520,15482,23181,14181,21520,22692,64085,17900,13430,7813,14172,6759,6129,10420,8485,14268,10091,31360,8590,10697,10165,10529,820944
471,28900,30096,13459,27087,13979,32911,10502,23647,8344,31119,12411,20817,14361,15602,10329,29326,25122,16208,19044,13259,11321,11993,13945,13675,10668,24003,13733,20906,17926,22870,9780,51942,8505,3859,6877,8304,6593,4788,10426,6382,7890,6587,34933,10295,9081,10500,9472,763777
472,32467,38054,9013,34687,13638,24862,11434,29977,17976,17318,13666,14715,20518,12318,15876,15228,24196,30810,9275,12133,9764,11558,8032,15247,11620,16194,13247,17771,9984,21771,12139,62929,8829,5301,10673,5193,7195,5040,10379,8687,11602,6878,13991,7016,12964,11023,10187,743375
473,29959,41463,8906,33457,8273,25700,8285,24644,8249,21166,8308,9507,11128,8832,18946,11558,13522,39693,11128,11980,10482,11867,13075,17107,8055,17794,11879,25130,11459,20030,12950,46528,5165,9499,5991,4626,6477,2178,3625,4584,8554,2604,43660,9003,8820,4522,6192,686560
474,45094,61147,40306,18645,32348,25040,29898,18302,34964,14903,10695,15129,7134,22393,10315,14558,21320,19478,35728,14280,11971,11292,23805,12719,21576,11677,20070,14993,17938,11441,28879,16823,45368,7596,6333,5468,10371,7485,7124,9268,14756,7278,69866,11213,11439,6679,7582,922687
475,47367,40431,38546,27119,27721,15071,16870,17009,7443,13738,6379,10147,9553,15766,9632,12688,16674,17382,51708,12342,10311,9079,13383,12007,10774,10531,10920,11160,23935,12083,20355,12450,47770,7699,6917,10773,8659,5396,6150,6782,12586,14244,32683,8406,15075,9108,5954,768776
476,70290,76528,31263,12933,33173,19129,11478,14395,11564,24051,8707,19119,10776,15786,10111,12089,17380,47789,97685,15321,18855,15137,19033,13914,18990,18625,43454,10400,31916,13794,31835,12315,47422,6866,10217,8845,15154,7383,11213,11774,17954,15354,49481,11028,14772,11577,12002,1058877
477,56392,34468,65782,23330,20749,15398,15638,36731,23193,29255,14884,9202,14500,12941,14326,16303,16411,15994,62028,24096,36119,19201,35129,24091,50442,19772,32471,34285,32488,26263,23462,26447,50558,12743,11568,13361,15177,13411,10717,11583,20812,11990,55315,11968,15937,24349,12412,1173692
