node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
42,157607,63016,91662,159743,99533,71858,59139,130405,106079,99439,81510,75343,76632,61338,151210,122875,98094,74553,197058,1977094
43,116606,76149,86614,53580,53533,78426,48822,40483,34772,39848,85821,61067,67179,132670,52884,38023,25459,159664,134123,1385723
44,125736,46905,41078,55948,142015,140531,45296,148713,100405,52308,97711,64815,35800,64342,95492,59418,73592,74902,61667,1526674
45,93213,232367,41197,84847,172432,126280,48384,34432,22826,65210,66822,95067,102443,40178,137568,186741,41940,75032,129079,1796058
46,105722,101580,113555,61339,45251,53752,60663,43867,68573,45874,59187,75025,50631,65451,42329,57404,45289,25817,155383,1276692
47,94428,125439,54240,158317,143103,132807,59287,109100,75105,98112,62033,64745,61880,58475,59826,163850,70153,94535,90283,1775718
48,112510,100359,176579,151427,220027,71088,60655,142823,58606,44226,116811,114609,98688,96769,49491,80621,264168,33163,114504,2107124
49,93068,167153,137759,93547,200545,129689,86578,123684,65041,48018,34294,58845,132440,59022,146971,39174,133012,68960,35423,1853223
50,140777,36243,58723,134967,124132,83737,87222,112573,64411,83026,159165,75343,60113,35338,30019,77085,58441,96893,74162,1592370
51,79290,110723,82235,179386,58081,56179,69421,40067,78866,61801,21317,38718,38665,49722,135185,143552,38212,182366,55430,1519216
52,92013,57032,176012,132095,114432,58859,21531,40859,70141,46813,68657,69895,45374,39595,121771,42614,88598,62964,75107,1424362
53,90899,65292,128915,87693,95299,72271,62986,53608,73823,38270,42237,95173,33797,81325,47141,56320,26296,61487,82034,1294866
54,51981,89135,90033,181537,253845,255856,24956,88227,75403,47775,136739,51438,66682,83556,58994,64861,63296,171258,70612,1926184
55,98894,49057,88810,37609,73053,57517,42117,66179,55782,77080,22078,51400,43729,42816,46127,45643,37670,83215,105627,1124403
56,208087,135626,66487,142949,98232,201125,61490,128718,63008,125739,69539,106072,144030,77741,84660,265725,53674,102605,151539,2287046
57,120293,143570,129943,90222,172124,111952,50604,39685,65596,79039,68972,78766,95076,47384,159793,39105,64255,20639,96070,1673088
58,186449,92442,70327,66037,171007,159862,53942,142116,25126,64252,132822,139342,55754,89043,24736,45378,90758,105329,162272,1876994
59,66100,111302,33454,65201,40061,47195,65602,35984,90339,45585,71728,23129,44787,49420,52980,67539,66082,42030,42193,1060711
60,223185,260424,74359,169045,137805,106289,53214,41541,18091,50260,90843,90832,144583,99098,36793,150675,214130,52211,123054,2136432
61,75441,126935,215801,168632,168367,125575,54742,114735,102011,68343,87522,79062,28351,153681,54075,133460,23230,122964,48594,1951521
62,57048,50299,147989,59168,152073,184497,88013,125359,67500,78396,65175,66926,131889,28687,58308,33846,92378,111283,90671,1689505
63,38602,231563,46410,175643,134296,163229,89550,123706,59917,85432,62421,122089,66416,92255,43584,75594,214504,66275,65673,1957159
64,53666,164378,63275,103449,183683,160368,149392,93630,95662,37495,49364,44039,99677,61569,64254,28957,60748,83082,42978,1639666
65,69543,209737,62956,91609,190867,157639,18405,103396,48663,71514,82079,63802,32990,112576,90551,62445,43218,163349,74979,1750318
66,45401,64526,68280,83730,65563,41769,57516,44299,97026,68760,50225,56372,39610,51727,24103,42663,43990,73900,77538,1096998
