node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,66,63,62,42,49,44,48,112,39,198,51,65,61,78,51,50,74,67,77,53,87,53,40,76,81,1687
1,39315,32,56,16,25,40,30,103,40,50,31,25,12,32,10,36,42,44,50,38,25,30,45,35,6,40168
2,2228,24,37,67,14,13,46,55,27,5,29,33,21,34,60,70,20,10,10,16,0,26,26,44,47,2962
3,27930,27,33,86,124,88,56,903,30,33,63,81,38,50,47,56,46,24,45,37,75,25,62,25,85,30069
4,2122,36,30,19,20,43,23,22,12,51,10,37,50,43,40,38,37,60,30,63,10,14,20,44,22,2896
5,100,50,54,81,65,30,24,69,20,5,64,18,47,31,27,32,81,39,37,32,38,30,46,44,59,1123
6,5,13,103,71,173,69,46,17,22,44,100,49,56,42,25,43,36,38,43,42,45,33,62,7,45,1229
7,7383,70,78,7621,19,87,6441,1350,37,83,57,49,77,41,51,31,24,61,66,37,51,40,39,45,33,23871
8,13780,49,10,3433,42,29,2753,3130,25,25,20,40,34,30,54,50,10,58,14,10,5,0,50,40,18,23709
9,1893,28,12,17,30,55,23,15,17,25,24,14,10,14,14,25,36,40,13,30,17,20,32,54,42,2500
10,103,12,38,5,14,50,30,55,46,18,26,34,69,37,37,38,52,32,44,52,62,15,99,44,66,1078
11,23,37,50,14,73,94,22,123,48,34,23,38,36,64,34,41,81,67,36,46,101,55,29,65,35,1269
12,3241,110,13256,91,29,92,1755,2247,33,21,70,30,40,63,30,53,24,47,88,39,34,35,37,36,40,21541
13,1287,41,8,38,42,0,44,22,10,22,6,30,42,18,28,10,25,16,37,30,35,20,20,17,64,1912
14,8724,61,23,20,2985,9,5657,83,92,23,32,78,28,71,41,44,39,26,79,22,58,47,56,62,52,18412
15,234,27,24,3977,0,12,9320,763,30,50,12,35,40,24,17,30,22,30,28,35,28,14,50,17,10,14829
16,258,673,16541,13262,182,12863,4162,161,161,172,123,132,162,128,163,134,146,153,150,167,111,173,145,139,134,50595
17,52,22,26,27,10,63,17,51,4,88,110,44,50,70,27,33,37,59,51,20,20,22,23,43,38,1007
18,76,50,56,46,28,44,50,12,25,113,197,33,49,44,56,21,74,20,25,49,68,54,31,55,24,1300
19,73,105,68,27,23,13,42,12,43,8,13,167,61,17,50,86,9,38,22,21,33,88,46,59,33,1157
20,59,51,38,40,38,59,60,39,29,54,19,37,166,24,73,66,41,58,42,48,43,25,24,52,22,1207
21,37,34,64,53,84,66,116,29,41,112,28,48,14,154,79,63,83,54,80,90,25,47,19,64,45,1529
22,40,48,103,116,50,53,82,58,25,15,55,39,8,14,184,48,67,29,50,41,59,55,31,57,53,1380
23,46,169,80,63,107,56,82,92,23,88,43,35,45,39,13,173,52,54,68,50,56,81,91,51,58,1715
