node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,33,32,10,24,29,25,22,41,82,88,10,20,20,21,33,33,58,38,16,54,60,27,46,42,68,28,36,40,15,1051
1,33321,326,194,120,161,687,57,19,156,174,20,30,16,26,26,31,46,34,40,34,51,20,67,10,25,15,305,62,10,36083
2,2641,7388,2932,183,102,36,258,120,75,129,15,200,59,40,37,53,52,118,195,32,31,39,21,16,92,2,439,12,46,15363
3,1087,4663,1313,82,206,206,659,9,86,111,70,126,5,137,17,20,26,38,25,36,44,5,48,65,47,250,437,77,31,9926
4,1229,1368,25,22,235,110,433,0,20,31,15,177,68,12,10,15,15,287,30,28,152,122,20,219,85,10,79,29,17,4863
5,520,1121,59,61,43,1182,359,156,70,88,364,41,75,116,20,66,85,37,10,31,83,40,61,25,14,232,200,0,14,5173
6,3748,467,642,189,117,272,26,186,81,49,52,17,41,4,5,30,26,58,61,99,7,78,17,66,16,51,175,48,18,6646
7,2022,362,358,853,203,80,133,105,181,173,52,26,102,60,30,32,25,71,49,58,32,17,105,66,21,18,202,29,21,5486
8,138,68,115,38,69,63,119,145,116,5,83,10,10,112,42,10,7,21,21,52,0,26,8,40,19,18,8,109,17,1489
9,53,143,28,110,85,121,130,208,13,72,128,12,41,20,32,36,26,11,42,17,103,45,25,63,10,10,70,0,23,1677
10,140,71,55,61,52,162,164,22,95,14,157,83,1,20,10,17,98,36,44,14,37,67,7,20,13,27,8,102,2,1599
11,72,68,38,74,53,122,10,138,15,144,114,43,44,50,49,210,32,40,17,6,6,13,90,20,10,13,10,21,7,1529
12,124,62,102,222,85,2405,411,680,4221,350,212,295,15,17,22,14,28,23,60,55,62,14,15,44,20,10,74,14,17,9673
13,6,7,14,17,35,2995,1723,1332,72,429,33,0,50,15,0,0,1,6,20,17,10,20,52,12,57,10,93,30,20,7076
14,708,0,6,10,10,29,164,271,95,2371,17,51,110,264,224,37,161,0,3,30,106,0,17,28,50,19,299,30,39,5149
15,342,2836,23,21,3,163,185,79,66,107,18,109,7,150,12,0,0,17,27,35,36,93,25,60,464,454,21,20,11,5384
16,434,1966,4883,0,28,71,38,831,333,129,24,135,107,20,47,592,24,69,0,13,44,28,15,25,93,115,46,10,20,10140
17,390,1533,323,367,5399,2647,27,25,1652,427,233,202,119,98,112,96,92,107,55,81,204,101,179,177,216,97,97,115,57,15228
18,144,1981,111,1173,9,387,20,37,212,129,45,427,38,388,61,74,91,39,22,96,41,61,93,124,61,35,59,62,396,6416
19,141,88,63,97,19,77,74,91,77,40,110,30,32,71,92,76,123,97,95,93,101,89,40,112,75,105,72,85,58,2323
20,29,35,52,43,27,15,37,36,60,64,20,91,36,37,29,56,21,18,48,61,32,49,44,35,23,50,8,10,24,1090
21,24,48,23,17,9,26,35,18,62,24,51,18,151,43,44,30,33,31,21,31,19,29,56,37,94,38,11,35,22,1080
22,35,68,48,39,9,30,30,20,5,51,11,9,16,148,14,27,41,60,3,14,27,34,41,32,28,61,49,20,30,1000
23,6,27,60,33,24,22,10,29,27,26,33,41,4,29,109,23,48,50,30,61,28,13,43,36,49,39,42,16,62,1020
