node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
94,106164,526412,354161,147397,139132,76856,338484,188777,492113,366918,488577,378123,115516,204487,500705,185065,227079,98400,102940,118655,229865,106381,115983,126226,83895,169376,123038,355041,256692,242626,271055,266254,218556,170182,108147,385893,69923,92331,182868,84096,322230,299330,293921,9729870
95,89674,221859,131063,73702,102689,119739,69711,207063,70532,158347,105409,172424,72247,112890,91151,77687,126737,114646,103889,90420,107447,111509,76465,151549,117887,112223,79704,176860,83745,84875,67105,92557,214191,207261,83467,112417,79100,80399,114578,113691,129478,121049,94100,4923536
96,155837,415684,593807,80046,97600,275600,359987,430501,499783,510649,351158,373644,204239,446733,632258,170812,193706,148622,178864,107936,145794,192922,195243,213059,78118,154651,230307,89628,269274,236351,333790,280239,263206,77621,105372,141586,134848,561750,714311,117060,260873,90910,238212,11352591
97,418304,104502,351808,121436,123246,455434,352299,279863,228268,434476,382156,405406,104729,359212,582369,166324,158424,110586,180785,176294,102701,175483,170014,92179,341212,76976,185185,124372,427903,105454,330224,306780,266408,285617,78378,94869,624756,94379,128171,102425,179110,351396,288496,10428409
98,299184,63338,116230,74273,322826,401756,86759,151411,358761,468597,362748,334842,79013,88403,484603,163026,198103,250356,139099,179070,74406,216087,159180,177493,272211,142864,76427,116721,183995,107427,183855,124611,146341,115604,93023,162819,92497,90398,173859,178949,194371,148751,185836,8040123
99,129460,89426,189437,49283,96725,123715,86194,155131,129833,62925,163547,159417,158471,140979,106624,117455,91747,84502,110055,172890,89891,163303,175625,201464,187902,83278,109624,197777,80562,109783,133854,97506,81036,85021,76087,71771,83250,75626,117054,102239,159357,299960,90081,5289867
100,138820,344965,142248,1040588,102372,432382,193702,270063,421130,402140,528303,272840,473638,394977,655355,137728,195776,87619,124598,151035,145372,111725,225365,219553,149311,161530,146630,124942,125473,557874,103785,430694,462550,379758,360835,120677,82278,708583,75198,396218,195142,219045,480684,12493501
101,261112,95128,339825,237469,446073,244212,394221,173453,499911,232571,401619,191912,93109,62669,451426,138148,89684,197709,162666,105078,137651,111931,179676,102799,193727,292346,150830,88153,141916,82612,150043,202477,91213,335346,359505,153178,112435,130998,111851,282904,97094,292832,174330,8793842
102,258753,192879,342734,1113345,106235,123938,303283,158219,318232,502918,575058,192874,183183,137775,100283,92964,91006,76495,74514,73786,206174,74596,230460,223805,208673,135499,140518,183121,180964,279698,258888,470312,81969,282844,75330,98313,79889,80830,418763,878381,81561,131897,151398,9972357
103,145851,173393,830779,408815,1193477,466670,176170,236643,446359,322533,267346,490378,116421,984797,712004,157548,120300,132175,95665,189032,120433,103253,159354,197417,106338,127661,191389,194572,89426,197489,559468,84036,449952,428581,437564,464003,157511,85025,817346,74518,425771,217296,146303,13501062
104,304282,71738,90571,319132,552276,73955,464612,802162,502354,165259,185334,102794,58336,612614,606106,135501,203178,203221,105303,174991,147904,142201,147675,77530,112572,123879,151471,140066,93188,226375,168737,186906,85534,335628,115746,221714,136542,111410,217177,172511,227470,253805,394802,9724562
105,305613,71483,369989,345257,153659,312544,575264,684128,148037,210897,95400,87296,683158,66980,723789,117058,97103,149030,124935,105326,171898,205145,168854,190917,219839,282252,280669,146143,118591,314424,113082,78935,101929,70182,108233,82930,89898,88486,67396,101492,163464,328463,271676,9191844
106,176216,181197,886672,196861,1301172,107306,359440,238150,112235,138653,256195,799456,142820,136990,90755,122735,115868,140198,136819,69384,155999,117598,111341,93336,252269,83150,73143,206587,75672,132750,133142,559545,105194,455803,415546,398804,451088,78334,77537,865399,153872,675643,191919,11572793
107,118806,62102,325161,280648,322879,724297,359772,397181,211552,368821,85169,545354,559895,63703,541643,129586,120269,168071,99785,155994,153022,99978,131186,182709,165003,161337,206796,171442,129065,230840,108461,123825,161755,93946,384813,460670,99115,205543,105091,82948,170718,295171,204595,9768717
108,194312,97170,291572,181880,288912,854796,160934,124855,863088,231276,313795,605517,92297,158087,88500,135080,102322,68598,95244,76476,69337,136576,158633,174270,247075,221345,139472,227288,176508,71418,312634,343872,429092,86048,345283,71509,76017,77957,81067,603088,643929,82902,191204,9991235
109,143440,87297,134167,225249,908162,232681,1214151,132041,200061,344587,126535,130388,241212,217517,97167,129354,169924,149985,183737,137919,92159,152368,85490,103360,81953,204107,74917,73269,204387,70205,82025,74082,608745,83768,433892,423478,387341,515158,102125,68503,691743,99556,591335,10509540
110,137636,67972,145600,53057,77063,75830,134693,121775,64074,185169,204629,46165,62226,138261,98087,183329,125257,125919,129713,94672,122097,167374,87431,120782,89354,101421,102073,90247,90606,91438,77375,90524,87923,105591,84217,68532,86686,72604,79554,80782,117501,126220,226381,4637840
111,85320,84504,60293,59750,52073,63226,320274,96748,170679,226167,59777,96583,191624,127544,101404,106422,153761,98776,127601,113969,98434,77381,79599,174766,91130,230956,201756,148484,168818,88826,74334,202726,93295,93337,82746,80216,74140,88866,79868,122505,127160,136706,166547,5179091
112,115575,422840,237001,134738,82528,351842,168006,1418243,777591,995635,496780,297865,219147,537451,531376,111775,161397,113791,149011,181125,154668,137769,167492,142459,116722,238556,262517,66007,178617,249217,166097,169979,69818,820494,138301,752331,594672,563887,703955,159954,71816,1081321,166154,14676520
113,267928,393489,174426,58361,102667,278441,420721,748878,213501,956270,340494,168291,760852,61499,552159,89561,121467,195825,147553,164575,124538,207494,219105,144397,184539,155842,155115,215127,431091,97780,189008,211835,138401,185418,113553,400714,427934,138225,184691,131603,171754,203246,56032,10704400
114,54886,87726,90401,67416,50121,68124,57631,96253,68019,164761,264457,66261,77156,100266,106894,143239,90556,118058,75109,93303,108323,78794,82266,70820,188272,82233,149629,134587,165447,161929,79744,69190,174742,89548,102046,87863,76471,78676,89395,101414,111737,83662,149136,4456561
115,374413,333854,100050,240030,74425,89701,84035,192015,188042,210678,244456,93699,74266,78649,403706,184534,167052,150370,120243,145845,104877,146751,99985,131357,127421,122539,113582,107933,116924,104712,111515,113994,95814,102004,106267,121421,106970,94804,127825,118860,123776,103120,135215,6187729
116,243434,107165,176443,171779,105241,207927,244623,209265,277170,215282,139510,239780,292520,158228,80281,121614,86524,98577,100594,86390,81060,102583,144599,121136,164215,130994,122784,109094,112764,78894,75953,71358,201374,410769,245648,124800,69705,80034,74488,106192,76154,71484,74285,6212714
117,112685,530467,130253,219148,369267,140455,410211,380211,393794,108964,227464,270764,348120,538629,586205,91136,94837,136395,105187,153836,221017,108099,94124,159990,161638,123696,252807,147582,132056,300666,123361,121073,123652,89941,67590,143879,191648,91907,102022,189215,200708,213105,145324,8853128
118,389378,204963,191638,406474,112244,410525,561189,163942,452886,109784,290163,320781,423492,247572,673216,100940,154662,95178,196812,148525,126330,96759,88186,147320,214207,168080,97698,129037,77225,194759,89375,184350,288098,94705,90492,79903,114882,107012,199256,158675,103734,263096,195919,8963462
119,114684,135668,150556,82811,80251,108609,147294,191983,158390,110223,136140,130275,115271,284163,82116,140638,104874,104944,135241,100465,130137,148856,79391,121352,90810,74513,98975,104777,89139,102312,82903,101540,103458,79967,76926,77083,90553,125993,115809,90393,161540,184369,164556,5109948
120,455118,158827,216982,197154,138177,128927,115399,255514,186060,359023,336608,155341,130489,139712,77633,82644,155385,124282,98590,155310,107594,110090,124332,227752,82258,149616,142388,156648,86134,149469,73052,80060,81935,65154,347199,319303,62974,74446,81312,126865,197384,76074,77090,6666304
121,82624,156914,222804,114149,49650,97534,90784,126445,148545,157243,70631,63130,106539,147597,73998,126070,110186,111491,108758,106003,121467,78767,95629,92068,89018,70952,74064,126903,146369,71511,81386,74621,92500,71188,83708,73047,68550,73626,145585,76525,185781,193910,153021,4611291
122,191586,141889,236206,127489,343711,129812,126556,116831,565375,267140,143567,153794,69015,539713,79031,86884,78462,84963,72250,104182,106461,169428,96591,139267,80989,127411,125348,73451,133935,143844,143135,80089,279065,74177,66375,72451,77180,224600,810366,84646,181885,130857,233200,7313207
123,217188,283098,375787,161463,149103,168791,371561,115430,549684,367825,460380,527938,149809,101972,504333,191788,91860,129991,142344,144680,116492,123418,97634,87315,228944,221303,156779,131152,197975,120377,99668,141665,99978,477840,358866,74039,107046,98543,229009,159716,186577,84026,110798,8914185
124,204291,133194,103773,514535,80759,210638,225149,282350,126239,136520,206683,222722,471794,146534,79028,76898,68989,130900,103262,105696,136837,130335,77831,125923,365983,74267,149672,153723,153419,146184,262400,79277,112788,82858,76976,342420,359845,74993,65454,85694,309676,273997,203798,7474304
125,54184,394257,87557,87615,133041,85190,427507,465655,359823,79265,351984,394506,131115,301922,614993,160393,256429,190784,111526,96885,136555,111464,79375,117696,91147,190254,165158,73539,257453,198359,132575,103840,157661,79761,102437,150441,181750,187176,82040,271954,219106,200094,259834,8334300
126,200598,108725,102596,74858,167216,361185,405355,305563,98815,334704,310207,173270,121429,376721,624402,133438,125485,85788,144493,171044,109438,190628,329839,80160,147466,80983,162252,162787,212202,112021,110126,115130,79452,87415,77314,87525,102265,73597,82635,260910,175850,404355,198650,7868892
127,360544,99534,73800,104351,432620,497494,119321,107008,380119,453868,466511,499478,146393,114693,597787,218041,201935,141955,124878,140777,139085,166273,179713,171467,243290,176182,81085,108588,342146,109228,246177,73122,102648,122139,105305,143886,85392,94924,119200,196235,91964,174305,117795,8671256
128,68917,142348,145670,66795,544446,77531,186592,290519,130988,107843,94006,154861,177257,152843,107867,80183,113238,78616,154421,84899,120885,117071,118352,72856,120992,278342,69461,179219,140453,195780,82704,157839,77236,75058,76364,80206,292867,319449,80869,71092,79860,398656,290440,6455891
129,273075,104965,1154816,730351,216947,434373,123134,939467,422025,343301,110914,912997,275960,397015,635912,142290,166088,80200,129212,95837,242791,85386,239793,235724,202981,76720,288928,262373,66271,280726,294174,229686,56230,615030,73099,94023,78577,104557,550709,666885,326785,191227,224975,13176529
130,344818,87013,655843,199209,456801,326471,662743,184846,508825,107210,817143,104987,175567,103193,546556,116008,108510,233992,164057,101495,136231,87099,169344,169771,110975,229868,180105,200582,86526,184702,204346,320872,66938,155856,567946,680782,66634,202916,101218,141358,377476,250482,188407,10885721
131,113165,196875,199758,81434,86677,109697,60179,140431,89136,184256,45859,71508,143850,172042,94765,116692,103572,80399,114637,113612,96737,120404,110387,100975,70253,98025,94491,95727,87064,81893,195975,190758,79524,120950,84346,81659,65095,70270,81343,97053,90405,218679,83202,4733759
132,391315,99807,257141,426762,293613,500224,750810,75052,509448,1001377,229820,143533,101127,459909,689446,106032,81765,81993,97119,195824,79726,169605,179467,134120,91936,160315,490905,325584,203530,373626,227112,97354,261632,148765,117367,114585,137807,459764,499957,61769,210485,306993,553413,11897934
