node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
61,40471,47219,60481,51162,53128,45967,41722,8831,26408,6666,34369,12819,27443,8530,22806,14801,59940,6986,10375,9673,16982,9588,12005,9909,33407,671688
62,68450,42463,70501,39899,19790,15510,44235,9361,32821,14757,21869,10200,28606,16159,23358,17161,48752,11142,8583,10940,14735,12021,7061,11625,33577,633576
63,79130,58947,49581,16971,25455,17316,31061,13622,10107,25729,25659,34346,20882,27054,24336,58172,9300,8562,8309,8717,22582,7911,5388,6349,43397,638883
64,72150,27196,63121,14455,38693,12590,29098,9618,21054,22333,17374,20828,21276,23180,16144,67259,7535,9395,5777,10297,17733,7925,9204,7750,32090,584075
65,62995,21272,55491,19218,46085,14020,37475,19434,18682,39134,32198,28468,17735,25870,28686,51026,5735,5565,8463,7519,14244,6433,5622,4907,38467,614744
66,64262,25927,30146,19669,30395,15616,27566,4314,20684,41244,21166,28387,24696,26617,17847,41372,47854,5159,7960,9762,6713,5304,5584,2953,40581,571778
67,75632,30131,54468,24078,32640,5764,30998,10983,45771,16374,28628,25567,36288,14172,18311,15595,47628,5108,4122,4113,4438,7510,4033,5638,48096,596086
68,28901,25079,25579,8194,13960,10991,16718,7772,23358,14379,16115,5015,13305,4499,10190,8019,43555,17904,16331,17353,9877,17228,15996,15875,15048,401241
69,24501,18494,5624,13137,3051,10624,4974,10502,5076,9400,6640,8237,8445,5568,3627,5526,6745,27141,3047,1617,12640,2130,3689,2685,5753,208873
70,6762,26608,7109,20362,7146,11368,9300,20523,17386,9631,11109,11244,8754,3538,5747,13434,15981,35621,5204,1922,8388,2361,2286,1273,5501,268558
71,7752,24730,9493,26304,11250,28300,5215,14682,15282,11109,5969,15250,7144,6633,4856,9223,4637,35968,1099,1449,9515,2674,2218,2320,7436,270508
72,13302,37833,8047,26714,6459,20019,7383,14835,19121,21923,10800,18491,9780,8938,8162,9660,40856,1600,2409,7705,1615,2560,2082,5064,8628,313986
73,29224,6454,20615,12457,15463,12833,11695,5121,14278,13657,7156,6007,4036,2001,7127,2708,36065,8818,4584,4896,5065,3529,3463,2827,11990,252069
74,25655,5551,22903,6519,14936,5882,11640,7527,7913,5715,8429,1728,7766,1922,8606,3922,40996,5669,2803,2428,23343,2334,4354,2928,3980,235449
75,54581,8521,42260,8503,13279,4973,12676,7650,9428,17209,4321,5272,16704,8595,1880,45334,9726,5637,5332,24129,3371,3953,6968,7290,29694,357286
76,46734,11825,17040,7821,11778,3585,20321,4845,5405,8875,5842,8600,2008,2829,6530,39628,9505,6358,8362,12164,9649,6379,3905,6276,32279,298543
77,28119,56181,14796,35016,19348,20910,4812,28236,4279,12983,12602,4700,11767,7067,8512,7822,45547,7412,4414,5729,5866,5782,2616,5436,14282,374234
78,55932,18991,35341,11869,31902,17516,30372,8144,14398,3842,8275,7893,6832,4248,6640,17880,41326,7154,7013,5517,10008,5458,4745,5530,20914,387740
79,56673,33007,56061,29333,15005,8988,29011,2092,16735,9564,19329,5272,18540,12089,12774,12198,34357,8454,5659,9395,10127,7580,6953,5691,37333,462220
80,39367,14837,10810,10282,10049,13339,9172,5801,16565,5731,9810,7191,8216,4322,7895,4713,32451,4660,2296,3488,1115,5515,2211,2550,2810,235196
81,66497,18068,42448,8956,19956,5107,23237,6920,17128,13636,15100,21504,16416,20521,18272,36159,5534,4550,4644,7537,11132,5303,3707,3635,23586,419553
82,68487,11268,32924,10148,25520,10827,17812,11384,15846,18351,17845,15174,10445,13712,18359,31149,3922,3416,4116,4358,10014,4934,4703,4082,24306,393102
83,56706,14232,43233,11040,33949,10575,37734,2721,19295,30971,17485,23197,18961,27226,15465,42616,36730,3447,4077,5180,3403,2515,3697,2356,52633,519444
84,51598,25251,7144,19417,9070,4973,10182,20597,82679,17477,23518,14727,7936,2977,8327,6648,32335,3962,3239,4981,3145,3951,1835,4530,27578,398077
85,28680,23803,9247,7946,9774,3534,8041,3734,38456,9984,15258,3123,9015,7478,10287,6428,37777,10464,12938,12469,7590,22564,9593,13066,9349,330598
86,19313,14272,3170,6513,4131,6181,7627,8592,4734,10430,5325,3236,1734,3949,4628,7774,3937,25219,3988,3228,7801,4368,3928,4175,8342,176595
87,8975,23466,3314,13813,5125,14357,5177,9007,10332,4990,5172,3740,5863,4719,6506,5153,7667,28274,1406,2271,4809,2953,2356,1562,4743,185750
88,5835,28968,10987,14889,2579,10934,3113,8519,9480,11984,9057,4727,3140,4487,8102,7171,4121,34737,1809,2800,7005,440,1226,2252,6387,204749
89,12598,29932,5248,26943,10241,25211,7430,12125,7061,9309,9041,4856,11661,7600,10306,8211,31617,616,718,6451,1198,2157,4136,4101,6695,255462
90,21294,12709,18893,6473,16094,6568,15008,1930,5868,5307,7783,2491,10504,3430,9658,4260,32504,6366,2334,6960,1823,1735,3982,1082,8178,213234
91,24964,10371,20361,5755,14159,8923,7113,2789,9235,5753,11738,1717,5951,1716,9435,5424,38771,4783,3499,3948,11508,3376,1969,3326,2643,219227
92,39035,11942,33713,4683,10948,6429,11433,5473,7712,11461,1970,5855,20630,6176,3829,55642,6789,3201,4920,13922,6578,5882,4766,5805,32649,321443
93,36609,9858,13596,3434,9735,4502,17009,5466,4490,16294,1762,15483,3558,4684,4496,51457,12502,5675,5723,10558,9001,4182,3289,5002,35166,293531
94,20737,35281,7506,26721,5732,14005,4258,13539,6301,15263,4524,1169,2210,6494,4327,5658,49554,3910,1933,4273,7611,2921,4139,3005,18134,269205
95,46236,16478,30101,12363,25383,7004,23176,4434,3216,3640,7162,4380,4228,6272,6528,10598,34352,4040,5470,3187,7121,5248,3967,4975,26180,305739
96,47375,15069,41665,9979,10171,7254,12196,2846,12546,5962,6737,3727,4213,15803,5036,15418,39290,7251,5778,7126,8483,8210,5058,6329,31335,334857
97,33175,12864,14459,9717,10163,5598,10900,4717,8961,4627,7075,3353,5883,10983,4606,7028,41823,4100,1127,1468,2162,5487,2033,2739,2047,217095
98,33012,14562,14882,8269,9903,4823,12230,4502,14456,11255,9477,4167,6820,10699,11414,11189,32787,2265,4047,1923,2652,1722,3128,1767,3165,235116
99,56576,12073,29965,10965,17031,9451,12311,11683,11004,12686,11788,18540,12987,16790,19821,37045,2211,2879,3135,3025,8929,4273,3517,3506,17777,349968
100,55035,11712,24897,5723,22302,7854,18013,2267,15198,15029,10595,11484,20170,13855,10311,33529,32774,3624,4298,3162,2300,2553,3717,1575,24055,356032
101,31548,24239,15132,19510,12379,2703,12482,18158,65436,19514,14172,8197,20875,4493,17752,7305,33833,2759,4009,4291,5646,3138,2260,2459,21315,373605
102,45229,26094,19791,11682,7019,8582,2614,9906,5271,4945,9507,5029,10985,4070,10016,8501,41480,16343,15612,17909,15951,12414,12494,17682,17390,356516
103,15017,13628,12932,8945,12034,5382,10920,9089,9504,47519,3849,5093,9439,6732,8582,12028,5579,17150,10923,8651,13372,8410,8868,7031,10923,281600
104,5443,17718,4379,5981,6915,8075,3552,5429,6391,1875,2696,6889,3022,2757,2379,4545,8337,22171,4485,2753,4255,3160,4010,3058,4947,145222
105,5688,29048,4808,8403,3511,7214,4464,5121,7151,10532,2996,5062,6458,2547,6981,6578,5932,29487,1416,2149,12192,1492,2535,630,3743,176138
