node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
314,52253,36623,73382,54487,55987,52870,22613,31652,82335,45710,53844,27154,29423,36974,26788,26992,23959,30187,64680,44580,73194,36488,30624,26054,21774,40932,26127,20607,25851,29645,20668,22517,20402,19456,15918,1302750
315,23168,24742,11615,19088,88271,21494,18534,17793,14919,23808,22161,22324,26872,20397,19465,11826,19934,32358,47810,28646,14795,46257,16040,14455,12994,21160,9158,11092,16941,18944,10568,9078,9218,6923,9181,742029
316,19795,20276,11254,12106,11844,18746,14329,12204,14159,10539,13837,34734,10463,35559,11587,13381,13196,44576,12081,7799,8490,8824,25241,14761,16622,11964,15083,8473,16148,24907,12028,15275,8776,7097,11001,547155
317,16535,34776,39824,22679,43294,27082,49340,20587,29578,18563,17605,52139,27749,21307,22204,17409,12703,54897,15497,19902,20663,20106,12288,20904,14767,22466,24561,16454,12439,16451,16442,14616,14426,12682,14204,817139
318,38735,58947,41868,39880,32447,9829,31980,40281,47332,35690,44251,43228,20302,39516,13131,41209,11408,50508,13652,37523,20064,37742,19459,90017,33772,20158,69969,39089,17007,21712,17665,22241,26185,15544,19633,1161974
319,16027,25645,46008,16279,30678,10909,7324,37323,7413,32326,9376,6440,5451,11785,6728,5284,44457,9405,28720,17962,21228,18150,5992,13309,33819,8118,15279,11229,14025,8581,8221,7268,7063,12894,5455,566171
320,6344,15380,20228,12497,13816,7567,20336,5423,4394,6884,3415,4276,2357,12202,4684,11597,13612,1191,17229,3577,17588,8226,55834,11337,5027,12795,8303,7242,5091,5143,4038,4596,6818,6201,3854,349102
321,21867,5501,16960,4695,23332,4926,8525,7165,11803,2740,1077,11256,2440,5085,3497,6054,11075,3348,24628,13483,5904,13417,43755,8430,8323,14083,3865,4266,6669,4739,4217,5283,5683,3384,1749,323224
322,21645,18683,19389,5394,19419,6659,9433,9964,3069,8548,6857,42239,17199,8554,7247,8884,12280,14717,14754,23161,14127,13972,15563,42753,6397,8369,10287,5360,8328,7862,5417,6455,4049,4063,7182,438279
323,11916,11025,5494,8625,10923,7648,10730,7078,3410,6835,7958,26127,7075,19711,14310,3402,9553,23906,11813,7063,9991,12665,13071,7626,33812,5631,11822,6046,3984,4993,8034,3714,5656,3592,5214,350453
324,27845,5277,23255,7063,5036,5748,7462,4570,1390,5564,1051,34123,6188,6127,5042,3119,9414,19471,4963,11708,15907,10053,11913,2707,48917,5090,8230,3772,3259,2111,4545,1400,3912,1522,945,318699
325,30172,6756,9268,6365,8146,5732,9106,5088,1988,9206,6447,17869,4943,6467,7199,7221,11332,5829,9938,7367,16129,2026,16033,19649,42133,6078,9018,14066,4475,4101,10499,10556,7483,3721,3360,345766
