node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
290,44000,39000,36000,30000,33000,37000,30000,28000,20000,21000,25000,26000,19000,23000,29000,17000,18000,24000,23000,522000
291,57000,65000,20000,31000,25000,55000,32000,224000,19000,30000,22000,66000,24000,20000,60000,17000,17000,60000,54000,898000
292,75000,48000,42000,24000,19000,24000,33000,250000,72000,20000,32000,22000,40000,19000,56000,19000,17000,51000,54000,917000
293,19000,33000,37000,20000,26000,28000,25000,23000,24000,25000,25000,23000,21000,37000,21000,22000,23000,18000,22000,472000
294,22000,37000,32000,28000,25000,28000,26000,25000,23000,19000,20000,25000,24000,36000,25000,21000,21000,25000,17000,479000
295,39000,23000,25000,24000,20000,19000,23000,22000,22000,23000,22000,22000,23000,21000,22000,22000,31000,23000,20000,446000
296,33000,19000,21000,26000,25000,23000,22000,22000,22000,23000,22000,20000,22000,23000,21000,34000,21000,28000,18000,445000
297,44000,64000,53000,22000,29000,20000,68000,160000,32000,26000,19000,25000,43000,19000,61000,19000,59000,49000,17000,829000
298,58000,53000,25000,78000,22000,33000,19000,188000,29000,54000,24000,33000,20000,53000,17000,54000,55000,17000,17000,849000
299,34000,35000,34000,19000,32000,25000,24000,25000,25000,26000,24000,24000,20000,20000,26000,19000,25000,18000,24000,479000
300,22000,37000,27000,29000,27000,30000,30000,24000,24000,27000,19000,24000,26000,20000,18000,25000,18000,23000,28000,478000
301,35000,20000,25000,26000,19000,23000,24000,24000,25000,25000,23000,23000,22000,30000,22000,22000,19000,20000,19000,446000
302,32000,27000,20000,26000,24000,24000,22000,25000,23000,24000,24000,19000,22000,29000,18000,20000,24000,18000,20000,441000
303,45000,62000,44000,20000,27000,19000,46000,158000,27000,24000,62000,22000,34000,17000,17000,61000,17000,56000,52000,810000
304,58000,49000,24000,60000,20000,29000,66000,187000,26000,42000,22000,29000,19000,20000,17000,53000,16000,52000,57000,846000
305,22000,28000,21000,25000,22000,20000,19000,22000,21000,21000,21000,21000,21000,25000,24000,18000,19000,20000,18000,408000
306,19000,28000,30000,29000,28000,38000,20000,161000,22000,33000,56000,65000,43000,19000,20000,18000,61000,53000,52000,795000
307,24000,26000,23000,23000,23000,23000,24000,337000,23000,23000,23000,24000,23000,18000,18000,19000,19000,18000,18000,729000
308,27000,19000,53000,78000,52000,42000,22000,269000,20000,33000,30000,29000,28000,19000,17000,17000,58000,47000,57000,917000
309,28000,21000,24000,22000,21000,22000,22000,21000,19000,20000,21000,22000,21000,30000,25000,17000,18000,18000,18000,410000
310,47000,53000,19000,30000,22000,46000,30000,228000,68000,30000,20000,52000,24000,18000,17000,56000,50000,16000,60000,886000
311,60000,42000,39000,22000,68000,23000,30000,253000,59000,19000,28000,20000,38000,17000,52000,56000,16000,52000,16000,910000
312,97000,25000,26000,25000,27000,29000,19000,158000,21000,30000,43000,50000,38000,57000,56000,18000,18000,18000,55000,810000
313,23000,21000,21000,21000,21000,21000,21000,337000,21000,21000,21000,21000,21000,19000,18000,17000,18000,19000,19000,701000
314,25000,83000,38000,56000,46000,32000,22000,266000,19000,28000,26000,26000,27000,51000,60000,17000,16000,17000,57000,912000
315,30000,26000,28000,25000,26000,24000,24000,25000,23000,19000,23000,25000,23000,19000,24000,15000,16000,19000,17000,431000
316,44000,44000,79000,26000,21000,35000,26000,227000,59000,27000,19000,41000,22000,60000,16000,15000,59000,52000,17000,889000
317,51000,37000,31000,21000,50000,22000,27000,251000,47000,76000,24000,19000,29000,56000,17000,15000,52000,53000,16000,894000
318,25000,29000,28000,24000,26000,23000,25000,24000,23000,24000,24000,24000,19000,20000,18000,21000,15000,21000,15000,428000
319,19000,28000,26000,24000,24000,27000,26000,23000,23000,23000,23000,24000,23000,26000,17000,19000,20000,15000,15000,425000
320,25000,19000,20000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,19000,20000,17000,16000,373000
321,25000,21000,19000,22000,20000,21000,20000,20000,20000,20000,20000,20000,20000,19000,17000,19000,18000,17000,15000,373000
322,35000,49000,35000,19000,26000,71000,42000,158000,26000,22000,55000,22000,28000,63000,17000,60000,48000,15000,15000,806000
323,43000,40000,22000,52000,19000,27000,47000,187000,24000,34000,21000,27000,70000,56000,15000,52000,54000,15000,15000,820000
324,22000,23000,20000,21000,20000,19000,20000,20000,20000,20000,20000,20000,20000,19000,18000,16000,20000,17000,18000,373000
325,25000,23000,21000,23000,22000,23000,22000,21000,21000,23000,24000,23000,24000,18000,18000,23000,14000,19000,20000,407000
326,23000,23000,23000,22000,23000,22000,22000,21000,21000,23000,23000,23000,21000,20000,18000,15000,22000,17000,17000,399000
327,20000,20000,21000,21000,21000,21000,21000,20000,20000,20000,20000,20000,21000,21000,15000,15000,18000,16000,16000,367000
328,38000,46000,36000,74000,22000,53000,40000,160000,23000,21000,42000,20000,30000,18000,16000,60000,15000,60000,47000,821000
329,44000,38000,21000,47000,68000,25000,39000,188000,22000,29000,20000,23000,46000,15000,58000,14000,53000,52000,16000,818000
330,20000,21000,21000,20000,21000,20000,20000,21000,21000,21000,20000,20000,20000,23000,17000,14000,15000,15000,15000,365000
331,71000,24000,26000,22000,23000,31000,72000,164000,20000,28000,37000,41000,30000,18000,17000,55000,53000,52000,14000,798000
332,19000,19000,19000,19000,19000,19000,19000,337000,19000,19000,19000,19000,19000,14000,15000,15000,14000,14000,14000,651000
333,22000,65000,34000,47000,44000,32000,20000,269000,71000,27000,23000,22000,25000,17000,16000,15000,58000,50000,56000,913000
334,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,17000,16000,15000,14000,14000,14000,337000
335,35000,41000,59000,23000,20000,32000,23000,229000,45000,28000,66000,37000,21000,15000,59000,54000,15000,55000,14000,871000
336,41000,30000,29000,20000,44000,21000,23000,250000,40000,51000,23000,68000,27000,15000,54000,55000,14000,53000,14000,872000
337,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,17000,16000,15000,14000,14000,14000,337000
