node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,0,0,0,3,0,0,0,7,9,7,1,27
1,0,0,0,0,0,0,0,0,0,0,0,0
2,19,0,0,0,7,6,0,0,0,7,1,40
3,0,0,20,4,15,6,0,0,0,0,4,49
4,0,2,31,29,0,0,6,0,0,0,10,78
5,42,20,20,9,0,20,0,0,3,10,10,134
6,16,0,0,32,0,13,10,0,0,15,53,139
7,4,4,4,15,66,1,0,0,5,5,0,104
8,0,5,6,0,8,0,0,8,2,14,0,43
9,0,0,7,4,7,0,0,10,3,4,3,38
10,0,0,2,5,0,0,0,0,0,0,0,7
11,0,3,0,0,14,2,4,0,15,0,6,44
12,4,13,10,0,0,4,0,0,10,6,0,47
13,17,2,0,0,3,4,10,0,8,5,0,49
14,2,5,0,0,8,2,0,0,0,0,6,23
15,0,1,2,11,0,14,0,0,22,31,12,93
16,0,1,0,3,3,6,0,0,4,0,0,17
17,10,0,0,14,0,0,0,2,0,5,13,44
18,0,0,0,3,0,0,3,4,0,0,3,13
19,2,8,11,0,0,11,0,10,0,10,0,52
20,0,10,0,0,0,0,3,0,0,10,0,23
21,0,20,20,0,1,0,2,10,1,10,3,67
22,0,0,0,0,4,3,0,0,0,0,7,14
23,2,0,2,18,0,4,0,15,0,11,24,76
24,0,0,3,1,0,0,1,14,3,0,3,25
25,0,0,1,0,6,0,2,0,0,0,8,17
26,19,0,0,0,0,0,0,0,10,0,5,34
27,8,0,6,7,0,18,0,3,0,11,4,57
28,1,0,1,1,0,0,0,0,0,0,0,3
29,2,13,0,4,0,0,0,0,0,0,0,19
30,0,3,0,3,0,2,6,0,0,5,7,26
31,0,4,0,0,0,10,0,0,1,8,17,40
32,2,0,0,0,10,0,0,0,1,0,0,13
33,13,0,14,10,0,20,4,5,0,0,0,66
34,0,10,0,4,3,12,13,1,8,44,18,113
35,3,1,12,8,0,10,10,0,4,2,12,62
36,3,1,0,2,10,0,10,0,0,0,0,26
37,8,22,0,4,10,0,0,3,0,15,4,66
38,0,1,0,3,0,5,4,10,0,0,0,23
39,14,0,0,1,0,10,10,2,29,57,2,125
40,6,11,4,0,0,42,0,5,0,0,2,70
41,10,0,0,0,0,0,0,25,10,0,0,45
42,0,2,6,0,10,0,3,0,0,10,18,49
43,12,0,13,3,0,2,10,0,4,18,0,62
44,8,5,2,11,10,6,0,16,10,4,0,72
45,10,16,4,1,0,2,4,10,10,4,0,61
46,8,2,11,0,0,4,0,82,17,38,0,162
47,6,10,0,6,8,12,74,0,0,8,36,160
48,0,9,0,4,0,0,3,0,0,5,16,37
49,17,59,0,1,0,0,0,1,0,0,0,78
50,0,0,0,0,5,0,0,0,0,0,0,5
51,3,10,0,0,0,0,10,0,10,14,3,50
52,0,0,0,0,0,0,5,0,0,10,10,25
53,0,0,0,0,0,5,0,0,2,0,3,10
54,8,10,4,0,8,5,0,0,0,0,0,35
55,3,0,0,0,0,0,0,3,3,0,0,9
56,12,14,0,0,0,41,0,0,19,6,7,99
57,0,0,0,0,0,0,0,0,0,0,0,0
58,5,0,1,0,17,10,0,0,4,6,5,48
59,5,32,20,0,0,7,6,9,8,3,11,101
60,7,8,0,0,3,6,9,11,0,4,0,48
61,27,0,9,4,1,2,0,0,0,3,0,46
62,20,7,11,7,0,1,9,11,0,11,0,77
63,15,0,0,0,2,0,79,10,0,0,0,106
64,0,11,2,0,5,1,0,2,0,0,0,21
65,0,5,0,0,0,6,0,0,0,1,8,20
66,0,0,0,1,10,0,6,3,0,0,0,20
67,0,0,3,0,10,0,0,0,0,0,0,13
68,9,5,13,0,3,1,0,0,0,2,7,40
69,6,11,0,5,0,3,0,0,0,10,0,35
70,10,0,6,14,9,0,81,0,0,0,0,120
71,0,7,0,0,12,0,11,0,0,0,13,43
72,0,0,0,0,10,0,0,0,0,0,0,10
73,2,6,6,0,0,4,8,6,0,0,0,32
74,0,0,0,0,4,0,12,5,0,0,0,21
75,6,0,3,4,2,30,25,5,0,1,0,76
76,0,0,0,0,0,0,0,0,0,0,0,0
77,6,9,9,0,0,8,0,0,5,0,0,37
78,10,8,7,7,10,0,4,0,3,10,12,71
79,3,0,14,7,0,3,7,0,0,2,0,36
80,0,0,0,0,0,0,0,0,0,0,0,0
81,3,12,2,12,13,0,0,11,7,0,10,70
82,2,14,3,0,5,21,10,18,13,0,0,86
83,10,0,0,0,0,0,0,0,0,0,0,10
84,19,8,0,0,26,65,5,0,0,6,0,129
85,0,8,15,9,1,0,0,0,3,0,1,37
86,0,7,0,3,6,10,39,4,0,21,0,90
87,0,0,0,0,4,5,8,0,0,0,0,17
88,8,13,0,0,8,0,4,5,5,0,0,43
89,4,17,29,0,6,0,12,8,17,0,0,93
90,0,0,0,10,20,0,0,1,0,8,4,43
91,11,0,0,0,20,0,0,0,32,1,26,90
92,0,5,0,0,0,0,0,0,0,0,0,5
93,9,10,2,10,4,0,0,0,10,8,0,53
94,0,2,8,6,17,3,3,30,3,3,6,81
95,10,0,5,0,2,16,34,3,0,2,2,74
96,11,5,0,3,9,0,4,10,31,7,5,85
97,49,4,0,0,3,0,3,27,6,5,4,101
