node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
43,11002,10472,9338,7182,6177,5827,2658,6797,4519,5705,9499,7602,4515,15638,3574,5659,5622,11254,15385,148425
44,15369,7019,4730,7373,16078,13534,3972,12516,11739,4627,8860,5519,5301,5446,11150,6116,9131,9307,6734,164521
45,10932,26897,3562,8741,14634,12389,3080,4471,4148,4431,11222,16369,8734,1506,14296,22977,6174,7272,14487,196322
46,9968,8566,9223,7047,2955,7595,5903,3573,6801,6279,5674,6533,8353,5090,4554,3737,5650,3682,16296,127479
47,10836,12798,5624,13412,16077,11234,5467,8997,6972,6475,6610,8357,6821,7741,5377,16437,5373,7069,7296,168973
48,11820,11722,22192,14760,26768,6881,6796,10382,5144,5656,16899,10009,7333,7322,3405,9019,25856,2139,13167,217270
49,10676,16422,16151,8985,16945,15182,7878,15517,8246,2370,2880,9070,17380,7369,17182,2680,10351,8552,2438,196274
50,17903,2353,10514,12628,13860,11172,6889,13756,8101,9256,13663,7123,5149,2129,1944,4571,4696,7889,4255,157851
51,9209,10862,9822,17645,7845,6602,8209,4554,11235,7234,2385,5793,5334,3701,13321,17991,3593,22449,10943,178727
52,9011,3471,20076,13136,10024,6901,2875,4695,6096,7509,11133,6414,3412,3915,9879,2262,7350,6623,5270,140052
53,7856,10798,17128,9268,8671,5798,6910,8487,8837,2496,5404,8094,3872,6254,4083,5256,5079,7576,10485,142352
54,6338,8504,9683,18872,23298,29476,1388,13012,6351,4978,11954,5727,5965,8749,6817,6927,4145,16973,8225,197382
55,11149,6640,6631,1599,6105,6730,1206,5317,5811,6592,2632,3488,5240,3722,6700,7341,2996,8695,9626,108220
56,19345,10284,6031,13376,11934,24265,7700,12222,8114,8770,4134,10854,11057,4346,11057,24452,5551,10870,14798,219160
57,15649,15731,13630,4716,17858,15314,5061,2029,9761,9262,6699,10697,12038,1633,12959,4505,6430,3802,13344,181118
58,16649,8639,5814,10708,16220,15184,6144,12174,2649,5331,11259,8674,2324,8053,1101,4005,8717,10617,14219,168481
59,5602,10751,1287,8081,5418,6139,10194,4835,9492,3717,3450,4652,2303,7781,6478,4416,6262,6545,3895,111298
60,20664,28486,5683,17368,12594,12971,6036,5416,3331,7804,8230,10710,17740,10865,5331,19515,21844,4549,13393,232530
61,7927,13149,21061,14020,17256,12872,5654,14906,11641,7005,11257,8538,4591,14228,4875,9353,4233,14442,3165,200173
62,7740,7074,14698,4895,16534,16230,9635,16421,4762,8446,5976,6701,14532,2080,7769,3587,8352,7873,10588,173893
63,3031,20316,4054,18228,13585,18640,8433,13251,7606,8123,4791,14414,5072,9739,3559,9188,26109,4229,11423,203791
64,3487,18869,7973,9780,18882,15290,14166,9625,12414,3455,8190,3142,6714,5373,6458,4306,3640,10116,4299,166179
65,4860,19436,8682,5248,20507,15172,2355,9213,3096,5813,12810,10201,1455,9181,6779,7725,5748,14726,9503,172510
66,2689,6235,7998,7432,5117,5518,7529,7007,10580,8265,7945,6876,5655,3597,1452,4919,5174,8572,6872,119432
67,5080,14525,15837,14401,14965,6358,1456,2755,5975,2614,6415,7444,1944,9193,13623,3881,13694,6406,13220,159786
68,17790,12538,6916,10447,19695,18797,2640,9947,7571,3810,3405,17056,11424,7950,4618,5346,4033,2556,7850,174389
69,7340,7688,3177,9810,5691,4436,6889,6965,10684,3693,7178,3385,4471,1525,2520,5278,3492,11480,8590,114292
70,14955,9068,9741,15330,15147,4769,6010,17344,6830,8726,4080,10787,7780,4931,16018,11231,5132,5574,17170,190623
71,20854,10106,10557,14713,7387,18221,6850,3231,4936,9913,14955,17256,9756,6134,4989,15986,2863,3945,2894,185546
72,18666,4727,14473,10132,27655,18898,5959,16807,8758,6128,4327,4578,5377,5795,21574,9515,11075,22861,14834,232139
73,9964,5840,9703,6190,7336,7472,6730,2011,1173,8451,5996,10598,10971,10986,4015,4021,10368,9950,1034,132809
74,3547,8045,6450,4863,6891,6332,4940,6577,7148,4562,5974,2209,1889,2961,2688,3418,5609,3523,8256,95882
75,19568,4533,17663,31407,1910,26506,8917,11533,1398,7666,6835,7492,17760,15452,6450,15193,24462,12069,6311,243125
76,7430,10043,20375,5490,19959,18667,7539,17035,9679,2157,11483,14675,8949,6015,5685,6957,2980,5626,5914,186658
77,11352,7934,15042,9643,3782,13604,14561,15359,5460,8213,12626,1414,9174,2431,4982,8324,5777,8543,5905,164126
78,19490,11999,17677,8447,9635,15348,3901,9320,6377,5281,3183,6480,3513,12736,12570,6513,12650,9221,10586,184927
79,18717,11402,14319,8892,3485,16075,7821,9981,7227,4787,11403,3719,5174,5816,7874,6322,4632,2291,14811,164748
80,5494,9751,8933,12831,6305,6241,1355,4830,5651,8559,10210,10459,6759,19928,5950,2516,6230,14264,9525,155791
81,9988,5842,7424,10770,12286,5752,4523,2722,11957,3779,11998,10420,4540,1446,6058,7946,1842,4218,11491,135002
82,17151,12575,4569,9155,15682,17073,2290,13324,6169,12538,9367,3559,6776,12812,11502,3262,18301,5038,10826,191969
83,3613,5212,9719,8216,5418,11107,5642,6113,10396,4402,3438,10445,3670,4974,3926,3535,9411,7251,3948,120436
84,21132,11534,10641,28210,19046,10709,8374,16189,9051,4756,3331,5114,5977,4487,20868,17807,6403,20992,13359,237980
85,12243,10958,20992,13066,11955,6790,11235,3660,6468,5176,9373,9872,13537,9397,12062,13905,8768,9928,2149,191534
86,13412,4658,10585,6235,14410,12422,4749,17898,1437,3809,12821,11415,5258,16482,6202,10781,531,12664,5484,171253
87,11234,9562,12120,6470,19091,14538,6300,7039,6760,7590,3064,4779,8787,6599,14294,11570,6406,22740,6080,185023
88,9947,3753,16028,13296,10569,6834,6230,4646,3395,6475,17563,8077,5571,6893,5495,6671,8670,7919,4435,152467
89,11160,3365,4167,10047,6705,12470,7113,16480,8632,9943,2340,5596,6185,1959,5355,2797,2641,16300,5720,138975
90,15770,14638,2825,14197,12275,14114,15195,17583,2512,6815,7931,5375,10200,8786,2952,18060,3981,8819,11043,193071
91,20595,7515,3622,14436,4697,13697,2359,8797,7118,7181,4787,9579,10771,1468,4726,2254,724,9245,9983,143554
92,18939,14460,6617,19809,5251,9233,4526,16061,1456,8608,10463,7918,2785,6962,4107,7896,7476,3987,6814,163368
93,15207,11848,19952,6984,6050,14893,459,9396,7265,2740,2385,11301,15686,13617,6124,3115,14261,6124,10375,177782
94,4661,12875,13837,9802,13128,3226,1151,4329,8066,4550,2644,14108,4652,14122,12848,6203,10242,13766,16961,171171
95,4595,6878,13224,15462,10131,19152,3412,8164,4947,3567,6844,4614,12296,13704,2602,20648,6687,10026,1762,168715
96,13546,19911,17842,5910,10568,22110,3113,14150,6558,7114,6704,7888,11802,4030,16241,17032,4584,14136,9394,212633
97,4640,6735,5994,11997,7112,5336,8950,6664,17292,5981,7287,3132,1005,3979,3910,5246,5196,6087,3532,120075
98,15436,11119,9534,16945,14723,9429,6893,16438,15238,11693,11114,7059,6841,5706,7568,7641,6212,6205,7463,193257
99,16633,10987,18666,16469,10017,5514,8387,5086,8656,5238,10791,13003,8688,6613,14538,17654,3027,14589,4096,198652
100,12544,14673,3805,16322,10334,9905,5890,14864,3261,3156,3783,2359,14748,23920,1584,15162,4370,17901,2614,181195
101,5305,2970,9673,11344,9006,10894,5763,3537,2225,6391,8882,3271,8987,5276,17889,7443,7196,13886,7645,147583
102,5323,12315,12766,11626,17597,6672,7660,6665,5198,5341,5643,9194,3846,7965,9318,995,23674,6695,7644,166137
103,15111,14919,4431,4005,11967,7024,9757,10321,4065,16903,7249,10925,1018,3544,4759,4782,3648,2033,3770,140231
104,13754,14729,9584,8576,15665,11717,2932,8360,9143,8544,5935,10375,5503,5138,12372,13981,11389,2452,2651,172800
105,14438,15669,14231,7186,15278,12422,10656,16297,1489,6687,3363,483,12052,11190,5019,14393,8906,9212,12236,191207
106,15787,9882,6473,11034,7568,4956,3589,12443,8375,10217,5771,6786,4219,4323,5481,6294,2408,9722,13432,148760
107,12579,16761,6989,14138,9686,8134,3431,12061,2584,7148,7715,5137,10569,16311,4852,3837,4414,11719,6687,164752
108,14899,17577,14653,9139,10892,14468,1231,4070,7581,10350,1867,12340,4817,2294,9250,17535,6788,15331,9515,184597
109,3899,11017,9310,9897,7990,9389,3301,6187,6796,3793,22575,7804,6924,8814,3885,8066,656,9079,2284,141666
