node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
973,8397,33468,8283,52958,9692,11589,9942,15532,8592,3499,6857,4825,34500,5598,8286,3362,2575,4062,37827,31481,11717,13841,11364,14684,10755,16623,11132,9731,10102,17952,14023,10875,7673,6642,7049,3377,5838,12306,15604,8582,9170,4794,8570,543729
974,6839,28015,10539,46028,5621,11195,8505,15712,12676,5369,5484,7831,30183,30980,6000,7008,6041,4021,32225,26737,18579,8564,7275,7270,11418,19450,14171,8313,12330,12811,9676,11236,4205,6637,4350,6982,4102,10440,9993,5017,6121,10589,6135,522673
975,7236,31993,8453,37793,10885,5583,7484,11840,11448,11921,7428,4929,37314,25121,23251,11176,5540,6571,46803,31779,19609,13185,7532,11260,6333,34897,3561,11474,7735,14101,10583,8997,8442,9711,8504,4719,14060,20544,11480,9696,14369,16922,35966,648228
976,6721,27964,10064,27953,9614,8692,6926,32654,16516,16181,16006,22487,30998,25182,24081,20776,10378,9431,45786,39976,24578,14073,10761,9236,10709,37697,8218,3321,7045,81708,24358,25860,10684,10439,5661,12124,13986,22815,17995,17610,21927,20158,22493,841842
977,4562,22817,9314,24466,7082,9085,47615,26004,17900,14899,12474,9314,15528,9273,23952,22540,21217,22414,40398,38769,18039,14931,9837,10724,9785,21600,11877,10774,4600,42339,18216,10519,12910,4391,11122,8511,11174,15471,11202,13232,18330,22617,38280,750104
978,6311,32794,8466,25775,9979,9134,43219,18960,13000,11338,13094,11473,15485,11609,10787,19709,21912,17881,51036,30163,20727,14066,10579,15264,11165,8773,6193,8626,10557,34793,21195,13064,8230,6507,8599,7531,13008,13443,8893,12569,13967,18218,30346,698438
979,6567,34173,8922,25768,14371,13195,18886,16823,12855,9064,9967,6715,9577,10359,15032,8081,6983,8503,56706,30350,19707,17349,10767,12130,10010,9503,11275,9068,6482,11680,8065,8711,4987,6090,6610,3889,7751,10182,7956,12556,9318,15187,24575,566745
980,13184,35919,15477,41218,5583,9058,26559,14120,16552,18599,19101,15921,15837,22264,21700,24103,23047,50523,32612,28272,22675,23628,22610,16979,16482,8921,10696,15759,10071,5986,7209,5539,8033,2223,4793,4362,5609,7024,6592,7289,9865,8366,14906,695266
981,14319,26616,11559,49957,6072,10712,15924,11715,4755,7667,9738,4939,5317,7219,18095,15063,10237,36064,22537,14294,8469,12722,8340,7119,5808,9537,2657,3226,5758,6357,6841,3655,4618,3779,3248,3608,5776,5069,6641,4467,8230,4901,12694,446319
982,13864,38348,8158,30420,9383,5880,7105,7943,10057,3749,6226,8269,3935,3737,4175,12383,21734,31314,30998,21421,11787,10159,7533,4684,5254,7852,9449,8825,3434,10178,7527,5845,3978,7936,5499,8630,4886,5048,2629,4923,5244,8758,8105,437262
