node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,total
0,0,5,10,12,10,6,9,52
1,189,105,4,23,98,7,0,426
2,268,27,3,19,15,10,12,354
3,79,94,25,51,79,52,62,442
4,80,84,28,16,61,31,71,371
5,33,18,70,0,59,12,15,207
6,21,21,38,202,70,13,40,405
7,43,12,0,27,60,0,43,185
8,6,30,11,10,21,60,4,142
9,29,8,0,1,71,0,65,174
10,64,12,143,41,127,0,31,418
11,33,35,3,5,20,87,70,253
12,15,27,8,51,73,15,15,204
13,15,20,55,13,33,5,112,253
14,4,14,3,4,63,40,20,148
15,28,55,82,30,30,29,95,349
16,25,12,0,30,63,0,21,151
17,22,19,26,25,117,15,53,277
18,17,7,10,35,20,0,14,103
19,15,8,41,49,47,128,45,333
20,11,11,54,14,7,71,24,192
21,21,24,10,14,22,20,61,172
22,30,46,29,64,43,74,81,367
23,9,6,5,41,127,11,81,280
24,47,30,1,38,19,0,104,239
25,62,18,113,123,5,10,89,420
26,23,24,37,13,16,5,5,123
27,20,5,19,1,9,43,10,107
28,33,44,58,22,34,18,51,260
29,23,7,18,38,4,7,11,108
30,54,185,48,8,30,2,111,438
31,29,17,13,52,20,26,41,198
32,8,30,10,27,17,46,2,140
33,83,56,33,34,49,24,45,324
34,19,30,2,10,51,7,1,120
35,55,37,51,8,98,123,123,495
36,79,8,157,85,76,99,65,569
37,21,76,43,33,24,78,37,312
38,102,39,46,85,49,44,107,472
39,135,40,28,29,21,30,16,299
40,40,31,46,76,133,10,96,432
41,12,1,47,37,22,32,20,171
42,6,0,7,18,6,39,0,76
43,36,49,32,38,49,38,67,309
44,28,10,10,10,12,22,9,101
45,52,16,96,94,37,77,71,443
46,45,60,25,33,92,106,16,377
47,125,31,28,30,29,103,10,356
48,67,39,46,103,86,80,150,571
49,37,19,4,8,6,7,50,131
