node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
33,10476,23837,31624,24273,23169,33797,25997,30654,5543,6045,6294,4086,6508,6916,14559,11774,10975,15668,17922,19544,22855,7155,6839,5654,7161,7482,6263,9370,7595,410035
34,7843,7249,32243,24045,26228,24620,29591,24191,2028,8248,4383,8640,6572,8673,12125,14387,13333,13453,13640,19444,26565,30184,3069,3232,7839,5082,6251,5047,8265,396470
35,22341,21858,22051,25072,23723,24135,21625,32939,24070,32028,34364,12208,20583,5634,15559,16521,23093,17639,25314,28116,20129,31229,42894,7816,7905,12353,17352,20682,22525,631758
36,38360,21781,19741,17199,9862,4603,5732,4117,26361,43753,10866,11025,16172,10528,13796,24709,16923,7428,10299,11472,27322,9068,23808,26029,19028,18210,12155,19213,9134,488694
37,56234,27938,21873,19670,22321,19003,8006,7807,22074,21661,31008,27548,10621,13687,15678,13535,29170,13287,11133,18190,14998,17699,13367,11839,8807,16711,20358,12398,19802,546423
38,28440,10740,5997,10442,13269,24866,30565,18996,23643,27910,14412,23048,11130,10515,13579,13196,10177,16480,11969,6621,7469,13019,12623,11624,9280,14551,23987,11922,19872,450342
39,25504,7716,8739,4227,7827,9067,21120,18860,18203,26541,7533,12011,14264,8959,7996,27788,13269,15378,8241,8622,3504,23427,15530,8002,17582,13387,23507,10894,3906,391604
40,13300,5795,3580,5535,4643,7167,4355,3363,5302,5116,4635,5528,8029,8661,4800,6031,5491,3525,3504,5788,6391,6477,3904,10207,9015,9594,3739,7493,4138,175106
41,6605,11364,10372,2706,6800,3779,8313,7447,2557,8996,6028,10346,6039,9218,5030,4301,9501,2108,4942,6328,6368,4363,10035,4315,7640,6160,4701,5046,6442,187850
42,9312,8713,15092,14773,2473,6200,2346,4530,8164,6421,14297,6830,6371,8049,8661,9653,4134,1373,2514,2581,5810,6373,4518,8433,4052,9508,5462,8391,4811,199845
43,6449,11727,6634,12401,8168,14927,24811,18726,19478,14910,30456,17118,19584,4499,11684,10520,7833,11460,8820,15860,17157,16264,5569,6029,14447,10666,8740,10087,8263,373287
44,5502,7977,4189,8063,17413,27078,24588,23618,18319,28759,31306,14491,10297,9387,10643,12618,8556,9121,7249,13779,10382,12604,6693,6777,13101,20226,16835,16637,10898,407106
45,6535,16812,5235,32207,25477,31431,32523,19902,29374,23410,35205,10099,20229,16587,8474,14706,9646,9192,13998,27030,25126,17725,12970,17774,16407,12134,16476,16686,16260,539630
46,5565,7993,15390,22279,29490,25999,24234,22180,20861,9568,42011,11178,9840,21789,13963,10700,12438,20989,4913,7398,6881,8671,13863,18291,7557,12756,11430,15511,16308,450046
47,6498,30187,21613,46691,26045,29968,34051,21141,23077,9697,33389,5814,17804,7429,9320,517,9891,9391,14173,13949,10317,21585,30034,11646,7544,10498,18161,8570,22705,511705
48,13917,17218,31905,25474,26217,21223,28037,6811,6831,6016,34897,7819,7174,8864,6510,8606,22025,17545,5414,10168,11647,3897,7593,11572,7917,3424,13682,15356,10262,398021
49,20539,55790,20239,50462,31533,23790,22037,8054,23725,15742,25517,11634,16045,18158,14902,7976,4229,5087,8661,6617,20404,24329,26327,25310,14196,4840,13747,7880,9521,537291
50,23571,24931,17168,24313,30656,7911,10264,10467,6610,7389,39564,11144,6619,14060,15426,6091,5253,10040,11854,8978,11162,12196,12206,6004,11898,7788,6483,18408,13927,392381
51,10854,32994,9377,28223,10956,31247,50625,24215,12602,28742,4696,20279,23566,9084,12930,7501,13448,8228,25039,13017,7056,20668,33893,25902,28535,13798,16890,15352,24386,564103
52,21102,8303,10952,13235,10924,33938,27877,18519,16047,23568,9938,8818,20964,9121,13483,14868,16916,6548,10489,6522,4997,17506,15109,21575,22585,12644,10465,10279,11051,428343
53,16916,38908,6455,26823,8115,46735,26598,25907,23116,26235,24139,4807,9764,13195,12409,8299,18287,11864,7037,14003,22188,20787,22505,32272,35009,34669,16615,10098,17852,581607
54,20991,19473,4158,11637,9053,23624,19841,20984,17975,21827,35125,11913,7998,13011,23479,10927,8930,6288,17218,9734,8570,6421,10218,8888,13659,7534,13090,7896,4729,395191
55,25626,17420,2602,4014,8784,19159,15531,19448,15515,23896,16081,7723,10188,13842,13391,14542,10266,6538,12857,16622,17843,11164,13632,19640,10577,6902,21574,8678,9712,393767
56,28820,22317,8685,6107,8143,32759,19441,20165,13922,19905,32120,12642,15400,18794,22055,15891,12132,19659,12435,13461,13551,10785,13477,12695,16920,14229,12714,9160,8441,466825
57,11564,6246,4917,12017,6888,15499,6855,17792,8098,9295,11383,10355,4211,9817,7061,13095,6966,10270,8385,8898,5111,8188,8545,3773,7826,7172,9617,8819,9123,257786
58,11532,2169,1458,13194,5844,5174,4882,3337,9871,5772,11917,9185,14798,6032,8039,7681,4296,4286,6285,7364,7980,6712,9146,6207,6375,6650,4672,10468,6812,208138
59,9438,14177,5340,2291,5488,6485,5531,2344,3416,16834,6337,4436,8269,5199,8929,8803,6620,5544,3840,5429,10033,8689,16402,6592,9949,4716,8448,10071,8538,218188
60,13870,7145,19290,7954,4226,6413,7522,6414,7176,5668,5852,7679,6791,3788,12569,7458,9795,8853,6876,7644,6261,7652,4103,3505,3531,11425,6649,8799,6446,221354
61,8748,13820,11008,15799,6934,7537,8602,11379,6882,7297,10454,9857,9661,12134,7446,7553,13975,8873,4678,10504,17846,10670,6291,9610,10403,9709,6615,13549,8288,286122
62,7934,3038,22187,9589,8137,25235,12950,26330,18889,12985,30610,17142,7068,6522,9276,13809,10166,10347,8552,12147,16065,24204,20443,15339,8819,8013,11544,17165,5115,399620
63,3111,4960,12936,10183,22646,26803,21325,19145,16626,24055,33248,18317,7435,6504,12988,14603,15149,4690,12200,20908,7301,13714,4824,3178,14509,5409,14495,11289,15787,398338
64,8281,7789,9131,17529,23808,23457,23096,22728,25036,19024,33503,13126,22725,17315,8049,10778,7880,6987,7887,6379,6881,5071,11318,18041,13355,1696,15519,7508,15037,408934
65,8646,13533,40125,19999,27866,33196,23308,36472,24077,12148,27440,9753,12552,2600,19498,6909,9721,21991,10032,7524,4416,8554,28346,22829,20825,9837,12082,17150,16908,508337
66,9581,21031,23625,18107,33231,29387,28185,22731,11753,18359,25716,13059,19026,6538,13505,4876,15812,11963,23197,7361,6938,13709,16654,9518,7444,17008,8759,10447,12919,460439
67,15544,13846,14374,19739,22696,50362,48281,26994,29181,19931,41171,22834,28474,10559,24112,13224,39936,20493,22594,10393,3191,9147,14908,9561,4635,10367,23579,29886,11101,611113
68,14525,15830,55950,27912,44072,51574,27840,50394,29233,26332,30685,12610,21788,16243,2523,23310,18669,16149,18993,8368,13003,13275,2706,37708,42577,29376,18631,17845,16271,704392
69,16879,23704,21044,37351,50228,25131,30854,21309,22098,20591,49300,9966,10521,5958,14045,3153,5503,14025,19757,22665,19747,23659,6412,8093,16045,10498,13963,12809,31054,566362
70,13345,4324,21580,27939,26615,27081,17673,20726,16201,9924,1654,20275,15890,9284,19311,10663,7510,5234,13332,6434,11314,1176,14346,8048,15088,7519,15709,13380,6794,388369
71,12851,16110,25105,47832,28229,22125,22657,21168,19125,31397,7736,15790,9532,12992,6646,16435,10197,6498,13867,27413,12373,6725,11647,4660,37739,47385,37888,4863,13815,550800
72,6869,5626,19657,25767,20946,15889,25201,18044,14959,9191,15356,6946,14399,21612,11512,7424,5560,8674,9386,10750,13812,7123,7746,13744,20410,6858,19134,5346,2895,370836
73,5334,4938,3738,22318,13819,18834,17822,18101,13750,8673,27565,4461,17773,8908,8192,7956,9394,14778,11605,9945,10005,7039,7672,8759,10235,15562,21777,7797,7923,344673
74,5848,9469,3329,10108,18156,13273,22968,15375,21958,12247,18850,13478,8248,11346,8435,17241,13051,15588,11627,11722,14515,16768,13356,10025,5270,13457,14261,12920,6037,368926
75,24266,11158,8485,10410,8437,19334,16188,17508,7372,7722,16930,7227,14400,16641,15419,9935,9739,5296,6187,9871,14378,11047,10599,12654,14015,12670,9241,8600,7059,342788
76,13861,16690,13688,9022,9598,12209,14062,7286,8535,14312,16289,14553,10850,8960,9339,8026,10674,16766,13548,9895,9012,6365,7562,7051,10126,13145,10376,13557,9154,324511
77,19849,8764,12392,12924,9990,8823,11713,19236,9795,13202,21300,10166,9528,11643,9344,8754,17126,13216,10318,8689,8789,10379,12908,25595,11649,8190,12972,11059,9955,358268
78,10037,19144,6447,7526,10521,9692,8762,5008,9101,10727,5503,13793,7928,14193,10668,7554,6474,9058,4984,6427,4940,6922,6067,6900,9444,6466,9503,11404,9144,254337
79,6090,11185,8481,2877,2023,4030,3785,1987,3319,17252,2972,1678,10519,10541,8406,6899,5490,7360,6577,4886,5453,3360,3477,7766,9298,6159,6387,16436,10552,195245
80,10054,10043,9012,14375,2460,9117,8633,3283,14976,7493,6660,8550,5872,8829,7900,6801,8873,4820,9283,9111,7551,7397,2264,10273,6576,4067,4491,5543,2450,216757
81,9745,24725,5923,8879,11686,20528,25851,28829,25251,21550,30968,21642,3806,4162,10955,20427,7097,12070,12883,18615,12387,6686,5516,9336,16582,12843,6662,4638,8554,408796
82,11416,7206,6725,4426,26526,23166,24857,32025,17399,28343,25449,18484,9956,8367,7302,11958,10961,6790,9029,19031,15188,11766,11069,1793,8875,9424,7238,13774,11962,400505
83,4048,7229,3481,14231,19313,49055,49892,35171,37415,32486,17313,16093,18362,19941,20770,11008,14762,19205,9152,15499,6761,8256,19703,16339,17602,10851,31780,21951,19825,567494
84,10465,11201,17448,15554,48203,61326,40405,39483,38006,29027,46931,12152,13273,5573,18665,18290,25791,7802,20788,14647,15986,14583,7915,8487,18434,7767,19268,30430,17158,635058
85,20476,59139,16845,37314,61958,55119,55832,55023,37450,20948,30941,10165,24031,12268,13518,9491,16908,3594,18142,30444,26425,20265,6764,26900,25201,44670,17980,21269,10707,789787
