node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,total
0,0,0,0,5,10,4,0,19
1,19,0,0,6,7,0,0,32
2,1,0,0,0,0,0,0,1
3,0,22,0,3,0,0,0,25
4,19,17,0,0,24,0,16,76
5,10,0,3,0,10,0,0,23
6,0,4,10,4,4,0,15,37
7,2,4,0,2,13,0,0,21
8,2,0,0,0,6,12,6,26
9,0,2,0,0,0,0,2,4
10,8,0,40,0,0,10,3,61
11,0,1,0,0,0,4,0,5
12,4,0,0,11,0,0,0,15
13,0,0,0,0,3,10,3,16
14,11,3,0,0,0,6,0,20
15,0,8,20,0,0,0,10,38
16,0,0,0,2,4,0,4,10
17,1,10,0,0,0,0,4,15
18,0,0,0,0,0,0,0,0
19,5,0,0,0,0,3,6,14
20,0,0,2,2,0,0,0,4
21,0,5,10,0,0,0,5,20
22,5,0,0,7,0,0,0,12
23,0,3,4,0,33,0,19,59
24,3,0,0,0,0,0,0,3
25,15,10,41,20,0,0,41,127
26,10,0,0,0,0,0,0,10
27,0,0,0,0,0,10,0,10
28,5,4,0,0,4,42,0,55
29,0,0,0,0,0,0,0,0
30,4,0,4,0,0,2,0,10
31,3,1,3,6,9,0,5,27
32,0,2,0,0,10,0,0,12
33,0,2,0,0,0,0,0,2
34,5,0,0,0,3,7,0,15
35,4,4,10,10,45,12,5,90
36,14,0,9,0,0,0,5,28
37,0,2,0,0,0,0,0,2
38,0,0,10,5,5,0,5,25
39,24,3,4,5,0,0,0,36
40,5,0,3,3,0,10,4,25
41,0,0,0,10,0,0,0,10
42,0,0,0,0,0,0,0,0
43,0,4,0,4,0,12,0,20
44,0,0,0,0,0,0,0,0
45,3,0,6,11,0,2,0,22
46,4,3,0,0,7,3,3,20
47,1,18,0,2,7,16,15,59
48,3,0,0,8,0,2,10,23
49,25,4,0,9,2,0,4,44
