node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
292,5,15,22,39,16,4,24,17,27,29,25,54,28,0,5,10,2,35,32,389
293,113,17,69,118,37,33,65,3,23,19,11,10,77,25,35,23,63,9,116,866
294,5,6,2,24,9,0,0,28,8,13,14,14,22,23,8,24,0,26,10,236
295,48,2,0,10,18,0,32,13,3,0,32,14,6,6,14,18,2,0,6,224
296,81,40,21,44,2,57,85,34,25,64,62,4,35,11,36,24,32,17,123,797
297,51,14,12,90,117,31,20,53,62,38,11,40,36,27,92,24,62,20,10,810
298,501,36,40,81,110,50,6,65,138,15,30,59,49,45,45,85,10,58,39,1462
299,51,194,10,2,46,0,11,24,19,10,15,11,10,10,10,4,23,0,11,461
300,70,80,41,17,28,26,0,17,35,12,25,10,15,20,15,21,20,34,13,499
301,158,10,118,139,10,20,101,13,72,0,20,0,46,0,48,3,0,32,34,824
302,30,11,0,12,11,15,14,0,0,10,10,0,14,0,0,5,0,0,20,152
303,182,681,129,18,149,64,89,62,102,108,96,29,16,69,90,32,62,96,128,2202
304,6,27,19,20,30,19,18,7,0,13,11,13,0,22,7,45,20,24,6,307
305,312,7,124,57,6,3,21,48,43,17,11,87,14,0,23,86,0,29,51,939
306,42,47,2,17,11,28,10,0,22,22,20,38,0,28,36,14,4,17,8,366
307,16,34,13,11,10,13,0,0,10,0,10,0,16,34,0,6,12,0,20,205
308,107,19,10,47,18,101,110,16,42,41,59,10,13,0,86,30,53,0,40,802
309,81,33,41,40,144,22,43,83,60,3,0,52,48,44,0,86,11,0,82,873
310,168,15,10,36,91,37,13,44,84,22,0,46,40,1,15,156,17,72,48,915
311,468,44,105,13,28,142,183,27,7,57,16,34,32,12,96,18,41,35,69,1427
312,74,48,0,0,0,0,88,0,15,7,0,15,10,10,0,0,11,10,0,288
313,0,14,251,45,37,24,230,20,83,30,27,26,63,55,0,28,90,102,21,1146
314,18,3,10,10,38,13,10,5,9,10,14,10,8,22,30,3,0,10,10,233
315,64,421,155,65,98,77,43,32,65,95,43,180,120,84,61,64,94,83,86,1930
316,46,6,27,10,48,61,0,22,74,18,28,15,15,5,3,0,11,21,3,413
317,188,12,0,106,17,59,40,34,8,98,18,59,11,20,64,0,28,36,50,848
318,5,46,23,29,0,29,0,22,33,18,28,18,11,19,30,21,6,11,14,363
319,13,17,18,19,5,20,5,25,41,40,10,12,6,79,13,10,0,0,19,352
320,200,0,0,127,35,52,62,25,65,47,5,52,1,0,69,0,78,0,16,834
321,112,20,6,13,4,113,14,44,37,51,0,37,95,61,5,80,10,0,37,739
322,39,66,64,132,69,46,5,124,156,34,30,3,3,0,73,0,81,21,71,1017
323,127,14,102,20,20,6,44,26,48,48,81,49,17,10,71,22,56,16,27,804
