node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
55,5066,8470,9866,9693,10439,20102,10287,6225,6396,13460,8593,12277,5077,3480,4449,4869,3349,142098
56,5718,12936,7746,6967,14963,4933,6722,6590,4680,2923,6765,8087,10892,6168,3072,4943,4570,118675
57,10217,8575,6492,5545,4059,4459,3749,5812,5229,3298,6453,12291,5977,5125,5072,5737,4052,102142
58,12564,6049,6339,5043,5874,3433,4648,3915,4184,7562,11747,14046,3494,3181,5056,4347,3644,105126
59,9677,5599,3117,5546,3072,4083,2232,3565,2712,13575,8610,15946,4614,5032,4084,4186,6355,102005
60,20174,14464,12530,10146,4477,19112,11704,16784,16890,10552,6576,25648,13902,11601,8178,11825,7624,222187
61,11421,14004,14991,6838,12675,8170,5797,7529,9836,10049,26128,54381,7976,9326,6572,6179,5156,217028
62,9907,7360,4830,12513,5131,7311,5489,11184,14839,7137,14126,19304,10656,4816,3359,4264,4079,146305
63,9499,11079,6579,6134,9903,8752,12373,12436,14121,13123,9853,22549,6029,7078,7622,7047,4306,168483
64,7138,2444,1811,3150,7433,7260,5345,6607,4847,8552,2200,19095,1829,2009,2065,2398,1776,85959
65,4425,7900,4775,6587,10303,5551,4416,7961,4199,4142,5779,14916,6077,4215,4096,3768,3585,102695
66,11615,13685,7348,7345,4390,8142,4124,6817,4780,5782,3832,10220,5544,2547,3675,4732,3232,107810
67,8126,13885,11045,4603,4770,5295,3557,2218,4365,5268,3003,11598,5760,3367,1967,4036,1814,94677
68,5117,2725,6436,9503,1164,3977,2627,5199,1206,5479,4666,11924,4108,5579,4273,4242,5961,84186
69,11099,10810,5875,7823,5851,11450,5916,8367,6223,4254,5099,15264,10788,7171,4957,6533,7070,134550
70,7739,4495,4168,5495,1115,6177,2614,4628,4964,5764,1517,10571,4894,3543,3491,2314,3202,76691
71,2614,7344,3572,6469,3521,5873,5118,10363,11232,10371,10396,30611,3571,6310,3258,4471,2449,127543
72,7830,10238,10777,9078,9089,15616,11056,8910,11071,4666,4969,26584,22468,12044,11600,10339,9640,195975
73,14273,8879,9178,10984,8015,8761,7830,12832,11416,14655,18834,19536,10938,8473,7443,7115,4209,183371
74,4416,3796,8148,9520,6766,3827,10037,3345,10052,5446,7803,10980,4878,5899,3355,4418,4051,106737
75,5181,4579,3833,3201,6158,7311,8867,4505,5812,7504,4904,13924,2066,2745,4358,2547,3200,90695
76,2644,1437,4292,2031,1600,5013,3757,2930,2888,1179,3511,7856,6465,2016,2385,2649,3452,56105
77,11471,9415,7161,8444,2928,7140,2789,9466,3830,6111,4213,17090,5459,4488,3718,3781,4995,112499
78,9665,4438,7937,3342,3589,2947,3557,3636,2194,3061,3119,8329,2249,1098,1546,2612,1573,64892
79,6944,10942,5040,5017,1989,4584,2473,3200,2668,2441,4049,12016,3860,4151,3135,3228,1832,77569
80,6627,10434,5415,5884,7672,9691,6852,5448,5198,3426,4040,17148,8420,5513,4136,6421,4422,116747
81,4606,2430,3401,5218,1588,7824,5728,1479,1619,4030,1412,15754,4105,2503,2561,3955,6329,74542
82,1277,5966,4362,1336,1807,2903,3946,6344,8734,2197,4383,18038,2371,2426,2803,3214,2219,74326
83,4071,6968,5382,7217,2041,10381,2139,6621,11924,8777,14168,36860,5937,3980,4600,2566,4659,138291
84,6688,9646,11328,3953,10348,5330,10538,6730,7938,10018,4316,16212,8453,6878,5822,8044,4428,136670
85,5256,5280,4900,5729,2369,6655,5025,9313,2534,8417,5788,1317,11198,3232,2700,3557,2267,85537
86,6050,1194,3041,1667,602,1316,407,4746,999,3818,2205,1681,10435,3120,2093,4190,2214,49778
87,1073,3182,5104,4581,2485,6803,2951,4408,4601,2946,6620,1195,9079,1763,1688,2326,2732,63537
