node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
32,76105,88536,93807,109816,71935,37105,63581,80627,94737,100880,129290,138395,127480,112010,115208,112205,98875,101369,95177,89827,91425,102896,84683,86146,85725,99278,80488,89007,98127,2754740
33,96502,71570,88474,90365,92896,67853,45742,59525,82286,96015,125890,143633,133615,119957,117524,114967,92680,103815,105500,86589,98972,92753,84379,81811,88804,97559,79784,95791,97769,2753020
34,107182,130986,78322,100031,91887,98191,70457,36951,51845,79422,125314,131632,135595,122443,108530,119043,106776,107981,104077,68838,105556,92114,94318,77780,81329,79924,86684,86762,96828,2776798
35,91773,106823,117457,69111,87818,91446,90222,64243,31045,53402,127417,127725,134959,127766,112286,109087,99914,102010,103773,86701,99229,95962,86828,91050,93660,85464,90729,94746,99756,2772402
36,73452,84364,99432,105419,69135,85715,88220,82481,60805,36131,126788,131410,119714,124842,114813,123696,96035,117531,96273,92749,90192,92938,89582,87565,92653,91061,83435,84933,82151,2723515
37,34759,68430,83384,97603,98754,67131,84586,79537,76445,61050,128427,140256,121132,128970,116176,113338,97100,103595,93486,91917,96501,91819,83369,92573,90738,84083,94583,83044,85599,2688385
38,33922,78210,102264,111116,103165,74151,70535,107739,118220,85393,100688,120951,115236,112687,114049,116083,96568,105242,91968,92508,94421,98508,88319,87977,93383,85445,73367,80633,76376,2729124
39,62009,34864,80683,93747,116650,108063,79608,91374,99123,112757,108316,131864,130356,119116,106365,109490,96654,94982,96776,99846,93632,97789,95705,90184,86014,88225,79974,77126,73396,2754688
40,89991,72707,40302,70461,90069,111652,105320,81222,103239,110303,111769,112559,122012,114497,114063,104384,93700,105352,93476,90500,80709,95909,86382,90988,89129,76449,77510,83738,76273,2694665
41,84291,96877,65947,37697,67756,101687,103345,91282,84911,97438,110982,114954,118678,110396,115737,112514,100387,99235,97150,84667,94200,94478,88307,85658,86208,77821,91792,82290,77730,2674415
42,95668,109602,115158,80761,39458,74686,96290,98930,97175,94963,107446,125475,102119,117986,107299,105370,101372,99997,91794,90065,94603,87422,89539,87653,86317,73676,83768,80244,81838,2716674
43,90041,111925,122468,124148,85253,43601,62947,92136,101197,100183,108304,126858,117994,107517,109787,113559,97012,95828,93695,88808,89758,96811,75816,91246,98930,86036,79966,86597,76260,2774681
44,92288,100402,110335,108951,75923,44351,64962,90226,92331,87656,122829,123734,113478,101371,122938,113749,105626,107081,98204,95985,103261,89346,83953,90410,91230,88482,77078,82896,83863,2762939
45,87367,104592,104006,103022,80896,34897,67308,88796,94375,91041,117111,120679,124162,109844,113941,112474,99938,101091,93370,89096,91545,78314,82981,79056,81053,86186,78213,94291,79692,2689337
46,80851,93024,96711,115138,75948,42987,65524,86703,94935,94435,116299,112924,110453,128980,103157,113655,95171,99947,82923,94137,98459,86191,84115,75022,86193,82240,79281,88251,79948,2663602
47,90289,99950,107850,110337,81872,39154,57663,86575,93806,90036,118234,118960,114245,123499,104040,117622,106860,104249,85320,84532,91765,83046,81809,80115,85452,92086,85961,92420,93131,2720878
48,67725,88014,96797,98371,68973,49452,56702,87034,75312,89800,121901,125597,118505,118542,110346,109348,111276,96146,88274,87039,99735,88147,77046,82888,79670,84272,81448,86827,91916,2637103
49,77804,98407,105778,107875,79994,37710,60650,91585,85500,98667,123855,122031,116280,112110,98877,106284,110968,115833,101637,85311,87876,87942,85424,77010,85798,74167,85443,94326,90530,2705672
50,75128,92844,91469,97167,76511,48467,60400,76048,81979,89087,118240,124859,111506,121103,99108,116633,102635,101714,99103,85620,86533,83847,88863,87818,84420,79674,91513,87969,98966,2659224
51,57842,98132,101593,108725,73628,39577,61175,78442,83523,95958,129288,129071,111136,117977,100906,109808,110997,109371,99626,99523,93699,90793,89062,86577,83660,83709,82359,88122,93938,2708217
52,110628,83291,86359,96523,98333,67847,40016,50296,83549,86046,117032,128706,125817,107418,98191,109841,107540,94675,106766,100780,98812,85655,84290,76547,83693,80487,75203,90919,85930,2661190
53,100331,116504,72843,89770,94805,101310,68775,41281,55647,75223,112948,121569,116593,112325,104933,109413,99862,93209,101883,96349,96506,88664,85069,75370,83404,81405,85145,77796,85823,2644755
54,100319,113103,121067,69357,83069,102505,97724,68035,40330,54116,124363,142594,120346,118955,105561,101710,100037,105296,91203,95725,95232,102927,90523,86124,83663,74146,78891,75616,93461,2735998
55,83877,107665,105017,119786,79997,87118,99720,89522,66231,36965,127811,123866,119921,116866,109062,106002,99297,102214,91042,94194,101827,98147,81245,87804,79968,76917,75963,75634,86151,2729829
56,36952,74965,93324,94425,105558,73167,87958,97637,86322,63054,131897,130054,129232,116113,115779,108748,104267,103951,99838,78836,100481,98037,86627,92764,87410,81310,81308,71167,84819,2716000
57,35040,76411,98244,98074,105186,76414,104559,114605,121837,91055,93394,115157,118076,102804,103919,94730,95295,95875,89850,101917,83352,83832,78304,77937,81860,77890,75048,71366,66585,2628616
58,57593,40365,79423,97791,104754,99391,78124,98155,108796,119076,96973,104180,101554,109782,102789,95705,101574,98449,94314,92614,80101,76595,74320,80322,85964,77627,76691,69509,68823,2571354
59,82887,64841,31106,81338,93161,107242,99990,89837,106405,115335,107470,112593,99711,105084,96469,92779,97693,88036,95514,98557,86155,82102,73393,76433,88507,84513,83254,74146,70941,2585492
60,86533,86958,62783,38945,63666,81054,87183,86766,83530,104152,111807,112521,108127,125294,96843,96899,89217,101709,95029,88493,82749,83086,81669,81521,79617,85849,74074,72559,68927,2517560
61,89312,95495,100493,74161,38944,68595,87656,94213,91129,90799,111248,112553,106895,114624,97500,96579,90412,97492,94961,95575,77224,74446,78265,72185,76834,85197,80308,80187,82690,2555972
62,80331,94737,96766,97724,68774,36945,59876,79704,93863,97281,109239,117737,101562,102971,97205,99834,93706,97099,83008,90175,84089,81051,74592,77860,73078,84869,79777,78272,70290,2502415
63,79630,100571,103491,102996,77049,35958,67060,92408,90688,94083,106853,118106,98856,103841,105248,97590,83030,89726,91306,97790,87483,75062,73316,78566,75018,80160,75265,87014,73310,2541474
64,83992,99484,102034,99828,74290,37793,61969,92951,101196,60842,108055,115416,97301,106308,112494,101221,91499,95772,100151,95724,90178,82588,82544,64534,75237,75885,85743,71907,78192,2545128
65,84871,96190,95131,100802,72016,40184,67356,93090,89763,91088,111303,115327,116883,106628,99121,103424,103143,88629,88476,84085,82778,88152,75879,71853,76938,68327,80763,83719,84789,2560708
66,80014,85484,93090,97828,71274,32876,64645,84968,85906,95370,106659,112556,110609,97710,106330,104949,91413,90968,89605,77203,90213,90958,89462,82525,74627,72138,82676,88372,84500,2534928
67,73929,93148,97698,105244,78624,40310,60199,88115,101574,97181,116095,115598,104774,104054,104460,100686,89395,87594,82581,98913,96851,88461,85932,76010,71570,74901,68113,82525,81204,2565739
68,69488,83109,96397,104014,74179,37959,64306,93789,105677,100379,109831,107529,110144,113519,106633,95172,97015,86440,89589,81003,76283,88202,93902,82255,71670,70799,72996,89533,78858,2550670
69,72760,82998,92407,99544,73534,41214,55552,88866,93115,99211,113280,116525,105363,103505,94960,100816,97182,91435,83103,83364,71910,79471,87443,80209,79243,72159,78761,91097,73158,2502185
70,66651,88563,90114,97793,69938,39661,61423,91637,102792,95869,115465,109109,109427,106254,99390,100069,103589,89470,86127,77777,89103,85792,81770,83462,76475,74190,66859,68037,79919,2506725
71,89924,69357,87930,92050,102654,67255,45167,62512,79071,93551,111468,117265,108337,101157,118054,102705,93834,89032,98740,79642,87373,75309,85555,79657,76372,79336,83968,66344,84213,2527832
72,88290,97997,68701,89362,96827,99260,70730,39008,59270,84497,113790,115386,111675,117299,111643,98467,108620,108886,95063,91276,84192,82285,91451,87033,89727,83727,70270,75105,87405,2617242
73,87387,95750,105788,76185,86814,94215,98840,73053,34500,52188,116263,119589,105962,110938,99359,98520,110418,98285,98398,88449,88805,87145,87813,89124,83457,75127,70669,83057,75682,2591780
