node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,0,11,0,17,4,5,9,6,46,22,19,20,2,29,2,20,0,212
1,1364,8,13,13,16,65,0,17,2,10,23,23,86,10,313,65,53,2081
2,181,12,0,31,11,59,19,3,134,0,231,15,8,17,113,6,0,840
3,598,46,0,172,165,69,171,1,15,18,28,123,30,146,0,75,55,1712
4,300,76,149,13,9,28,38,39,26,8,109,22,26,31,32,16,16,938
5,21,144,28,15,92,233,57,2,17,51,14,3,144,35,95,36,43,1030
6,87,47,26,0,91,64,37,10,44,7,0,11,13,50,37,21,19,564
7,2,29,14,70,95,39,0,0,17,13,7,112,8,17,72,0,0,495
8,853,21,0,29,87,187,9,42,180,20,15,4,347,56,84,9,176,2119
9,332,25,11,9,198,123,79,79,15,24,223,0,315,53,18,27,18,1549
10,252,52,9,16,328,113,46,23,16,2,64,122,433,189,17,169,34,1885
11,0,16,17,46,28,72,90,10,10,14,0,0,36,0,6,28,38,411
12,34,6,12,22,26,14,13,35,15,10,0,48,4,7,9,37,28,320
13,1,2,1,12,0,18,27,0,0,10,35,5,26,5,17,10,22,191
14,26,0,30,25,73,55,66,22,24,89,7,27,11,23,12,4,0,494
15,10,10,15,28,31,3,169,0,12,20,30,4,28,20,21,21,17,439
16,10,37,25,52,13,19,38,48,1,21,12,48,8,7,31,0,0,370
17,30,138,14,8,3,10,54,7,42,31,12,6,134,38,27,16,12,582
18,10,8,0,85,8,29,9,0,0,41,4,256,225,62,21,0,34,792
19,9,0,1,391,3,12,23,0,25,10,3,69,10,20,29,31,0,636
20,11,8,15,26,111,45,16,3,0,3,5,20,0,0,42,75,26,406
21,22,1,10,71,5,16,45,11,14,58,36,90,62,177,10,1,230,859
22,10,5,30,20,18,16,15,3,13,4,10,27,6,32,23,20,25,277
23,16,0,21,3,26,15,20,2,22,14,6,28,7,6,8,11,21,226
24,0,8,17,0,15,15,3,25,10,6,10,16,7,0,15,0,23,170
25,7,0,5,4,37,45,123,3,3,26,9,14,26,79,12,0,9,402
26,0,10,24,47,47,12,105,0,74,11,22,10,15,29,6,6,19,437
27,10,19,10,146,25,12,63,55,18,22,39,52,58,153,167,9,130,988
28,78,79,156,14,9,39,90,48,61,213,78,116,84,21,108,17,70,1281
29,4,4,37,10,2,21,11,17,22,97,46,24,22,104,3,193,24,641
30,14,6,12,30,9,10,1,13,48,33,88,41,4,50,0,2,0,361
31,16,31,38,6,6,20,47,26,41,21,15,20,23,37,26,12,160,545
32,14,6,18,50,40,24,63,18,87,19,12,146,39,58,57,14,68,733
33,56,57,23,111,2,17,82,11,27,36,28,30,51,15,68,32,124,770
34,49,20,15,121,23,26,0,0,13,18,33,9,65,0,27,0,27,446
35,23,6,20,14,18,34,20,1,2,0,4,6,26,23,14,17,0,228
36,28,42,2,123,30,80,75,115,3,16,6,9,17,0,88,0,0,634
37,16,4,55,180,34,3,57,14,13,25,39,85,57,10,0,57,2,651
38,31,59,73,35,34,12,71,8,0,3,32,238,166,18,0,38,99,917
39,30,27,37,5,10,11,100,24,47,0,31,21,5,4,10,0,10,372
40,8,20,20,0,15,73,0,8,21,19,0,18,95,1,12,17,14,341
41,75,0,2,21,33,30,25,20,25,0,25,10,28,4,25,11,4,338
42,20,12,8,7,8,0,5,19,8,62,0,17,4,6,17,2,9,204
43,10,30,14,108,0,15,67,13,22,25,52,57,37,193,34,210,58,945
44,13,90,15,18,61,10,20,6,4,10,13,85,109,21,85,14,17,591
45,21,31,29,7,20,17,8,10,0,54,14,47,22,0,10,8,8,306
46,94,20,0,148,21,27,17,11,10,17,10,17,58,14,17,33,5,519
47,4,0,15,20,32,56,113,20,44,30,20,0,45,19,11,119,33,581
48,10,44,13,46,41,11,89,49,20,17,3,0,9,150,204,10,195,911
49,19,0,36,27,0,17,93,19,4,1,67,20,45,72,24,10,40,494
50,103,20,22,27,0,50,96,30,18,78,12,17,46,122,128,34,94,897
51,26,24,20,18,17,102,6,22,4,65,14,19,54,22,26,67,12,518
52,10,0,8,8,23,16,15,26,31,3,6,27,16,1,0,4,23,217
53,44,15,36,12,32,10,34,23,10,24,10,57,29,33,26,144,39,578
54,13,11,25,139,21,30,77,67,28,30,129,29,29,69,138,2,91,928
55,175,6,131,156,160,80,27,43,16,0,23,4,35,131,11,151,33,1182
56,178,65,1,21,80,14,24,60,103,41,63,28,101,70,81,149,150,1229
57,19,109,110,66,33,39,4,20,23,26,73,40,63,11,37,10,84,767
58,161,84,38,20,28,13,106,2,16,0,49,147,1,0,106,11,54,836
59,94,18,7,6,31,16,62,39,10,95,0,23,11,19,15,11,60,517
60,22,25,21,30,31,45,94,27,26,15,38,150,40,85,10,64,9,732
61,23,45,21,22,21,17,31,15,37,16,0,74,22,32,10,10,11,407
62,28,16,4,16,9,174,0,3,7,24,29,9,8,36,16,29,39,447
63,134,111,6,24,10,15,21,17,5,0,0,0,104,24,48,20,74,613
64,6,108,11,25,0,30,64,25,15,16,70,10,15,20,1,57,7,480
65,18,122,46,95,24,20,74,34,78,37,97,26,11,51,58,26,29,846
66,17,13,34,20,21,27,42,4,0,3,12,32,8,10,20,2,9,274
67,26,157,37,11,7,28,50,22,84,4,10,4,68,85,60,12,26,691
68,5,74,11,11,101,7,1,0,10,6,131,0,146,10,0,75,71,659
69,9,6,28,69,19,45,97,10,111,10,19,0,82,18,6,18,14,561
70,20,13,12,91,74,69,94,21,15,4,14,53,33,49,67,38,10,677
71,92,4,60,127,38,258,3,48,0,13,9,12,19,131,148,23,12,997
72,47,49,69,48,12,34,81,219,35,0,57,1,95,20,0,10,6,783
73,111,162,18,37,3,141,86,76,60,117,60,38,89,19,13,41,100,1171
74,13,98,6,95,19,32,36,28,25,13,0,119,89,24,54,30,86,767
75,11,13,11,19,52,19,41,29,0,9,37,70,27,33,35,14,73,493
76,10,34,22,117,51,16,83,57,34,124,10,24,9,59,71,40,49,810
77,42,85,73,42,40,32,43,39,48,28,0,19,29,34,10,14,28,606
78,7,132,118,16,9,79,0,7,10,21,0,10,151,43,9,127,123,862
79,99,230,43,48,25,84,49,22,80,8,47,149,72,71,174,122,44,1367
80,12,95,60,111,54,35,39,0,44,20,20,119,130,39,0,33,0,811
81,38,128,12,25,25,0,88,27,6,10,96,7,38,9,0,1,20,530
82,75,17,51,47,13,27,108,19,6,9,20,26,6,17,20,5,42,508
83,31,21,64,5,25,67,127,92,59,36,28,26,17,20,10,0,13,641
84,44,0,9,282,35,78,19,35,0,44,0,0,22,23,97,16,57,761
85,10,2,17,192,20,123,36,102,95,3,13,0,16,14,102,35,46,826
86,10,58,1,45,32,7,83,27,7,10,1,189,39,20,27,10,20,586
87,50,48,164,149,72,6,53,0,85,64,58,77,20,13,0,6,84,949
88,34,42,43,133,169,245,62,15,10,47,35,17,9,80,20,77,117,1155
89,30,60,23,45,13,40,8,39,25,0,25,20,23,15,0,107,30,503
90,31,16,14,46,17,59,59,5,5,48,83,10,5,6,67,19,15,505
91,17,15,24,48,35,43,75,1,12,0,42,57,56,6,3,11,20,465
92,25,57,56,86,83,37,7,0,0,7,10,13,135,84,52,10,89,751
93,3,29,56,115,96,51,45,30,42,3,10,8,54,16,136,110,77,881
94,20,27,85,204,26,15,153,52,9,12,30,0,0,28,29,15,87,792
95,32,6,6,48,14,136,21,11,74,73,16,27,392,48,13,0,6,923
96,111,171,22,116,3,103,71,78,110,31,49,46,100,15,23,22,4,1075
97,206,5,4,4,66,52,125,32,0,3,0,25,45,42,12,37,10,668
98,181,98,10,99,221,31,35,0,45,13,56,63,5,43,121,70,60,1151
99,24,45,72,42,26,227,99,33,0,6,16,20,86,53,114,58,21,942
100,76,29,16,25,28,65,42,13,10,4,65,60,5,9,31,117,20,615
101,2,50,4,0,37,53,58,67,12,1,0,25,11,3,38,7,34,402
102,235,19,3,54,46,41,114,60,54,109,25,27,18,50,137,167,101,1260
103,15,3,176,27,24,94,38,20,10,0,10,80,105,71,1,39,10,723
104,11,8,57,45,14,28,139,14,24,61,34,4,17,32,20,10,21,539
105,24,93,19,58,18,27,121,110,10,13,93,0,14,16,27,21,0,664
106,81,35,39,38,0,160,0,0,30,90,19,9,15,53,94,12,22,697
107,33,23,12,31,22,54,35,23,119,43,2,51,68,38,20,36,11,621
108,1,37,17,17,36,22,99,34,19,5,20,10,24,8,10,21,1,381
109,167,75,53,113,27,13,32,89,53,88,9,60,165,26,69,255,154,1448
110,32,50,22,32,26,27,12,39,27,25,20,30,4,14,38,44,0,442
111,28,58,35,217,177,83,33,24,26,3,16,1,1,72,2,39,21,836
112,41,4,49,62,19,87,83,16,0,50,10,75,21,22,34,36,60,669
113,22,11,19,69,29,39,30,26,25,46,74,0,23,2,40,10,15,480
114,189,21,8,169,14,187,103,1,0,12,20,17,48,26,102,15,22,954
115,10,94,13,44,39,6,133,10,61,28,33,21,63,1,0,14,6,576
116,22,43,74,32,24,9,43,10,21,23,0,28,17,40,21,13,0,420
117,150,21,75,91,134,74,7,10,10,20,22,292,32,30,12,21,38,1039
118,1,33,38,42,10,47,125,1,7,80,1,23,10,0,35,9,12,474
119,13,185,21,214,24,23,102,95,64,5,10,54,19,8,70,10,278,1195
120,111,38,7,105,21,21,50,59,25,19,20,34,92,23,78,63,88,854
121,231,26,13,181,29,38,19,25,26,46,40,20,38,40,73,0,49,894
122,98,11,9,15,13,33,10,27,9,6,6,19,1,16,0,11,12,296
123,113,0,10,7,1,0,13,74,50,25,79,19,31,48,17,78,29,594
124,195,30,79,64,85,71,37,78,91,115,51,41,100,13,15,203,65,1333
125,44,77,101,48,73,47,75,39,41,40,125,77,20,23,23,97,144,1094
126,61,13,65,92,92,91,14,77,33,123,71,101,11,22,51,60,27,1004
127,55,69,83,55,61,13,121,66,133,103,53,98,74,76,33,3,44,1140
128,5,0,3,2,4,5,28,20,11,12,30,13,9,42,19,6,9,218
129,192,5,15,13,16,10,0,27,113,9,54,15,10,45,13,5,59,601
130,177,22,41,26,19,13,24,90,79,103,149,114,105,96,31,7,86,1182
131,190,129,51,68,59,51,47,47,20,62,57,35,144,15,17,39,59,1090
132,188,34,6,114,32,66,62,0,100,43,44,6,60,30,0,10,127,922
133,102,15,40,14,24,17,142,33,15,87,18,40,2,19,23,0,0,591
134,84,13,16,21,29,11,37,4,28,25,20,42,2,8,22,10,3,375
135,44,18,64,0,0,7,6,5,46,5,16,1,19,11,40,0,5,287
136,16,60,107,10,9,17,36,73,24,31,15,67,55,82,33,27,24,686
137,16,11,15,12,16,25,5,24,5,71,10,35,6,26,41,24,24,366
138,20,0,8,27,102,11,9,48,29,1,3,27,7,1,11,30,24,358
139,10,0,12,23,10,41,18,10,10,36,12,31,44,4,10,3,26,300
140,81,17,41,42,38,10,0,18,6,11,20,0,34,0,80,8,38,444
141,98,28,10,46,18,14,20,12,11,17,0,15,8,23,0,24,27,371
142,237,62,16,24,28,2,0,10,63,10,17,0,10,46,24,16,0,565
143,135,0,8,18,9,160,85,0,0,12,80,19,18,46,27,7,2,626
144,148,57,38,8,14,3,0,5,35,44,5,19,15,8,20,2,0,421
145,95,32,127,10,38,44,56,9,13,10,43,18,75,169,43,22,25,829
146,111,17,6,0,8,20,18,56,96,26,34,23,37,21,20,18,22,533
147,16,24,27,35,0,14,10,4,20,11,30,48,0,0,19,29,0,287
148,41,1,44,27,18,16,20,35,46,41,16,12,22,0,2,30,11,382
149,14,28,52,14,7,4,133,42,18,32,13,12,13,84,16,22,21,525
150,7,16,26,12,18,15,5,99,24,71,25,42,31,33,21,9,25,479
151,101,92,12,24,0,14,0,37,53,20,20,18,52,1,25,5,10,484
152,92,29,17,2,19,11,39,9,18,11,21,22,17,0,0,4,5,316
153,45,0,8,21,0,6,0,101,28,25,18,3,3,3,7,0,3,271
154,227,63,88,4,15,20,79,125,119,57,39,125,43,53,90,14,96,1257
155,121,1,12,19,32,43,20,5,10,23,3,67,21,0,20,7,0,404
156,65,37,10,12,57,34,18,5,27,38,8,0,22,6,6,51,10,406
157,49,22,22,14,1,18,111,19,62,26,11,2,10,10,9,9,10,405
158,18,17,15,0,0,37,9,1,17,22,5,35,0,3,8,0,4,191
159,73,6,19,46,48,2,35,4,15,63,95,59,15,6,6,8,0,500
160,26,0,11,17,7,42,13,31,5,42,38,113,0,5,17,11,10,388
161,17,32,16,2,0,5,21,2,4,11,16,50,7,20,0,2,11,216
162,59,0,12,16,6,40,30,14,6,31,16,4,7,24,8,0,3,276
163,170,4,15,14,29,0,16,5,11,46,4,9,5,7,8,2,0,345
164,48,8,27,10,0,0,28,0,4,0,0,28,2,15,29,5,10,214
165,172,48,97,0,29,10,0,87,31,106,67,34,47,0,10,36,4,778
166,29,3,40,10,43,23,0,14,57,2,10,15,12,0,10,6,14,288
167,30,31,127,96,42,3,48,17,22,6,24,4,48,10,8,0,52,568
168,62,10,13,52,10,20,55,10,75,22,69,4,78,38,6,23,5,552
