node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
358,26759,39663,59475,61857,43735,47707,50512,55174,59862,55104,50190,130670,58580,54046,52990,42978,53365,44114,52439,37240,26535,24315,41643,28627,38631,1236211
359,34309,64025,89198,63750,53330,97038,42424,66134,101873,46933,50127,36932,48566,61707,67541,54471,50885,61298,48447,34422,43291,31740,39061,27521,86787,1401810
360,244204,198568,94446,130214,52617,56313,56062,112423,175166,60070,73128,76390,134752,117235,128710,86091,146409,41853,118624,46894,68598,57671,38588,36988,64178,2416192
361,36038,94953,90359,47577,62073,71015,89397,69889,77193,85596,108297,58349,95185,74199,50754,45742,128479,81449,54008,61462,52877,57725,23705,47622,60259,1724202
362,53542,91529,107153,74917,157818,65344,84327,58922,76989,122967,49401,72363,89369,68527,61351,55580,108010,46062,98125,25732,78327,68616,58991,35160,87291,1896413
363,146535,127112,150307,65682,119971,83289,121269,171380,82030,104431,99261,122044,82543,121272,104036,129007,179309,53104,40574,140893,81833,84547,106525,50518,56146,2623618
364,83688,102507,85985,63545,60426,92013,80097,79940,60632,139923,110725,78619,83329,87231,55623,47359,114046,37521,52246,34856,85331,62807,95582,43905,35120,1873056
365,42271,39828,39025,60798,33001,32614,33535,37848,34687,31095,31805,37842,33900,30962,33360,37436,30111,24861,38315,35894,50732,20968,29632,30691,42746,893957
366,29190,163971,52741,49807,83504,103010,97307,64108,57273,72380,108179,62091,85290,95921,100071,141208,68066,38568,88258,50803,84266,51263,26930,55625,64539,1894369
367,64048,173378,67496,74357,129649,95138,93043,80855,152169,71231,84287,97559,66216,106076,52424,124637,53082,37342,70974,70474,57639,110696,58348,43275,47419,2081812
368,45724,144940,117004,73441,108950,74107,95380,58003,137685,60048,58623,76716,84389,105729,53643,99450,46948,38540,31640,47222,83177,66865,40263,34074,72770,1855331
369,109132,134815,63109,59943,123561,112247,67425,76549,150839,88130,65382,89098,109056,115014,107896,122625,77988,39878,36765,32357,49681,91369,54298,60527,80986,2118670
370,36092,70335,79676,84411,77266,54044,42947,91169,74684,73791,72907,51042,48918,50392,82530,90961,54457,27180,30717,43974,43886,59485,20640,77042,66379,1504925
371,45711,84980,68375,69882,72443,44950,39029,43960,44706,98515,55311,32169,51090,44634,74792,91690,42093,32935,32899,38788,30954,41764,33461,27905,65304,1308340
372,66099,54155,48680,76210,69202,47560,81386,62527,62908,79377,66191,56759,114185,101865,71685,53351,47642,42774,73058,49143,31116,20337,42753,41260,56893,1517116
373,151018,89840,85953,116997,57938,87358,141655,92856,62575,110871,79761,83158,75749,127044,73017,61726,63362,64320,61340,76560,122605,48801,65434,101385,59220,2160543
374,116250,69910,70703,59091,64463,57428,49465,61202,56786,56189,50179,55426,45401,53115,54279,55177,49378,82376,40664,90331,55230,35324,34801,50140,32207,1445515
375,21208,39396,46674,42209,70609,35817,38390,30302,40518,31597,33029,31246,33347,31613,32381,28783,30280,30372,34320,34134,28421,38231,28652,23236,27215,861980
376,28541,72450,95001,70684,59726,50288,70938,69002,148685,73161,101448,46814,54322,55269,85317,65886,61257,77874,54795,39854,39359,43116,30720,31604,82181,1608292
377,141057,113505,145266,80958,77415,95177,87382,107903,142703,76292,94622,93705,178449,212382,144188,68115,77299,44951,89908,102629,30920,47198,31172,48148,58839,2390183
378,32887,73631,166958,54737,274434,123142,153830,64348,105830,156051,155848,101997,109830,144075,104087,144698,113630,26434,45411,59960,57214,58589,33563,42581,93018,2496783
379,49408,139117,126593,107914,102591,65609,99817,74637,118572,93550,64341,72364,99525,111953,68879,73429,107260,42737,61290,34567,94471,108605,59104,39485,79456,2095274
380,65564,175995,82367,71024,114635,85450,79681,114688,80129,114772,89851,83754,63161,145397,81426,66889,151126,47705,24928,95337,49934,132939,82385,35019,77793,2211949
381,104945,143054,56488,59115,85962,105683,64068,80327,65762,96661,119810,172336,61947,130730,56196,45198,109473,39982,23738,38768,61808,55444,120277,21567,49353,1968692
