node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
113,332,35,1,11,0,84,20,7,12,43,47,38,10,27,9,0,1,10,31,20,70,79,7,57,4,134,1,9,37,1136
114,22,44,22,13,33,38,37,30,34,26,24,6,36,36,25,0,30,24,21,28,26,17,17,26,22,17,0,19,13,686
115,3,21,13,22,37,9,0,14,23,19,20,20,0,11,10,10,9,11,0,11,3,21,2,18,9,31,24,4,32,407
116,9,8,3,14,26,21,15,21,22,7,9,0,0,0,41,25,20,9,8,18,20,0,0,21,10,8,13,6,18,372
117,9,33,0,10,12,4,28,5,3,11,17,0,9,0,51,2,18,0,0,3,48,10,7,4,13,0,15,9,33,354
118,10,7,0,14,1,17,1,14,27,12,0,14,15,14,10,3,8,59,0,19,0,10,10,12,6,21,3,5,2,314
119,15,12,20,29,4,13,32,131,3,2,41,8,0,16,77,0,5,29,15,14,21,25,5,10,12,10,36,19,35,639
120,25,10,6,3,53,90,25,11,35,29,72,48,15,0,7,11,10,10,0,0,17,15,0,30,20,10,28,0,9,589
121,16,10,21,50,26,25,56,130,12,34,41,0,6,17,0,10,35,8,1,3,27,38,17,33,0,10,56,193,1,876
122,29,18,36,11,75,28,51,25,30,2,65,8,16,0,18,10,2,0,7,5,0,10,5,28,29,10,7,0,5,530
123,13,18,17,35,26,205,34,32,55,12,91,56,10,208,21,3,3,8,0,105,15,22,10,10,31,64,7,29,19,1159
124,2,21,7,27,89,81,43,0,103,0,39,16,37,20,0,16,6,9,31,11,10,10,0,150,10,6,16,4,70,834
125,20,26,19,40,36,22,1,15,0,3,101,10,15,0,0,59,0,14,0,15,5,3,0,196,6,0,16,21,23,666
126,34,13,37,33,52,10,27,0,10,6,28,10,36,3,24,7,13,8,0,5,19,11,0,0,12,42,6,18,12,476
127,6,0,4,6,6,86,8,10,0,102,28,26,5,16,93,5,4,67,4,9,4,7,63,18,8,0,52,9,20,666
128,20,444,54,0,10,0,0,0,0,79,10,21,32,11,17,15,15,7,22,27,9,0,3,8,19,119,72,11,5,1030
