node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
0,6,2,4,64,11,41,0,7,12,17,27,29,11,106,0,0,10,6,8,5,0,29,4,5,3,22,8,20,10,8,15,0,6,27,19,42,10,13,22,18,67,20,33,767
1,3313,179,5,13,127,12,110,158,192,11,3,16,45,55,362,1295,457,5,11,0,53,9,17,9,43,30,110,17,13,58,56,4,67,6,174,236,102,10,9,30,105,5,4,7536
2,166,54,217,81,93,291,362,40,70,18,149,147,80,20,121,128,24,52,68,13,27,29,65,10,23,809,57,27,10,38,137,87,15,13,17,10,13,23,12,11,0,64,21,3712
3,23,14660,21,647,446,14,647,11,65,2229,7,37,122,169,10,26,2,11,4,4,0,0,12,26,20,8,12,10,14,32,1,16,0,6,30,365,33,0,6,53,32,11,54,19896
4,33839,6,571,3557,1,21,8,10,13,17,323,11,522,6713,20,23,1058,17,49,0,47,8,38,10,0,20,174,10,18,4,10,52,22,27,16,16,28,23,168,7,5,5,12,47499
5,6047,14,3743,354,29,19,30,2154,101,40,154,17,1079,470,16,10,7,33,8,7,5,23,15,44,13,16,1105,211,20,20,23,15,20,8,5,79,5,298,10,18,215,56,15,16571
6,26301,7,10,2839,29,14,0,1523,8,2330,434,155,21,2482,20,17,32,0,16,10,3,4,23,19,15,211,17,26,0,11,59,100,27,7,95,70,655,36,30,6,45,29,52,37788
7,955,392,97,0,5,2,61,0,97,47,166,54,16,12,209,266,271,755,590,10,17,448,325,176,12,7,13,25,15,79,25,20,25,30,16,13,48,5,41,31,35,16,57,5484
8,55,18,29,16968,25,86,319,17,12,281,43,210,174,179,19,8,6,14,28,7,20,13,30,8,83,8,28,822,23,8,0,46,16,33,38,14,11,0,18,10,47,16,24,19814
9,5482,42,16,13,12,0,75,77,131,498,56,1038,22,154,155,48,33,362,61,60,105,15,20,9,141,4,10,268,16,7,24,45,22,13,13,31,60,544,33,1,0,78,554,10348
10,88,24,74,177,111,47,85,179,7,180,97,34,147,78,213,42,24,40,16,5,11,18,95,16,106,39,26,33,56,32,6,4,8,5,48,1,8,43,9,4,30,6,10,2282
11,119,83,74,118,62,129,33,16,76,242,116,762,54,3,108,45,63,38,75,1,85,18,28,37,57,62,54,43,119,27,58,19,19,44,25,29,13,9,8,25,17,21,33,3067
12,18,1400,5695,51,3416,20,20,36,2,58,711,252,13,41,7,24,4,20,10,23,9,2,30,16,10,7,10,11,7,13,57,17,11,21,14,1,6,118,277,36,18,10,31,12553
13,537,20,6,118,48,97,2,89,28,167,10,44,10,81,239,27,10,18,13,1296,24,98,23,23,191,7,81,74,262,22,12,17,284,17,11,10,13,0,265,0,46,17,15,4372
14,250,75,269,25,353,75,299,16,216,8,108,54,375,2,152,60,26,53,11,40,46,2,23,15,12,46,41,20,27,601,72,57,21,17,41,34,110,20,23,6,19,9,12,3741
15,19,2890,4980,490,0,0,24,85,252,49,272,388,415,215,0,10,10,12,27,3,14,0,0,7,0,15,0,37,39,7,13,0,27,8,27,71,3,7,103,281,14,10,0,10824
16,526,2,21,158,68,91,2,2,15,34,67,384,0,578,249,6,20,0,0,34,760,123,9,10,7,20,1,53,0,42,39,415,32,67,15,1,12,66,20,42,350,171,24,4536
17,120,63,20,74,103,26,58,112,117,120,84,131,85,292,43,22,37,39,24,15,38,37,43,31,34,12,39,24,0,57,706,50,65,46,6,33,27,126,58,17,3,15,38,3090
18,88,226,716,37,1009,127,212,131,42,69,64,109,116,0,51,26,15,10,29,20,21,30,81,15,22,27,30,48,11,51,68,31,7,60,51,71,26,23,38,184,397,158,3,4550
19,7,5731,0,2749,69,10,468,0,58,171,907,266,14,277,40,8,8,24,20,0,3,56,3,19,7,14,4,21,3,20,15,6,13,0,6,10,10,8,7,13,17,17,12,11111
20,609,16,337,74,99,226,63,131,3,11,277,63,226,20,251,20,11,30,12,171,0,168,17,3,31,20,16,23,0,20,16,765,29,20,6,132,28,37,25,168,9,273,145,4601
21,88,1093,988,642,10,324,46,19,11,177,48,1,230,110,20,9,10,23,0,25,10,26,20,26,10,15,10,10,20,7,20,20,4,14,50,525,44,136,17,0,215,158,39,5270
22,2312,120,132,4,20,105,9,118,8,1082,112,124,1183,204,3,17,206,75,13,0,78,6,1341,166,20,36,34,16,22,18,220,26,23,29,6,25,10,33,6,21,20,0,16,8019
23,870,1,130,6,4,2,16,15,144,3297,1247,733,2313,214,11,98,14,0,10,142,22,9,15,12,3,22,14,46,8,3,4,207,505,81,10,107,16,71,22,8,41,48,20,10561
24,657,10,0,68,3064,2,645,6,273,4694,0,82,10,754,0,258,93,0,108,10,0,18,10,0,35,97,0,30,1,3,0,8,10,14,123,120,30,282,259,20,10,109,192,12105
25,347,84,172,3,350,11,4,117,229,6,185,26,7,66,257,0,18,16,14,18,276,9,29,1210,18,19,17,131,27,11,22,10,17,20,0,146,23,105,8,60,86,0,308,4482
26,243,52,308,87,224,60,88,130,0,112,8,30,82,19,162,10,17,8,42,12,37,13,30,71,23,67,15,1,39,24,23,43,63,441,41,12,32,39,47,67,50,68,78,3018
27,43,10,5740,1837,59,10,0,0,64,161,1808,1433,1,199,40,49,12,40,22,14,20,8,7,10,53,10,21,0,20,36,0,0,0,13,29,25,26,31,6,10,14,30,2,11913
28,333,17387,3072,3609,2833,604,717,4202,58,287,175,2221,5257,4859,203,151,158,227,424,508,126,201,117,602,1326,99,85,120,134,95,153,86,62,119,76,102,132,129,62,87,160,79,131,51568
29,28,116,18,20,36,12,10,42,26,21,20,37,53,29,129,4,28,11,13,29,25,17,2,0,28,9,33,33,12,277,5,23,40,22,20,0,22,107,0,17,33,14,21,1442
30,11,61,22,1,51,17,28,57,47,38,17,18,77,25,119,112,38,9,22,7,39,25,77,28,60,56,64,13,4,27,27,4,27,15,67,115,20,22,11,16,46,5,14,1559
31,127,1,6,90,16,162,58,8,47,26,31,75,23,36,61,246,96,31,25,12,23,10,22,36,10,0,20,25,22,53,129,96,16,29,29,9,59,35,16,17,0,14,1,1848
32,27,4,176,13,20,5,6,20,614,116,12,18,10,40,0,10,27,35,4,22,12,10,34,27,25,0,36,20,26,10,16,20,4,0,32,218,19,100,1,47,117,8,8,1969
