node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
73,24607,0,23492,10000,29739,6078,14746,12,4370,0,0,113044
74,12714,15612,14078,8,33196,17283,14059,6617,10000,0,0,123567
75,42188,0,8514,29174,63905,18366,51491,23701,9856,0,10000,257195
76,13,0,10000,19997,19990,10000,0,0,29993,0,0,89993
77,18252,13228,1052,23385,0,9826,20000,6,16631,19211,0,121591
78,6,9666,17406,6070,13293,14396,15530,2003,10000,0,4168,92538
79,18945,26076,23396,6542,9731,6780,13952,0,0,30999,0,136421
80,8486,21514,3327,13298,0,3345,10000,0,0,0,19855,79825
81,9985,0,41275,22906,15,20000,6540,0,3719,0,0,104440
82,54847,54526,17956,26006,50844,44284,0,21563,37384,14970,0,322380
83,24359,20081,15080,18886,3508,29159,11020,8258,10013,8082,4970,153416
84,12,18028,14972,12464,15374,9781,18428,0,3,6641,0,95703
85,0,39582,27297,55549,21919,7909,22623,0,7514,14208,51462,248063
86,10009,26464,13310,21726,20198,18816,25640,9058,0,40159,30000,215380
87,18000,16536,14948,46681,2858,32172,13535,9865,0,2130,3365,160090
88,29989,15047,15103,24506,4799,20001,6,6691,20659,3,0,136804
89,98450,53606,44735,53077,9606,26976,20322,24492,8530,5059,0,344853
90,36889,10000,5409,9991,11215,34366,30047,0,20000,9107,0,167024
91,22854,29188,10951,15248,30773,26236,17533,14064,11203,37337,2476,217863
92,10000,10001,39930,5792,8733,4649,14411,4311,17761,8347,23081,147016
93,29081,18391,25574,24330,11609,27630,37270,8720,3814,21631,13344,221394
94,22158,24530,30113,21416,7228,21643,8396,13809,21606,9527,9496,189922
95,26967,11186,11023,31631,23199,21541,26804,10000,11350,3336,86,177123
96,14159,14625,13794,28610,21986,35335,25546,5801,16645,0,14848,191349
97,52845,50508,29757,29501,10302,28779,24590,11164,23093,19459,0,279998
