node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
345,28000,76000,34000,45000,44000,34000,27000,26000,34000,35000,35000,32000,36000,26000,27000,44000,25000,55000,49000,48000,39000,47000,46000,37000,27000,956000
346,127000,90000,73000,27000,27000,51000,42000,42000,30000,40000,26000,28000,59000,25000,27000,69000,30000,29000,55000,41000,50000,27000,61000,49000,27000,1152000
347,27000,27000,99000,76000,73000,32000,50000,26000,27000,88000,25000,28000,43000,29000,33000,49000,50000,32000,33000,84000,55000,62000,30000,69000,56000,1203000
348,202000,140000,33000,106000,26000,29000,116000,25000,27000,94000,30000,58000,45000,42000,27000,26000,42000,33000,43000,75000,27000,27000,39000,69000,60000,1441000
349,238000,26000,28000,272000,25000,28000,76000,30000,51000,74000,80000,27000,26000,37000,63000,47000,30000,43000,70000,83000,30000,29000,48000,76000,27000,1564000
350,470000,25000,28000,147000,31000,111000,75000,73000,27000,26000,72000,49000,39000,29000,53000,26000,28000,29000,65000,81000,28000,41000,38000,82000,27000,1700000
351,98000,35000,61000,53000,42000,27000,26000,36000,40000,38000,30000,38000,26000,27000,51000,25000,28000,52000,44000,36000,26000,58000,44000,45000,27000,1013000
352,127000,94000,27000,26000,62000,49000,46000,30000,47000,26000,28000,58000,25000,30000,49000,29000,36000,29000,60000,63000,26000,29000,49000,54000,50000,1149000
353,26000,131000,113000,87000,33000,63000,26000,29000,81000,25000,28000,44000,29000,85000,40000,45000,27000,33000,78000,58000,27000,34000,75000,55000,26000,1298000
354,197000,33000,145000,26000,28000,147000,25000,29000,75000,29000,56000,45000,39000,27000,26000,37000,35000,28000,42000,74000,63000,31000,43000,79000,26000,1385000
355,26000,29000,349000,25000,28000,89000,30000,107000,65000,70000,27000,26000,79000,55000,41000,30000,33000,32000,66000,83000,26000,46000,65000,88000,29000,1544000
356,25000,28000,58000,33000,37000,36000,33000,27000,26000,33000,33000,33000,32000,33000,26000,27000,41000,57000,40000,41000,47000,43000,39000,47000,42000,917000
357,31000,27000,60000,27000,37000,36000,33000,26000,27000,33000,33000,33000,25000,33000,26000,30000,41000,48000,46000,44000,43000,39000,43000,49000,44000,914000
358,139000,99000,26000,28000,68000,56000,48000,25000,44000,26000,31000,58000,29000,27000,45000,27000,32000,34000,56000,31000,65000,33000,67000,41000,47000,1182000
359,209000,149000,25000,95000,27000,32000,113000,29000,27000,67000,28000,45000,35000,55000,26000,27000,30000,47000,29000,38000,83000,50000,61000,30000,73000,1430000
