node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
72,14000,16000,77000,15000,15000,14000,14000,14000,13000,12000,11000,215000
73,9000,14000,71000,12000,28000,19000,10000,24000,11000,10000,11000,219000
74,17000,24000,56000,11000,12000,9000,26000,24000,25000,9000,4000,217000
75,10000,22000,26000,9000,16000,12000,17000,19000,15000,4000,4000,154000
76,18000,9000,23000,15000,10000,14000,12000,6000,16000,13000,8000,144000
77,12000,13000,73000,13000,12000,12000,12000,15000,11000,11000,13000,197000
78,30000,14000,73000,11000,21000,15000,9000,11000,11000,11000,24000,230000
79,14000,16000,60000,9000,10000,26000,16000,11000,4000,23000,23000,212000
80,9000,18000,19000,14000,14000,10000,16000,14000,6000,3000,13000,136000
81,14000,15000,18000,13000,9000,14000,10000,14000,12000,6000,4000,129000
82,10000,9000,47000,16000,15000,16000,27000,24000,21000,3000,9000,197000
83,24000,11000,75000,13000,24000,9000,14000,9000,24000,10000,9000,222000
84,12000,14000,59000,25000,9000,18000,14000,5000,24000,24000,9000,213000
85,12000,15000,14000,12000,12000,9000,13000,5000,4000,14000,10000,120000
86,14000,13000,13000,12000,12000,12000,9000,5000,2000,10000,11000,113000
87,9000,27000,45000,14000,12000,15000,18000,24000,2000,9000,21000,196000
88,21000,9000,74000,12000,21000,26000,13000,25000,10000,11000,10000,232000
89,10000,11000,67000,11000,10000,10000,10000,9000,9000,17000,15000,179000
90,23000,12000,71000,9000,20000,13000,26000,11000,9000,25000,8000,227000
91,11000,11000,11000,11000,11000,11000,11000,4000,8000,9000,3000,101000
92,29000,22000,45000,12000,10000,12000,15000,4000,9000,22000,23000,203000
93,15000,27000,74000,11000,17000,20000,12000,11000,10000,25000,8000,230000
94,9000,9000,61000,9000,9000,9000,9000,8000,19000,19000,8000,169000
95,18000,11000,72000,28000,16000,12000,20000,9000,25000,8000,9000,228000
96,10000,12000,58000,18000,23000,16000,12000,26000,23000,7000,1000,206000
97,11000,11000,11000,11000,11000,11000,11000,3000,8000,8000,1000,97000
