node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
360,70969,78368,83227,93248,92641,69539,34682,72375,80124,79992,84638,84002,98560,90422,86733,89466,95466,84324,86286,98482,84020,79623,76399,74544,74038,73078,78547,78757,73280,62992,68171,74927,73965,68138,65373,2759396
361,73194,76772,80478,82869,83864,63610,37205,66449,74646,77058,81650,86364,83689,97588,97531,93664,100014,84969,81159,81599,80934,74944,74187,72560,72697,71841,69651,71303,74085,70198,69285,61942,62867,61482,66554,2658902
362,67556,64090,76671,73290,75771,79962,61376,30359,59265,74415,77111,73864,101807,96077,85416,96979,84495,82271,87618,83831,79515,85601,76594,77115,80351,79743,77916,86521,67531,74580,64816,71399,68073,62884,64524,2649387
363,69636,78524,64878,70187,73502,81702,77947,57419,29257,51701,66514,74873,99122,94914,90219,92864,90610,86598,82035,87822,82003,86341,74789,75526,78846,80816,83744,72719,74197,68403,64003,64879,74641,65656,62091,2628978
364,65612,71383,76550,66860,71738,76964,82944,78047,59342,29556,55980,68174,95832,97633,86090,97837,91074,92555,83635,87099,78579,77537,80731,73708,82671,88516,88510,75790,78719,74830,66032,70663,70756,67066,68310,2677323
365,65361,73595,78816,86840,66171,68525,76063,76344,75440,56214,30296,59307,90347,91890,80641,94879,78762,87532,85029,79277,84075,86127,82442,78548,85061,79262,85902,82537,73735,73799,69181,72018,81191,68180,69173,2672560
366,65307,74388,72241,74951,84882,76358,77045,78363,81400,76888,55642,35337,89753,85867,93645,91411,91968,84202,94706,80576,87122,73924,72115,76569,84059,82817,82529,68992,69861,75178,71749,77331,76187,71574,78312,2713249
367,54961,70983,73894,77989,80374,87143,75435,71811,77329,78679,81163,58672,81298,84537,92639,88390,88706,88095,90373,79230,79553,86614,72726,79940,77952,77336,77081,70701,68690,83838,69309,80753,74521,70357,70737,2721809
368,40216,71781,78309,82575,79164,91859,67263,79272,84254,85612,85853,49746,103727,101903,91681,83218,93370,85656,77273,83908,76881,77482,87904,76905,80872,83350,72754,65556,64143,69984,65554,65536,70052,60350,63304,2697267
369,56408,41521,70433,76926,72789,80460,88049,71721,77721,79618,81938,79030,111271,102277,82717,86449,87996,84877,74631,77424,77840,75064,75720,71577,72095,68018,66969,70703,58539,61611,69409,65528,71034,64177,64293,2616833
