node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
72,18043,22735,87750,40351,50218,29685,43450,25162,5845,43038,7068,373345
73,38140,18763,18162,22444,21869,22566,31169,10335,5282,4111,13755,206596
74,36434,30879,29397,30734,35403,33024,35502,18944,23033,3735,16423,293508
75,89175,46462,59229,65912,55027,45945,56408,37473,29620,74854,63176,623281
76,39842,30025,28871,26186,19287,21124,21718,4240,18815,6717,12977,229802
77,20839,24942,37694,28449,21186,20951,19638,10221,10656,17917,6231,218724
78,5575,39348,31644,44485,60323,55618,37247,6506,45229,18447,44882,389304
79,33008,33690,78209,48113,61734,46922,32051,33445,2743,55542,14420,439877
80,30335,24775,17921,17715,16292,18408,17094,12482,4589,6508,13480,179599
81,39270,21379,47659,45900,40561,38874,35843,12124,23977,2245,17033,324865
82,96730,67579,45476,55413,45951,43352,46593,31000,38272,84000,77946,632312
83,64492,24183,29391,31763,35805,38862,43875,7437,17941,10880,14318,318947
84,28022,22922,22049,25143,36768,37187,34791,16617,17723,17632,7755,266609
85,5513,37717,54129,80212,54319,30764,47903,15431,47822,15665,47108,436583
86,15898,39946,37903,51875,66442,47313,29354,45083,4135,45490,9886,393325
87,47623,13730,17695,22271,22959,27205,20231,14513,3001,9660,13876,212764
88,45944,37340,37294,44151,33963,31829,30855,13263,21247,6799,16058,318743
89,75339,52650,64439,48024,43945,53727,42528,36367,31028,92364,88079,628490
90,55410,24403,28876,38109,38002,33326,29591,11019,19859,6841,15078,300514
91,35100,28668,33464,34640,31971,29807,26483,15935,32477,47600,11910,328055
92,4326,30321,36526,18629,39848,25357,37515,11627,55272,38011,41214,338646
93,97975,83593,66167,60560,38325,55351,45429,41278,19094,44842,10844,563458
94,99987,44628,50873,38636,28853,24395,23077,15785,18448,18653,16041,379376
95,123951,85528,52348,57562,47551,44833,46271,20535,20878,19949,21722,541128
96,70689,43543,55534,62684,53477,53601,48363,31742,50332,108884,98061,676910
97,64103,46377,31518,29941,33407,30805,28596,10689,43149,22954,24089,365628
