node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,0,3,36,10,10,0,6,16,16,10,18,125
1,414,0,16,87,8,27,13,0,0,50,185,800
2,325,0,218,14,10,109,14,0,145,17,129,981
3,299,198,307,295,25,28,27,54,10,16,46,1305
4,32,24,399,76,20,0,10,3,10,42,31,647
5,431,499,29,144,13,106,8,10,62,65,50,1417
6,114,30,64,101,33,29,29,30,138,75,456,1099
7,16,26,37,11,85,37,41,15,46,43,8,365
8,32,27,16,2,17,70,14,57,36,23,40,334
9,43,24,10,23,20,16,65,10,50,29,31,321
10,23,13,71,7,7,16,22,57,12,32,32,292
11,17,63,0,3,33,101,10,14,76,22,18,357
12,23,10,0,0,42,2,0,19,4,51,34,185
13,25,36,36,11,4,9,6,10,8,10,24,179
14,92,25,31,34,295,25,30,7,19,37,22,617
15,139,23,38,52,18,114,21,96,179,220,110,1010
16,17,48,9,20,5,62,21,19,41,34,19,295
17,18,28,19,34,22,8,7,19,0,23,19,197
18,3,1,80,33,74,102,108,4,10,29,106,550
19,18,19,71,3,70,34,25,40,31,16,70,397
20,12,64,7,3,15,28,30,63,21,7,24,274
21,20,72,60,2,68,10,44,137,72,12,104,601
22,26,15,12,6,22,25,11,0,10,55,53,235
23,128,0,31,16,34,43,25,74,25,76,66,518
24,2,20,20,33,19,9,6,50,54,38,6,257
25,20,16,7,30,39,7,13,0,15,0,66,213
26,50,15,17,7,50,91,25,30,64,0,0,349
27,28,0,10,106,24,3,45,19,34,8,15,292
28,49,29,69,133,22,22,52,10,38,13,75,512
29,29,33,30,71,38,4,14,11,150,24,12,416
30,6,33,52,0,41,112,27,6,15,8,28,328
31,73,35,28,27,65,64,118,14,51,27,33,535
32,42,18,61,104,13,78,10,0,37,21,10,394
33,32,77,5,96,40,15,0,33,0,9,53,360
34,186,146,58,16,29,45,88,73,3,85,72,801
35,74,45,13,23,64,75,20,20,8,40,40,422
36,59,25,27,31,30,48,18,51,98,8,14,409
37,20,33,25,264,35,9,35,23,15,14,45,518
38,26,57,21,38,28,37,67,1,28,24,2,329
39,73,10,69,51,65,98,148,60,51,51,149,825
40,78,34,60,41,57,174,53,47,121,49,112,826
41,20,32,51,54,15,50,5,41,13,10,78,369
42,35,48,126,25,41,41,9,12,10,13,27,387
43,35,29,40,58,10,98,10,36,32,10,68,426
44,45,89,33,58,71,97,10,8,30,26,14,481
45,47,53,23,57,10,56,9,0,28,34,54,371
46,23,24,11,11,48,74,120,59,12,14,149,545
47,86,57,17,38,50,92,20,52,47,123,32,614
48,29,28,30,33,7,90,39,7,0,20,49,332
49,103,79,44,124,139,10,37,67,11,10,64,688
50,65,14,27,0,0,33,12,63,3,8,3,228
51,54,7,41,30,3,30,53,25,13,47,19,322
52,21,33,4,0,83,41,32,18,0,6,7,245
53,22,27,31,56,34,61,48,39,13,5,9,345
54,108,23,49,49,31,53,40,10,38,9,0,410
55,55,18,26,24,102,0,15,3,5,0,9,257
56,93,67,8,64,19,246,29,16,38,21,18,619
57,107,20,15,20,12,19,11,16,14,7,21,262
58,126,8,131,68,54,64,47,52,63,102,10,725
59,44,75,21,35,10,40,58,48,76,3,28,438
60,3,5,14,14,16,17,36,11,13,4,4,137
61,125,22,168,23,41,26,42,17,50,7,44,565
62,119,19,112,29,59,27,82,31,19,20,40,557
63,107,77,112,55,0,80,81,6,0,24,1,543
64,114,36,42,9,19,36,22,116,2,10,12,418
65,79,30,7,20,85,59,30,51,10,26,38,435
66,23,11,20,16,4,0,10,42,21,1,10,158
67,20,0,31,10,17,36,7,16,21,11,28,197
68,75,3,5,15,61,19,10,42,47,29,7,313
69,108,0,0,0,0,10,137,4,0,10,9,278
70,106,25,16,126,47,12,103,15,46,17,0,513
71,40,65,13,2,64,21,26,29,5,7,3,275
72,35,16,72,17,12,13,26,27,0,10,0,228
73,41,20,26,33,34,91,39,12,0,0,0,296
74,3,24,17,5,13,43,16,21,0,1,0,143
75,62,0,22,78,21,75,15,34,10,4,3,324
76,55,13,17,0,35,0,12,8,0,13,0,153
77,86,21,175,7,32,41,41,11,10,33,0,457
78,65,23,1,17,54,21,24,22,67,10,60,364
79,36,6,37,52,65,91,45,118,0,108,3,561
80,29,21,14,2,13,55,13,14,0,15,4,180
81,33,0,23,32,44,2,47,22,2,0,25,230
82,86,79,70,33,33,47,59,13,77,9,27,533
83,294,30,7,21,9,52,7,58,20,49,2,549
84,108,12,17,5,125,30,93,7,99,8,0,504
85,41,10,36,25,47,58,73,78,11,13,5,397
86,28,30,17,33,49,12,26,18,4,31,19,267
87,91,24,1,0,4,89,78,25,3,7,2,324
88,4,28,12,7,57,20,9,42,8,12,7,206
89,50,43,51,18,47,53,20,63,23,5,28,401
90,55,19,4,20,18,17,29,38,28,2,15,245
91,118,7,80,1,39,142,44,11,97,204,30,773
92,29,36,8,9,39,4,25,70,35,8,62,325
93,340,90,157,53,29,57,33,13,47,61,24,904
94,269,24,260,52,37,51,17,87,63,48,15,923
95,148,58,91,53,48,16,75,48,0,41,16,594
96,80,10,20,23,17,15,16,18,61,4,2,266
97,96,30,17,21,17,29,28,194,263,74,3,772
