node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
49,92948,86459,49753,54265,53356,73303,43242,56040,40055,9985,16689,47955,62695,65097,95768,30960,41420,43037,57730,1020757
50,83858,33407,50432,52098,57411,31359,14452,41396,61787,44239,52003,57200,38911,13035,16687,26958,29642,32929,16679,754483
51,16272,8905,41999,37979,30770,24699,33599,38276,68000,27444,10000,50744,54772,17276,41668,59866,24731,90880,82849,760729
52,91487,49234,110140,104373,120166,73602,30000,33879,31619,60138,56457,43270,19607,33919,22127,26400,55158,32930,28153,1022659
53,58777,79053,74188,36328,51586,36566,19591,33591,64819,18911,42147,35367,26593,67785,36551,28116,50000,37897,58986,856852
54,64462,52500,51717,92094,46229,97559,10000,76568,6556,32143,54577,32832,39118,23391,48320,46452,20770,78359,37158,910805
55,84069,61747,40083,23276,47312,46247,3903,12833,21755,22399,20000,35245,41669,50484,54785,50046,14668,34992,47310,712823
56,86003,53488,31734,34358,75052,73111,40023,66631,43439,22209,29966,36111,48863,15288,85587,68916,26744,64759,26475,928757
57,84470,48796,47335,22795,81728,90521,39986,6905,53824,67714,25420,48034,69765,6660,45948,26553,98591,40000,53117,958162
58,51849,52350,17139,98754,76543,26826,30000,36731,25074,34701,39616,47604,30413,41415,16385,12729,37911,34573,44840,755453
59,18907,34943,0,47403,18253,46214,35982,16701,35554,23421,13412,40000,20127,71626,41800,37797,27283,43341,17560,590324
60,68275,64112,36495,65297,7507,64075,29558,29010,50000,58562,17162,63242,88574,32943,45315,54142,51192,46264,60022,931747
61,65144,47270,55515,63819,62628,63512,35025,68919,45865,52977,64540,41215,32655,64893,34545,59667,30006,92726,38243,1019164
62,48029,30132,43214,1415,62049,11799,37917,108798,7275,36678,10454,49728,60100,4526,48863,31373,25717,32086,85746,735899
63,22348,36299,0,55322,38045,57594,23087,68217,39407,41595,14534,64131,12757,38433,17029,68159,94402,15191,44375,750925
