node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
55,22543,56439,57646,43562,51939,39077,49199,40696,52332,46011,51970,38322,39442,36894,33688,37115,39459,736334
56,33102,20627,43266,57503,39081,50881,54590,44526,51627,48762,39886,35758,40827,38964,32171,39070,33914,704555
57,45541,39649,21756,47346,55087,47795,56640,50869,55432,45500,35723,45170,37919,35053,33237,34277,32204,719198
58,51071,51614,42675,26216,39994,49766,60587,43472,43318,42652,45404,42484,34591,34506,38460,35968,29716,712494
59,42428,47529,41259,21467,39431,52802,57848,42090,40813,41536,45751,48067,39433,39808,39085,40364,37499,717210
60,46591,49617,40087,20830,40490,42372,48384,42858,50598,42443,43561,43636,37588,33966,40244,39782,42579,705626
61,41663,49347,38812,22852,43209,41576,58413,42204,50124,48695,42361,40191,38081,34526,38356,36108,35129,701647
62,39971,49134,41652,25066,39409,43974,50262,51910,45973,34167,38782,36399,38421,37224,37206,37970,33828,681348
63,44665,40585,48912,37287,20635,35373,48788,48882,48805,40577,46288,45363,36799,31648,39067,38756,36193,688623
64,46142,50754,36782,49162,33956,19119,44037,50055,55348,44726,38377,38299,37823,37773,35106,35721,40309,693489
65,28692,45016,56497,40690,53068,36772,53750,43616,45832,44587,49128,44843,46021,37866,32710,35227,37514,731829
66,22102,37650,51843,33897,41089,30951,51040,41345,46130,44750,39736,40429,37354,34055,37632,33809,33347,657159
67,32276,16526,39887,46198,35632,48845,57457,47874,45874,38816,42074,43628,36277,34698,35011,33962,29561,664596
68,40610,34898,22799,34763,41512,39751,51445,43172,48990,37147,33565,38187,38391,30935,34178,36808,28714,635865
69,44973,48730,37137,24168,42297,49760,48165,39447,54715,39354,36302,34319,38071,37388,38382,33277,34343,680828
70,47923,52170,35934,22421,37477,47844,54516,42712,43624,41214,40368,34866,34420,34477,31285,32424,34784,668459
71,34554,39489,35282,13792,32563,42549,50519,43545,40624,42720,40790,40463,37137,36062,36181,34345,40077,640692
72,41999,46154,42167,19216,34701,34941,57963,48374,39635,39403,43339,41347,37708,39300,37473,35116,39084,677920
73,35420,42546,38298,22245,41975,40548,45345,42994,43716,40791,40244,41768,39961,38052,38239,35697,39247,667086
74,42048,38949,47676,30924,20005,35174,42631,45925,50951,41500,40629,44022,37126,39863,36754,35771,34773,664721
75,43638,47554,42099,43028,33862,20705,41485,43922,44875,48498,43637,39491,33936,38677,32214,33099,32015,662735
76,26401,42644,47847,40031,44982,29934,52063,44645,46632,43295,43020,40877,31839,34750,35734,37102,34648,676444
