node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
80,53,64,130,127,82,131,100,18,65,29,16,268,243,61,50,59,10,1506
81,43,82,74,64,69,25,68,46,17,38,270,47,68,6,1,25,28,971
82,66,84,71,38,37,20,44,13,70,74,10,11,61,34,45,63,146,887
83,58,25,92,21,57,81,236,250,74,26,26,39,57,41,15,27,37,1162
84,21,34,19,359,41,88,41,24,10,37,38,31,115,52,70,97,90,1167
85,25,23,6,163,71,122,87,63,50,54,7,4,81,120,185,96,44,1201
86,20,66,38,44,65,60,123,83,29,20,24,231,136,13,57,2,33,1044
87,315,105,262,118,43,22,64,49,123,379,62,50,43,84,115,64,110,2008
88,25,52,67,187,245,326,151,13,21,42,36,55,3,137,32,80,77,1549
89,29,74,45,60,56,162,89,79,65,0,70,0,28,31,12,76,102,978
90,20,53,103,76,83,161,105,17,1,95,125,20,145,30,107,34,31,1206
91,30,26,56,123,35,94,148,30,40,27,153,45,117,44,15,79,43,1105
92,49,27,81,130,67,60,35,5,0,56,23,0,148,208,101,11,98,1099
93,36,51,82,161,91,81,131,35,72,5,10,52,217,22,145,109,56,1356
94,56,35,68,293,157,47,147,78,24,20,48,33,70,65,21,41,33,1236
95,20,79,37,65,56,87,28,72,102,219,20,48,619,99,12,1,53,1617
96,143,130,105,398,108,76,69,136,181,81,76,109,84,34,26,37,34,1827
97,179,69,28,26,224,75,148,93,30,13,1,237,94,86,49,63,9,1424
98,313,80,152,112,167,196,128,95,88,142,124,129,75,89,285,137,55,2367
99,104,70,144,105,71,78,300,37,23,30,63,36,74,142,140,42,89,1548
100,67,134,96,98,43,203,169,30,39,7,261,49,21,63,66,54,25,1425
101,26,56,40,45,81,99,94,76,82,28,16,27,65,82,124,0,57,998
102,161,27,64,62,72,25,171,91,91,89,109,109,53,50,376,177,68,1795
103,30,29,41,46,73,155,118,14,30,20,45,103,278,39,14,31,33,1099
104,19,69,27,60,42,24,140,89,28,157,84,44,147,27,15,41,35,1048
105,67,94,49,36,21,61,145,246,10,30,147,11,20,20,47,66,36,1106
106,157,28,19,94,73,151,38,15,68,103,29,10,55,59,149,63,15,1126
107,35,11,38,51,28,158,67,24,93,16,21,155,81,39,30,45,29,921
108,14,66,33,56,34,80,132,61,89,31,10,58,47,23,40,68,21,863
109,260,103,90,133,70,81,31,33,139,98,36,41,168,89,93,38,283,1786
110,74,144,125,112,65,79,288,51,40,19,58,11,92,16,33,52,15,1274
111,9,88,69,184,212,122,59,31,36,4,20,17,31,137,24,53,39,1135
112,45,43,58,86,111,190,98,45,25,72,0,37,85,68,20,27,48,1058
113,25,2,105,60,100,159,40,158,15,150,53,27,119,35,39,0,0,1087
114,158,30,152,65,39,107,74,28,39,11,32,52,152,48,88,45,144,1264
115,54,58,184,59,44,74,51,98,56,55,133,24,110,20,30,16,19,1085
116,82,36,64,38,20,143,184,23,46,10,10,58,62,72,31,47,32,958
117,75,77,63,176,165,91,21,11,10,40,48,94,70,199,68,60,14,1282
118,23,76,40,34,29,109,143,13,5,105,32,18,76,4,13,47,49,816
119,35,95,111,145,32,36,167,56,51,40,24,125,287,31,144,33,247,1659
120,146,73,70,147,86,108,289,73,106,64,74,110,174,82,114,62,149,1927
121,387,125,240,248,237,204,191,124,107,89,191,157,66,106,140,24,135,2771
122,241,10,50,18,31,45,50,105,103,66,44,78,73,41,44,40,80,1119
123,374,20,20,37,41,48,70,193,71,89,9,63,186,107,36,131,205,1700
124,223,104,41,81,48,46,70,51,89,184,71,105,264,34,71,193,48,1723
125,54,131,115,45,98,74,28,19,15,83,9,340,93,211,34,237,33,1619
126,225,23,255,52,30,77,70,13,77,221,58,313,95,120,46,433,79,2187
127,192,132,324,110,193,42,287,91,168,142,104,260,62,235,129,29,54,2554
128,7,20,34,16,14,42,42,24,14,43,36,95,27,51,64,9,19,557
129,184,26,33,39,33,23,38,42,178,37,35,49,150,44,22,11,175,1119
130,289,118,84,110,307,141,25,84,185,78,185,246,102,74,81,113,359,2581
131,283,106,133,89,190,154,107,85,18,119,115,72,94,78,42,80,94,1859
132,321,68,17,168,64,49,66,33,200,107,66,20,156,20,15,21,65,1456
133,98,50,51,9,41,33,44,34,74,7,167,62,12,4,46,25,14,771
134,86,87,50,81,32,17,58,17,84,74,57,59,16,23,20,4,8,773
135,86,28,72,74,54,21,40,102,67,20,65,80,19,42,62,9,24,865
136,99,65,191,73,81,71,58,215,33,37,88,128,156,141,106,41,10,1593
137,11,55,16,34,59,21,67,45,37,62,21,91,28,60,83,33,28,751
138,34,17,57,48,39,21,30,40,22,6,28,134,24,10,8,45,19,582
139,10,23,40,41,34,42,50,52,28,31,41,75,56,43,37,10,34,647
140,202,17,59,91,150,23,48,3,17,57,52,10,15,14,56,4,91,909
141,193,69,15,50,19,17,44,55,37,47,37,14,13,13,12,40,30,705
142,133,88,51,50,86,65,46,11,78,31,81,22,0,45,27,21,5,840
143,309,21,20,40,13,88,86,41,27,81,135,20,83,50,35,5,1,1055
144,240,100,230,13,4,29,18,42,45,81,129,11,78,270,41,29,6,1366
145,358,57,164,100,98,242,97,96,79,56,42,378,141,315,136,91,98,2548
146,109,23,24,26,27,46,26,78,99,256,61,60,68,71,52,62,2,1090
147,97,70,68,48,10,14,7,52,12,22,4,20,0,1,57,43,10,535
148,107,8,60,142,17,44,91,62,105,54,52,40,19,0,16,120,3,940
149,37,52,95,13,45,18,151,90,98,24,15,15,5,210,0,119,19,1006
150,25,15,46,44,57,30,34,168,53,67,105,111,54,41,51,3,130,1034
151,128,183,67,26,28,138,6,11,145,44,23,197,46,26,17,4,89,1178
152,160,77,9,31,43,54,110,22,69,77,23,131,13,14,28,2,4,867
153,120,0,13,18,21,5,15,40,0,24,4,9,22,0,12,31,0,334
154,290,142,340,35,62,150,189,253,137,113,113,371,86,147,124,96,224,2872
155,98,89,96,59,116,62,84,78,23,88,26,118,44,20,23,44,14,1082
156,49,72,26,4,46,37,29,41,55,78,115,16,71,115,20,101,3,878
157,150,33,95,21,14,61,27,100,105,36,16,23,0,3,28,63,20,795
158,34,35,22,34,23,41,66,13,15,17,6,176,8,38,22,9,15,574
159,173,56,14,102,81,52,26,84,31,106,111,200,0,12,127,29,10,1214
160,60,32,36,27,50,36,79,38,30,159,72,202,96,70,57,64,1,1109
161,24,46,31,29,44,30,19,23,7,64,36,148,10,13,24,10,0,558
162,86,44,35,16,57,44,77,18,120,44,65,45,50,12,18,10,13,754
163,248,13,31,46,39,81,29,36,6,51,24,0,25,9,27,2,0,667
164,39,20,139,11,17,15,20,19,12,24,20,21,33,36,7,0,0,433
165,327,42,58,31,59,30,25,181,177,186,176,25,32,13,0,52,0,1414
166,64,33,63,26,87,136,46,109,36,25,6,136,27,19,0,28,34,875
167,130,71,94,32,80,31,86,40,17,39,10,44,77,27,11,31,99,919
168,186,47,22,101,35,28,98,74,97,82,139,64,140,19,7,130,11,1280
169,77,23,27,44,96,91,40,50,61,33,133,51,28,113,55,38,1,961
170,99,59,20,62,65,67,112,83,29,46,34,40,12,21,0,160,11,920
171,25,68,30,40,42,13,1,15,20,10,1,59,22,35,9,0,9,399
172,13,0,63,20,10,42,32,36,103,13,72,92,20,28,67,3,10,624
173,78,15,111,53,53,29,95,30,74,81,23,17,25,26,43,9,9,771
174,196,47,56,239,87,152,46,165,74,253,46,111,61,85,118,96,235,2067
175,88,31,152,136,36,29,13,8,16,6,43,124,40,0,13,49,6,790
176,544,11,174,38,106,71,50,240,103,74,15,67,29,0,119,92,8,1741
177,497,33,83,176,48,21,90,203,20,93,140,55,105,9,20,67,37,1697
178,95,121,25,26,218,133,134,50,39,39,61,33,389,28,31,27,12,1461
179,489,111,11,37,41,55,61,65,92,111,61,179,16,115,11,18,23,1496
180,158,33,42,61,25,35,21,35,39,60,106,70,6,63,13,57,13,837
181,14,42,15,49,33,26,28,80,30,1,47,61,95,0,28,16,10,575
182,49,7,181,97,30,39,42,41,63,24,25,65,49,3,1,125,55,896
183,23,184,101,268,104,199,69,103,40,130,74,128,15,29,52,115,216,1850
184,100,3,28,27,52,19,45,91,41,44,10,59,41,26,37,53,45,721
185,124,62,43,31,7,43,23,80,39,69,21,13,65,28,20,13,12,693
186,114,34,35,30,5,32,87,68,88,24,13,36,23,10,61,33,12,705
187,397,235,46,18,72,67,226,10,98,87,70,52,36,255,44,45,337,2095
188,323,77,22,30,53,19,23,41,240,268,28,52,0,99,27,63,28,1393
189,84,28,31,45,25,84,13,78,46,76,75,2,52,25,40,37,55,796
190,1784,439,38,156,127,652,22,102,31,71,37,19,197,12,69,81,107,3944
191,375,322,115,148,124,69,108,34,66,71,26,186,58,45,252,114,51,2164
192,458,627,346,196,40,188,114,93,95,122,194,203,43,415,111,62,50,3357
193,112,18,27,27,34,28,76,93,90,39,163,64,59,42,67,60,42,1041
194,41,20,41,73,64,5,132,18,4,104,54,38,40,47,27,38,38,784
195,242,30,91,44,112,28,134,109,148,87,76,49,104,653,26,25,20,1978
196,312,33,130,48,229,55,114,70,51,35,59,19,415,62,98,419,36,2185
197,289,23,51,63,27,55,124,55,92,15,69,224,126,222,694,28,85,2242
198,275,28,36,64,73,209,43,18,110,31,12,118,132,101,60,9,22,1341
199,42,3,23,47,79,3,94,11,31,3,44,48,9,19,62,25,49,592
200,268,35,190,81,16,109,44,79,43,135,84,50,32,322,29,56,76,1649
201,535,351,323,21,94,72,120,37,79,77,123,859,522,138,69,87,31,3538
202,194,18,69,20,19,58,76,28,30,172,48,59,67,215,116,41,9,1239
203,54,42,103,65,39,51,108,128,46,41,44,82,11,2,172,69,34,1091
204,244,27,149,53,44,88,127,59,116,149,53,32,8,20,29,23,49,1270
205,110,73,35,50,107,33,63,69,48,81,36,139,37,0,101,13,78,1073
206,156,85,15,14,53,41,39,108,105,64,194,4,9,163,28,66,142,1286
207,157,56,38,14,115,56,30,108,130,37,124,12,265,32,57,21,58,1310
208,378,22,4,41,35,49,69,28,138,59,16,7,259,24,17,25,19,1190
209,267,20,201,49,62,140,23,68,7,135,7,24,172,16,64,36,3,1294
210,317,74,131,120,137,108,48,152,259,62,131,24,1142,113,35,75,57,2985
211,439,115,130,44,59,171,61,13,43,33,71,109,169,30,29,24,19,1559
212,157,39,34,20,30,104,77,43,22,58,94,5,151,39,17,20,3,913
213,228,11,89,76,151,10,44,21,63,60,22,28,13,0,3,41,19,879
214,193,31,44,57,86,18,132,14,60,61,34,84,185,0,123,10,12,1144
215,29,68,27,35,55,71,103,105,212,112,58,50,111,0,83,108,14,1241
216,142,114,12,35,49,222,17,68,205,12,155,33,214,0,20,105,182,1585
217,637,38,11,109,141,31,156,25,25,106,40,83,20,18,12,117,22,1591
218,102,31,120,53,17,16,26,139,32,27,26,0,34,23,19,3,3,671
219,87,34,21,26,17,42,19,16,28,34,20,12,21,10,12,15,0,414
220,302,18,43,11,27,114,113,97,128,26,66,52,69,65,83,15,28,1257
221,89,92,37,32,11,0,26,27,23,30,0,38,38,3,20,0,6,472
222,85,15,92,67,15,14,39,63,130,117,55,6,7,47,49,17,22,840
223,150,32,27,19,36,29,55,22,150,57,48,11,43,31,22,24,66,822
224,92,15,30,42,17,81,40,101,113,57,57,85,61,26,62,20,77,976
225,170,49,33,54,24,13,29,87,211,42,79,13,32,58,31,9,227,1161
226,77,39,12,52,51,7,75,205,17,39,51,53,10,40,35,0,119,882
227,2,18,33,38,40,48,40,35,67,33,35,69,19,11,33,7,7,535
228,80,64,134,41,25,29,56,119,103,10,45,17,24,1,66,18,0,832
229,149,17,114,23,78,106,53,130,43,74,83,165,47,10,114,5,17,1228
230,220,52,110,92,34,83,63,90,39,149,45,33,30,32,45,72,632,1821
231,296,244,82,101,84,93,8,3,20,101,44,62,46,73,24,73,1,1355
232,277,19,58,7,11,150,28,5,53,234,17,6,146,38,29,39,71,1188
233,72,18,13,70,62,61,74,48,52,57,16,76,183,34,18,122,27,1003
234,175,20,28,71,91,75,97,99,43,23,117,113,137,29,148,32,24,1322
235,32,14,13,0,138,17,128,71,76,21,14,151,88,6,196,19,15,999
236,13,27,89,21,12,20,95,49,63,132,24,130,42,8,42,20,10,797
237,27,60,59,52,1,96,29,115,26,46,21,73,9,23,3,77,41,758
238,10,137,118,58,212,21,29,172,122,46,10,38,13,34,5,10,37,1072
239,437,61,178,109,81,120,100,79,46,106,196,122,68,59,73,265,537,2637
240,146,21,45,162,119,61,136,103,141,27,123,17,16,24,25,48,151,1365
241,72,52,75,30,88,38,41,40,57,28,13,13,8,18,17,54,3,647
