node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
33,7714,9554,4056,9125,9997,25543,25305,29202,9585,5239,9638,4495,10112,9335,11082,1759,4951,14717,15705,18825,5060,32212,4037,4283,10053,291584
34,5328,10901,6584,6273,10010,9495,10840,6262,11325,4843,5902,5939,8363,5483,6757,4965,8208,7553,4483,6128,3781,7612,6705,8713,4104,176557
35,9930,8878,8643,5121,8914,12707,12959,18490,3884,9575,10742,8946,11217,9370,11603,7278,7099,9559,6110,7098,4389,8527,2046,12386,9847,225318
36,13278,9634,8453,11365,8141,16243,16115,12893,11553,18954,6286,10155,11671,13681,10198,12381,11620,7531,8190,7587,10992,5097,8103,17073,9721,276915
37,20138,8225,6810,7097,5501,11225,6436,10272,4657,6845,12285,7964,9930,12182,5560,12965,5091,5924,7661,6268,6081,2758,5828,5676,8715,202094
38,9222,18528,13850,6230,7939,8445,15617,10938,4248,7433,4747,8309,10301,12097,9755,3128,10317,9101,4253,8478,1890,9475,5606,8448,9948,218303
39,9495,13894,10761,7600,31860,18585,29274,32822,9509,19068,13925,13562,8681,14013,14922,7398,8949,7826,10408,4733,10017,11607,6598,9908,12182,337597
40,12541,20076,5237,2811,8548,16114,12919,12872,7001,5718,8577,5139,6285,9591,8303,11455,6641,12913,6080,1697,10955,5475,6138,15456,9816,228358
41,10693,45419,5167,31756,25629,22083,15274,26225,6826,22919,12224,3236,6618,8550,11703,10512,9618,14568,7858,7520,5946,7241,19322,23802,12402,373111
42,12336,11673,17046,25824,21843,20008,37731,15411,7413,16955,8572,18324,9386,10671,13791,11627,12648,10395,17567,15467,3591,13195,7957,9863,14338,363632
43,4915,11587,21786,31661,20542,7427,18905,34181,10184,20037,7036,7127,8611,21081,11392,19267,10758,13232,12854,6989,9765,5153,6829,9758,22258,353335
44,5090,15529,25285,36193,12459,15854,28865,26384,7674,2988,6702,7078,12422,6199,9295,14965,12459,12907,5419,26082,7694,6993,8401,6741,6322,326000
45,10130,14986,30462,36974,14324,11202,29949,25271,11693,7418,9061,11604,10275,6369,9480,13639,16304,20383,6820,27167,3740,5995,6172,5722,13262,358402
46,9421,16088,43366,28918,11770,32654,47204,17678,11309,17051,6179,13042,10315,8002,6091,8474,13634,17868,31615,4128,35530,3994,7233,18966,13036,433566
47,4147,7771,33331,62637,29081,33810,27457,28706,12681,27877,5306,6720,9621,8799,5721,8745,18158,16238,24935,5261,35151,9871,9372,10972,16085,458453
48,3332,19525,18586,24659,40991,40332,11064,21715,12850,30241,7632,6287,15737,16018,10942,10120,7003,18186,17798,24796,3461,34810,5996,5191,19981,427253
49,4190,10621,7101,26156,26656,28077,10835,12055,8255,9101,7550,10765,4524,11945,8639,2914,8031,19067,16771,24559,5082,34782,6067,6612,6531,316886
50,4268,7061,4634,20492,12963,19044,34845,11573,27644,13149,5486,9288,3292,12611,7644,7834,3989,8276,7947,4205,8527,10042,13949,6084,6143,270990
51,9718,10332,6295,30056,18017,23883,37981,6377,9668,17648,11185,8038,6813,6378,15606,12222,5844,8329,10855,2995,13185,11408,8292,11785,8930,311840
52,10299,3399,12851,2491,13570,7756,12437,2823,2620,2771,7169,8908,8053,6070,2134,4616,11025,5422,7692,10718,14206,7218,6382,12503,9513,192646
53,3007,8905,5523,7946,5831,13489,9490,5772,8144,7926,5579,4944,4105,4003,3861,4607,10816,6205,11607,10096,4930,5406,4955,4594,6661,168402
54,5334,6550,6679,6043,8267,14127,4469,5790,6835,22762,12907,9292,9567,10793,12880,23243,12018,5206,5372,6758,6672,9820,9709,13458,10565,245116
55,4948,5189,13001,2290,13805,7319,9188,11803,3308,6356,8262,3090,11942,8681,7855,2786,4130,16186,5579,12856,15311,12712,10234,20143,12037,229011
56,4911,10451,10872,6295,7911,5898,14517,17085,7832,5210,11119,9043,5708,8284,4881,5610,5660,13004,4771,14771,14852,8930,8518,17924,4136,228193
57,3855,8285,7280,7228,33417,15961,29919,19877,9906,20440,7490,9155,13623,12440,20047,13224,10129,7552,8330,4095,8494,2435,5366,11624,24274,314446
58,12417,12678,6978,6365,7020,7514,6914,1980,6254,4478,1951,3540,7015,7853,7344,8665,9109,6254,10727,6601,15681,15674,8213,14610,13991,209826
59,33767,9766,20565,8023,24214,18388,3499,9113,3586,14137,16453,13126,9266,9588,2609,3454,9266,7526,15801,9342,12940,14846,6200,23587,17181,316243
