node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
50,6324,14378,16722,16561,16093,9702,7425,9367,14295,27198,37418,14005,10435,13136,9090,8888,9753,18436,10216,269442
51,9074,17525,16480,18355,21013,18500,19912,14562,13049,14498,26078,39311,22619,16144,15407,16342,19754,17852,14059,350534
52,17128,10601,6400,6395,6544,5671,10954,11408,1639,7967,2295,16882,4705,4598,5056,4010,3926,5487,4218,135884
53,5601,7689,10927,5387,5765,5016,5196,6128,4078,7626,4390,16960,3479,2716,3342,2646,3915,2308,3046,106215
54,9968,13546,7146,15197,7593,11606,8861,11505,8724,9117,13231,11617,7746,7205,10009,13561,12867,12858,9608,201965
55,20782,31425,12345,11536,5536,10452,3499,5512,11226,9378,12261,5917,15166,12245,9782,8119,7517,15224,9223,217145
56,6728,14717,4609,4322,11856,16819,6538,18893,9928,3885,10300,22071,15457,9936,8985,9879,7291,12831,10768,205813
57,10011,12060,8758,16132,2488,15397,5598,7022,2582,10953,5874,21071,16389,14213,12645,8763,9809,8848,9200,197813
58,13623,10500,10343,15826,11074,14283,7764,5598,11665,3900,14282,11012,13455,7623,5127,6225,6657,12810,6151,187918
59,11643,13932,7917,5365,6260,8381,4606,9689,9593,6000,4306,10093,5261,3316,3697,4028,3188,18284,5349,140908
60,25816,10113,797,11280,1556,6042,10102,7966,12073,9493,5682,20055,8343,4763,4759,7430,5684,16257,6409,174620
61,3039,11476,2911,6402,12677,12663,7979,5712,3875,5629,3478,19335,9260,5327,4723,5856,4438,6693,5175,136648
62,2292,15764,10890,9710,9776,8226,4367,11694,7700,13463,9138,11134,2487,3097,3359,4524,3663,8390,2098,141772
63,7917,17954,10004,14823,5304,13822,8196,13575,13600,16878,10013,17316,10804,8328,7243,9627,8255,16119,9293,219071
64,9959,5150,5902,5718,4464,8204,8398,9586,6107,2189,4198,15911,9100,6811,5936,5299,4836,5317,6546,129631
65,5709,5778,4571,5714,6982,4547,6174,3612,1447,3473,3349,14619,7405,5280,4099,6184,4994,6182,2973,103092
66,5187,3854,7018,1479,3956,3210,1758,3763,828,5881,2459,12763,5457,7221,5023,3132,5552,4062,3152,85755
67,10127,10702,4746,8792,4895,5506,5792,6424,3208,5500,10441,6641,6188,7099,5188,14522,11383,8262,5741,141157
68,11142,21524,6391,13981,4127,13553,3569,7601,5106,9728,3756,21920,17357,12889,10564,7870,7627,11320,8382,198407
69,19521,15198,4494,4003,2686,3503,6389,3379,5337,4282,1241,1852,18118,9845,8295,10284,10400,11094,8773,148694
70,17148,3869,2011,2316,9112,6628,10355,5245,1000,566,4323,1707,18915,11884,7105,9063,9043,8801,6292,135383
71,9344,7222,7535,8910,9948,6510,4858,4104,5892,3443,10096,5602,17241,7244,5368,4417,4449,15552,4984,142719
72,6073,12479,5966,3899,2214,6659,598,3202,2843,6966,7728,19867,6211,4885,5713,4702,3108,10587,3118,116818
73,5115,3051,1767,5259,925,5446,5255,13195,3162,8345,8597,10205,4868,4185,2995,5263,3608,15995,3015,110251
74,740,8417,884,12433,5562,4448,4808,4915,2190,3639,3305,15403,6088,7073,6224,5212,5712,4961,7918,109932
75,974,15261,5100,8068,7190,14037,3182,8100,6713,11071,11179,14769,5643,5205,5374,5757,4613,4484,4828,141548
76,8561,14357,10149,8811,4294,5454,5181,10552,7625,7418,12991,20260,4385,4884,5749,5332,5738,11610,3168,156519
77,10021,3385,4808,6071,3712,4700,7655,4438,1521,4420,5124,20679,7376,7272,4793,5920,4087,5351,6129,117462
78,2737,3251,1716,3408,5030,1664,1056,2173,1709,4664,2417,8996,6631,3751,3931,3892,5528,4119,3449,70122
79,8515,6456,9352,4305,5624,2762,1829,4481,4248,1947,3584,12590,6097,3841,5581,3767,4645,4103,3849,97576
80,7600,7811,9118,5051,6026,5972,2860,6233,8190,9470,13682,8100,7443,6098,6588,12263,11229,10822,7359,151915
81,19071,25016,10177,13189,6192,7898,4630,7230,2536,6376,3531,3675,15915,8596,8889,9924,7257,11910,7413,179425
82,9796,16789,4001,9897,2662,7352,4204,4376,3106,5107,1972,1020,22137,11378,10484,10352,9943,15325,9222,159123
83,12733,22732,7477,5406,7356,4130,8808,3052,967,903,3762,2158,14814,13602,9150,10334,10280,9884,6761,154309
84,7552,10483,9181,6802,7579,3328,4424,2393,4715,1862,3964,4964,12197,8314,4228,4252,5722,20943,3720,126623
85,1808,11049,4258,3827,545,433,670,4769,3537,1548,10772,11584,6369,6563,2991,2998,4775,12575,3516,94587
86,4674,2712,1442,4749,513,4534,2493,7633,5967,5807,5170,15011,6315,4993,5319,2940,5327,19000,3562,108161
87,1768,22155,1626,9365,5745,5431,2538,7749,6609,9408,3724,17949,7528,4511,4343,5363,5827,7549,4555,133743
88,480,13678,3811,8478,10606,3715,2839,8936,5777,3527,13160,12067,7180,4908,3884,5310,6088,11486,4946,130876
89,6950,20047,10572,8103,3424,10454,5364,7161,13691,9620,7671,13881,6671,6772,6156,5192,7413,10569,4448,164159
90,11493,7218,4642,6261,2221,4420,877,6734,3817,3537,5962,19467,6617,5538,2477,2959,8053,3420,2997,108710
91,5084,3394,3902,6137,1382,1880,2907,4068,4176,5041,3455,14965,4228,3421,2825,4026,5141,4515,2188,82735
92,4011,3955,6608,1643,1389,1195,3642,4893,3082,4141,1745,13586,5057,3999,4208,2808,5099,4458,2727,78246
93,16005,11897,8333,6786,4363,5811,3607,3139,5575,6135,14730,7791,7121,7330,7823,14272,13306,13900,6257,164181
94,17920,6118,8544,6517,8856,4581,1481,5089,7249,8542,8896,6653,20353,12608,6663,6728,5203,13386,7203,162590
95,21259,6057,8832,2859,6414,3816,6700,3477,4601,929,1021,5303,19095,12031,8332,6667,7521,13590,9307,147811
96,13509,20019,5220,17796,6553,11272,6673,7662,2645,824,7003,2218,16633,14674,11959,11531,8762,8837,6079,179869
97,8082,24626,9179,8234,9267,7848,2919,2781,8671,1589,7142,3943,12876,6222,4839,2595,3372,20313,3687,148185
98,3383,10336,1715,3366,642,2825,2189,1795,3655,1897,5770,12941,6100,4880,3968,4770,2169,10543,3728,86672
99,3446,2672,1510,2083,511,1359,2909,2035,7170,2116,8922,18459,3454,3062,3950,2248,4739,11565,3807,86017
100,305,5391,671,4564,1665,5339,7967,2807,3322,2827,1299,13076,7073,3996,4368,6078,5501,7655,5121,89025
101,710,8096,3641,5449,2640,5839,2982,5545,5865,5191,8571,10033,3916,2378,4498,2890,3717,10765,2865,95591
102,6522,10902,7033,7059,3015,3039,5209,9276,15368,2124,6803,15984,6705,6052,3663,4898,5306,6821,3801,129580
103,9962,6227,6533,4797,3477,9049,4709,5544,3712,5982,4564,15104,5740,6342,3780,3469,4947,7223,4099,115260
104,7495,6708,4735,3998,7135,8394,3304,6521,2686,5323,2866,12855,8560,6255,6390,5771,9208,7656,5257,121117
105,3578,6934,2319,6419,6928,5937,2032,3478,2652,3228,3351,16115,5608,3331,3105,4222,2845,1684,2490,86256
106,14581,10483,3855,6791,4626,5054,2455,7319,5136,12796,14395,9848,8083,7420,7127,12568,15009,12288,8579,168413
107,19265,13935,11855,9951,3697,6232,3911,5754,7208,4229,5229,10406,17545,8740,9729,8828,9056,15845,9473,180888
108,7975,14809,7426,3876,6816,9299,4106,9395,3441,1496,505,3361,14698,10817,8597,7987,7651,11927,7937,142119
109,19175,4351,11272,7567,7983,10212,9821,1206,346,8281,1448,4865,17007,15149,12340,11550,8898,10375,8770,170616
110,8168,22372,10726,15040,6716,14385,6815,5351,7962,3494,7528,6884,13197,9845,7461,6604,7005,14072,4552,178177
111,19079,11176,5074,2813,261,3272,641,3497,4504,4410,7648,16362,6922,5921,5934,4590,5500,11297,4960,123861
112,1554,3527,511,2150,691,1295,4990,2060,6654,2967,3928,16363,4320,3533,3469,3029,5149,14935,4461,85586
113,286,3118,1487,1446,3155,5882,8956,1795,2463,1932,2644,18451,6489,6289,6712,8196,7672,8988,6729,102690
114,1007,10983,1806,3366,6736,2470,2728,5520,7204,2102,9637,10268,6317,4787,4108,6105,3842,14580,5457,109023
115,3028,8588,2613,4301,3448,5718,4687,7760,8729,3188,4320,14588,4317,3802,3562,4131,3504,11610,2395,104289
116,11124,5937,4526,8976,5789,8310,8831,3766,4657,3041,5068,12354,6796,7131,4715,4340,4353,5658,3855,119227
117,3998,6520,5589,6276,8390,7266,3348,4995,2590,4610,2878,12301,8077,5078,4750,5081,8041,5181,3266,108235
118,5118,5424,9132,10055,6135,11014,4766,7846,3133,6742,1874,13325,8417,4593,6176,4582,8790,4638,4180,125940
119,8240,7893,5646,8369,6105,5920,3558,8325,5867,5229,13676,6773,6879,5542,8042,8726,11180,9300,4776,140046
120,17062,19244,4462,8041,4938,5891,3502,3280,6411,13521,2504,13981,12723,9244,9953,7255,8715,18064,6238,175029
121,16415,7190,7114,4276,6461,9293,3113,7706,4051,1282,649,15904,23426,13169,11487,12702,10802,13038,10796,178874
122,6088,6337,8342,12726,8033,14372,3114,2611,137,2253,1294,6029,17216,11711,9396,10357,10473,8748,9472,148709
123,20869,8145,11327,9597,10584,6901,4947,7242,1841,6928,4615,8813,20018,9978,10584,7595,9019,12252,10398,181653
124,22857,8274,9586,2722,830,9872,301,5754,5168,6061,5994,12292,8358,6388,5892,5494,5721,20555,6973,149092
125,20818,2377,2054,6690,2117,4018,3105,6423,4547,2068,5105,19217,9195,6801,7021,6333,7123,18777,7783,141572
126,193,2283,411,1652,1909,1560,7635,1763,2192,1213,1880,18013,5058,6795,3703,6357,5613,9180,5545,82955
127,523,665,3575,2120,7650,2464,2047,2449,5193,1979,11180,13244,3516,2441,5841,3896,3560,9083,3741,85167
128,20230,18762,10278,9552,17818,19268,15654,20421,20965,19786,17497,18753,16734,22147,21239,34573,15094,21024,14820,354615
129,19184,10938,21041,29928,19932,25439,17758,14146,21308,19280,19023,18588,16942,21062,23607,37865,10203,15739,12082,374065
130,18349,28260,16034,19542,11812,18845,23289,17929,24177,21093,20079,18386,14722,18542,14616,21539,7200,14625,18246,347285
131,24317,25832,24256,20839,24539,15453,13393,21954,20070,17908,19886,16215,15985,16897,19448,13604,7869,15550,14378,348393
132,23912,28694,27951,19414,25364,18429,11995,30630,22615,18642,17095,17023,18185,14241,17144,17622,12696,10654,16201,368507
133,24729,26364,26398,22766,15767,24805,13682,7030,24801,15531,12126,14019,11136,15562,22603,15200,13174,15546,10270,331509
134,25003,31165,36225,26019,22615,25871,19250,27390,19193,20164,17699,18859,23752,10896,9224,7875,14750,19281,14891,390122
135,37499,31757,24830,30265,29193,29428,12445,26435,22689,21094,22687,18369,25585,12228,14886,16992,13749,17578,21393,429102
136,24818,21795,12669,19044,14063,21122,31026,26207,23333,24009,18825,19292,20433,17452,21726,22713,26767,17656,15690,398640
137,32202,21847,31110,25596,22237,19993,28038,20700,23457,18274,17397,13760,14814,22370,25454,27457,18682,23193,13573,420154
138,35922,22287,30824,13545,26162,23758,21629,27363,25184,16591,15957,16540,14193,17992,24044,19758,20316,14721,16859,403645
139,28974,28267,24426,23514,14229,19944,23307,28078,21738,18005,16084,18516,17216,21223,28844,18275,23083,13939,19704,407366
140,24430,32996,18799,22775,19316,20665,16221,21982,20124,20762,20727,22698,18718,16312,24607,24004,20047,16905,16574,398662
141,22731,28476,17012,26585,10410,16880,10565,22418,19465,16870,17254,15495,12655,9349,12300,10713,12759,10648,12092,304677
142,33128,30290,20048,21838,13400,20180,15519,18234,24339,13711,13953,14704,13215,9472,14131,14465,8049,11276,9721,319673
143,14680,18952,15325,15602,6289,8724,11225,19783,12268,10539,11059,9495,8852,5696,14481,14542,6708,9044,9237,222501
144,11893,11165,13620,5601,12583,9669,6053,17330,13473,9803,7327,8998,8099,8895,8277,10933,7619,6453,6741,184532
145,18981,15756,18844,10444,14734,8745,8508,17068,17410,12453,13170,10945,13285,8335,9620,9964,11172,7047,12328,238809
146,15193,19028,20341,10782,11833,6809,11659,6682,18762,14791,10741,12389,10072,8478,8875,10532,8675,12554,9519,227715
147,13972,19276,15685,8564,10146,13736,10001,19933,10714,10614,9035,9927,14559,4393,7148,7881,10376,8792,8291,213043
148,24205,16256,15638,14071,12205,17442,12719,27315,17638,15321,14529,14916,17599,7826,9839,13021,12223,15830,15412,294005
149,13821,14738,16472,12930,11198,15144,12240,18127,10720,7801,9442,8537,8543,8522,12834,14000,15791,7941,6936,225737
150,17234,29221,9712,16275,5823,20850,8757,24481,16756,15663,13428,10159,10411,11699,11304,15086,8863,11062,9391,266175
151,25822,18496,16259,12851,14869,8877,12626,20016,15835,14411,11501,11289,13889,10889,12822,13262,12421,11831,12038,270004
152,15761,20557,14295,14413,9032,12026,10490,21250,16064,12855,13673,10548,11626,18637,13068,14279,10592,11025,11835,262026
153,17512,18029,11557,12214,14784,10580,11003,28757,12508,12391,13528,12985,13760,6311,8766,13009,8914,11284,11908,249800
154,18181,18951,10401,14933,9984,13976,6494,17915,15627,12177,13090,12063,11205,8454,9055,8522,4677,11734,11354,228793
155,17665,19301,11267,14120,12708,11781,11829,15523,18099,10115,9389,11629,9105,8409,8784,13381,7423,9050,6741,226319
156,12862,15537,9696,12296,8786,10295,11478,11444,13869,11526,9250,8346,7781,8342,11965,12152,8053,10262,9815,203755
157,17393,14127,10542,8870,11202,10323,5188,14033,13065,9487,7575,7578,6999,6938,9209,11483,6600,7010,6446,184068
158,15819,6685,10665,7494,7872,7267,6242,26005,12510,10556,10019,9960,9588,5528,11655,9796,10215,6811,9977,194664
159,11484,14804,20311,11725,10833,10653,9045,5654,17037,14637,11029,11937,8840,8951,12326,8684,6596,13179,10741,218466
160,14306,17655,13007,11662,7674,8687,8761,26535,12353,15125,16442,10556,15647,4851,8701,6964,9212,10951,12396,231485
161,21606,18389,9465,10104,8991,7767,9904,24125,12384,10928,14860,11169,11283,9277,8079,11306,7989,10765,14659,233050
162,11430,16567,15541,15384,9302,10469,9533,16652,7438,8695,8369,7584,11000,8223,12519,12813,7507,7043,4735,200804
163,17573,20642,13203,14397,12268,14470,7199,23900,12167,9662,9894,9243,9117,13215,12376,16428,12437,10940,6539,245670
164,12260,18557,12674,13335,9330,16914,10092,23079,15483,14681,10548,13703,12145,11601,13111,12677,7840,10095,11328,249453
165,22423,21611,12364,14080,8695,10850,11227,21667,13063,11913,12716,12167,10556,13018,12915,16397,9476,10980,11889,258007
166,14871,16336,12665,8988,9661,12703,9980,18173,12369,10096,11601,12167,11289,7472,8345,11850,7246,12046,10144,218002
167,14272,13359,15088,9438,9119,11333,6734,20333,13921,11340,12791,10328,10600,6809,8682,6614,11231,11547,7780,211319
168,17575,14003,9617,9762,10341,8342,11204,16312,18000,9896,9193,8452,8355,10489,9982,11372,9257,9015,6601,207768
169,15504,11243,10093,7369,3561,5897,8841,7421,4785,2564,3809,4327,9784,4768,2521,4421,11706,12332,15255,146201
170,8738,11517,7053,6197,288,3542,5105,2391,2492,1239,3102,3496,4837,3891,1383,5809,7172,13728,9502,101482
171,13284,10950,6154,2713,1182,6393,3595,3130,2357,2535,4607,4140,2794,6005,4637,14467,15209,11720,14400,130272
172,23992,14225,7179,6708,696,776,1412,2145,1670,1080,2434,3726,4293,2665,2254,5817,11790,16439,12449,121750
173,20573,17129,9350,10070,699,2536,1922,3534,2444,1576,2062,1796,5285,1984,2808,5024,11150,15122,11870,126934
174,19639,18311,12018,10720,1757,1231,1066,4595,5354,579,3245,3078,7957,4491,1628,6322,13718,15533,12689,143931
175,6546,8787,6332,3500,383,2473,3340,1106,495,2356,3196,1580,869,7932,4238,14163,9962,17356,8405,103019
176,16791,12710,8812,3033,2912,4289,2782,2072,3713,3212,3041,1872,1907,3034,4773,13161,16738,14148,12864,131864
177,14984,9866,6083,5011,1373,2233,3078,3164,3127,2039,2309,805,840,735,4646,19116,13067,14288,11097,117861
178,23904,16594,15548,5550,4065,2886,5229,6385,2848,6094,4838,2875,2244,1100,2953,19537,13405,13395,14767,164217
179,20482,13702,10442,1935,2434,3249,4083,4101,2610,609,222,1041,961,3184,5123,20462,13503,10063,11643,129849
180,20760,17840,7508,6159,996,2092,2169,1344,2826,2672,1105,889,1442,6311,2715,8187,16939,14203,13956,130113
181,16123,12392,12640,9760,18890,7121,7015,9607,5719,10127,3654,4634,9037,4429,2168,2325,10610,12866,11261,170378
182,16783,34538,12267,11771,9643,14981,13418,21350,28965,18866,17727,21202,11100,10487,8981,12515,13543,4210,14612,296959
183,46070,22256,20665,19447,13531,5611,7430,16459,16991,26164,18477,15427,15588,8481,7875,6525,9352,11209,5410,292968
184,27263,12964,28003,20821,15981,12789,14025,9928,12189,15004,25206,15790,13105,14533,8333,10628,9027,9705,11927,287221
185,40629,23783,27763,30341,24164,18076,20370,21845,21965,19285,21154,19142,16452,19384,6252,13363,8820,15401,13861,382050
186,31104,20062,32501,36656,19340,18233,21361,10861,14960,20391,19787,20451,18732,7240,13311,11285,17486,16390,16696,366847
187,31671,17990,28291,13616,13528,11364,18243,18637,18150,20197,34578,20455,22995,12149,11326,15198,15463,12158,19375,355384
188,34359,21898,28873,28738,12050,11108,10011,24040,18966,19947,31605,28211,18281,15421,18854,14595,9903,13958,6277,367095
189,25602,17159,18292,11306,16696,10883,7912,15971,11978,18634,25795,14802,15203,21785,24855,11600,11953,13066,11937,305429
190,23138,17958,28707,16092,11312,8871,8335,7715,8798,11968,35786,27060,20085,19548,13939,15535,12838,11169,16322,315176
191,25815,18781,26540,12897,13310,6781,10530,6798,7893,11253,31484,27360,23388,14144,28358,14222,13552,9795,13592,316493
192,30253,21157,34900,15520,10312,14406,16196,12736,8524,8756,35428,23457,21515,17314,22788,23698,9672,8163,14056,348851
193,22834,19436,19290,18003,5082,5721,6212,5833,6421,9456,32268,23683,22695,6157,15936,15535,18243,7292,11291,271388
194,14835,22578,23230,15321,10688,8416,9888,7120,6809,20607,21477,20342,13865,13076,13604,21459,12642,4883,26184,287024
195,16252,7491,8699,9012,8856,6599,8814,5553,5283,18770,19950,18057,12429,6991,7469,12158,5913,3619,12356,194271
196,3457,17767,17604,16328,12637,11251,4512,8848,7998,19465,24806,14352,12256,6209,4829,20790,20814,21745,15084,260752
197,25179,8983,10696,17739,15792,9539,6419,6603,13630,13771,17303,10672,8600,10256,11687,10776,12288,13705,12295,235933
198,14930,4532,14955,7028,10672,9599,10590,6464,7505,15240,16197,9845,8580,9200,14076,11012,10837,11048,13115,205425
199,21584,10034,15641,11328,18137,10337,7255,11760,11425,8384,17199,10130,9480,9298,14600,14348,11230,10629,11973,234772
200,20442,9296,20263,15637,11907,13184,12690,8161,15841,12722,17059,10550,7783,7943,12359,13142,12523,11671,10405,243578
201,18325,9136,12843,7961,13868,6583,9794,11396,11639,14257,20121,12818,11671,14076,13424,15850,12684,11685,10146,238277
202,21717,10264,13988,17307,10996,7808,5880,11557,12000,12793,24964,25667,15423,13777,14847,13443,13180,10986,9899,266496
203,10723,6813,8769,9813,9969,7871,4294,8655,9413,8764,11848,9605,11880,13592,13567,12499,12913,13141,8073,192202
204,13995,6129,8191,7979,7179,7356,4842,6599,7325,7055,17481,10851,12649,11546,11172,9399,11637,8302,13684,183371
205,13816,4221,9823,5771,9773,3736,3534,2632,6656,8301,20267,13201,12790,11280,12910,11605,8989,9424,11457,180186
206,17394,8315,14288,7200,11424,6843,8426,8275,4275,3999,15329,11963,11507,19203,12751,11239,8923,7001,11693,200048
207,13332,6306,7593,13198,3699,4931,6021,5331,4190,2681,21346,11564,12880,5261,7072,10147,12307,4802,6418,159079
208,11869,5350,11255,11275,2719,3757,3609,4027,4485,3074,16400,11800,7974,6516,7540,10937,4324,5601,18360,150872
209,17852,7761,11461,7040,8155,5100,8092,6887,3090,15822,16559,13565,10707,6641,9323,10269,5509,6647,15287,185767
210,2898,11600,10281,11797,7372,6777,3118,9361,9400,14186,14547,12412,11818,10427,7450,19504,11033,17253,8842,200076
211,19364,9054,10424,7064,11536,8643,5491,4917,9235,8892,10013,8185,6709,10871,8986,9664,7064,9892,7170,173174
212,13851,3834,16722,4770,8187,6566,6103,4904,4199,9506,12616,7076,7266,7808,8739,9714,6879,9285,10571,158596
213,19612,8854,14484,11584,12675,8199,8267,11593,9588,7860,14290,8130,8913,5922,8737,9307,8140,9915,9872,195942
214,18216,9387,17211,12180,8247,11749,9957,8831,13055,10986,14049,9775,12687,7070,12198,8159,9134,11515,11741,216147
215,16795,8801,13182,7205,10634,6053,11738,9318,11960,15128,22925,10946,13884,11133,10935,14240,9555,10398,8132,222962
216,21826,7319,17591,17271,10958,5863,5541,10032,10730,10502,17325,16924,12683,10325,10652,12081,11344,11247,10182,230396
217,14420,6891,9504,8625,8503,4884,4419,5612,6484,8255,14025,9615,11597,10223,12675,9479,10448,9320,10660,175639
218,8480,5896,10373,4683,5851,4954,4542,4148,5266,5903,19967,12498,10467,8537,10457,11943,8230,12187,7973,162355
219,15829,5214,7317,5345,7541,4305,6255,4098,3486,5331,23531,13216,14637,9211,13470,10181,6602,8751,8739,173059
220,15753,9217,11645,8363,6254,9195,7832,4553,5669,3275,18305,10534,9377,11071,11616,15346,5427,9797,7606,180835
221,14380,7527,11756,6705,6763,6183,5503,4321,4259,3447,13006,10402,6836,8523,8861,8797,7837,7666,5979,148751
222,13873,3983,8028,9656,5065,5078,4874,4035,4937,3687,19286,10902,10531,6465,9032,11992,12492,6626,16154,166696
