node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
794,81003,97211,177285,164200,129970,50218,188084,57959,95379,127465,50178,89713,50392,94384,52586,68941,122186,59119,204509,72667,48635,76161,205605,32093,62058,38340,39166,45668,99968,192256,8398,40068,37581,36555,25715,3021716
795,65565,223809,137401,151993,165279,119073,72101,60429,207278,182394,64946,128693,68050,152369,64068,58823,340188,151574,123181,52849,98329,155677,257398,25845,30407,68902,55520,65967,97636,99903,196179,22643,49004,39532,22711,3875716
796,75512,283470,335144,121788,65445,149560,114974,419828,59864,60526,175077,64495,144294,63387,216118,206865,62652,65697,53439,182196,210963,119159,223005,25204,22669,27738,99614,96864,135692,111705,119730,281363,14175,59911,21569,4489692
797,94159,224088,85659,52847,121026,209876,71985,142919,65705,105783,87811,61715,103215,45054,176591,77211,59642,166509,65381,70520,117996,123002,98375,25461,28927,27956,31397,149702,74432,42659,41064,43609,94158,19754,68191,3074379
798,50109,262623,115458,258961,80605,62681,101430,51183,83326,89197,99931,156796,133375,140819,72239,68007,86527,47054,127169,127946,69648,87451,91721,25042,25458,27197,33768,35006,155505,51084,49240,55627,71832,173867,54699,3222581
799,36952,313400,78756,134868,161978,104539,174891,107961,234978,90489,76693,65541,206783,158854,161531,97633,75893,58738,116676,51364,80210,84602,94991,29074,27697,33781,37135,51572,122800,73869,79899,81419,112804,276427,89062,3783860
800,45160,147694,166357,71921,56604,64534,122270,73192,100178,189555,116883,162976,97461,122546,121221,164368,145007,125739,105693,98471,119281,90355,268934,31688,31441,34412,60220,59847,142966,113959,111917,131508,36481,211756,96988,3839583
801,46143,196514,92088,178391,215153,149221,65200,88746,141443,86657,207207,151506,143664,122978,169275,208423,148473,167062,149400,118878,283379,86174,299368,44463,37549,54622,62867,80245,212686,139303,162498,32060,30007,209054,112165,4692862
802,59437,333099,223015,313014,82380,218166,179258,102578,96381,187998,160307,157262,187928,166424,221571,159221,276313,222800,382420,152163,227473,158240,314111,59449,77567,82848,90350,106684,239016,229954,35310,39872,90692,246780,168420,6048501
803,129424,467852,128450,382534,154457,225872,89789,225055,167584,129480,88759,137292,197997,165044,245227,144923,404641,175494,319905,163202,274631,146831,490089,70934,100308,82524,90938,100054,334108,33197,40874,95615,106697,362279,49368,6521428
