node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
74,6536,2350,1886,2922,2543,1460,3669,1699,3034,3475,3956,33530
75,2989,6628,2102,3519,1713,2199,2340,765,3622,5370,5849,37096
76,3792,2265,2690,5878,6957,3188,1987,3687,1423,1307,1962,35136
77,5406,4363,3124,2657,5233,1937,2480,3238,3464,3997,1533,37432
78,4801,3057,2690,3605,6106,2265,2369,3918,3096,3568,1745,37220
79,6143,1997,2768,2605,2498,1927,2927,3107,2097,1504,1679,29252
80,5256,2403,290,697,247,788,499,949,1528,1748,1898,16303
81,4448,3917,2412,2707,2474,2198,1216,2651,1332,1540,1399,26294
82,5532,2560,485,1605,2913,1376,806,3281,1023,3490,1976,25047
83,1229,5478,1264,1092,2144,1707,1743,3956,2239,2933,1239,25024
84,2175,1959,291,1461,1984,332,244,1171,1616,1734,1796,14763
85,6944,2201,2734,3785,4040,1218,1607,499,538,4438,608,28612
86,4406,3505,365,635,1285,978,2827,1272,2427,1465,2298,21463
87,5897,5824,3423,3388,5215,1449,1194,1299,3833,1548,864,33934
88,2188,1867,2590,959,1129,2099,326,501,2348,1843,2480,18330
89,2213,4397,1157,2377,3204,868,2223,1671,1607,1533,3658,24908
90,5956,377,1414,408,2961,2285,802,445,1637,2836,2296,21417
91,3147,3198,5336,1433,2232,2691,1689,472,994,566,4359,26117
92,3928,675,1142,1470,1186,1641,2491,2139,1993,1448,1612,19725
93,2646,3012,3377,4005,3961,4170,2254,2205,1539,3169,1612,31950
94,4370,3265,554,634,2758,1116,1631,2726,3118,2099,0,22271
95,2247,2062,1223,1951,4612,3647,2230,1236,1571,1591,0,22370
96,4632,2407,267,595,1852,272,1136,636,1996,894,0,14687
97,6932,1258,556,1988,3577,904,1317,2975,3667,788,0,23962
