ppp,offered_traffic,avg_latency,total_cycle,throughput,total_packets,hot_rate_percent,hotspot_count,hotspot_base,topology
200,0.0200,13144.591820,112421,5.010719,563310,20,1,0,slimfly_N1682_D43
500,0.0500,25561.025706,285151,4.972453,1417900,20,1,0,slimfly_N1682_D43
1000,0.1000,33429.794785,567172,4.983356,2826420,20,1,0,slimfly_N1682_D43
