node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
1276,116060,111535,110170,124019,101491,113703,113974,112363,101860,121694,102849,99796,101371,108461,108834,100559,98771,97063,111872,92109,88966,98856,97965,101588,88674,89157,93430,97356,92401,94756,87815,91608,88070,81786,84411,88727,85472,94441,82664,87308,93927,94569,83839,4236340
1277,347655,106583,118953,119562,111795,114294,111305,122081,97539,109576,107930,109625,114245,104069,98933,107836,106900,93558,93646,99175,98062,100605,106306,95994,98303,93725,96550,90986,98885,123962,113826,94703,97358,91511,91487,97700,93368,86010,93686,89215,89503,90502,86296,4613803
1278,107010,101545,107054,119447,109713,111533,110531,111686,107056,102578,108673,103064,106634,99671,107550,103325,109617,105107,101489,97513,98860,106560,102719,97531,91971,94527,83821,93228,95841,82778,92518,89275,95384,91373,92823,86441,90214,85534,87090,86717,85003,93370,93805,4248179
1279,152695,122235,99385,115931,113094,110406,110676,114593,121467,108405,113595,114313,109094,98992,113015,103594,112626,105583,105871,103515,96182,95721,99475,92016,103079,91954,93274,98692,104865,82639,87406,87199,80025,89448,86038,82258,86437,86765,80521,79509,81950,83835,87094,4305467
1280,150241,146982,106741,122065,120110,110237,118530,117687,127735,103966,103018,112816,95763,101449,106190,103519,100989,109874,104648,93485,99304,90683,98156,97341,94207,94006,96549,95099,101718,96674,81417,87285,80363,87925,86080,89483,86918,85028,83318,87504,80183,82960,84972,4323218
1281,99279,110061,111262,107895,119999,120469,106922,120098,117630,118177,108955,108766,101717,109099,110998,101994,106604,98746,94944,97629,97496,90612,95339,95715,95341,90967,97469,96658,91911,91136,80401,90663,81832,88449,85331,79838,85227,89823,78082,80980,80738,83358,82259,4200869
1282,105617,125812,120586,109623,124071,120710,115802,119966,111949,113738,112286,100365,112170,109100,108011,102824,102401,97271,96931,98246,95168,102919,97039,96898,92669,84369,93032,90624,97345,84953,80490,84114,78680,91206,85644,89174,81636,82290,82652,87850,84399,88065,82889,4241584
1283,103091,109150,105102,110252,119448,122765,111675,125810,121733,119082,104186,107080,109985,105792,111155,105339,104998,106851,107646,101675,109099,101374,99454,101888,103919,97339,101047,90982,92087,90187,81574,85527,83098,90420,85975,80407,81010,78554,77610,84183,80829,79772,82312,4271462
1284,94818,112405,90567,129210,111892,119450,113732,124830,122636,117521,115708,114029,107481,92781,112102,105045,103431,99596,96965,93659,97922,95761,98204,96123,93962,86155,91715,89065,100574,83191,83108,81341,88327,78683,83733,84831,79747,76409,82364,85353,80919,85272,78269,4178886
1285,99721,128549,107459,105021,128299,120309,101099,114029,111697,108743,111107,108626,109269,113103,107630,102881,100929,93254,102136,89915,100094,89926,100000,88014,94679,89430,90204,81444,91101,90020,85682,81525,90349,77868,86047,90225,81755,82286,88586,90578,85509,86353,81461,4186912
1286,104969,111844,104465,122866,125701,114076,106689,114828,120242,112600,112852,114750,106715,103567,101709,107952,111699,97955,103572,98688,104418,92693,91036,94590,98574,90692,95160,97722,95634,78025,79373,90024,82393,78032,80487,87991,83429,78718,82317,87306,81461,79279,81041,4208134
1287,97960,129536,111044,111927,124373,124942,108928,125136,120984,110411,112964,109806,104815,101253,101474,106340,100979,93473,107963,102612,103956,93075,93676,99686,92527,93935,89107,92722,88370,79996,88521,86811,81704,80528,88144,81419,78661,80980,81353,79549,82121,85571,83707,4213039
1288,101734,124310,105639,98887,106930,126332,117248,126054,113029,124158,110847,111831,114235,106740,108084,108673,109732,99519,92366,104618,99630,96723,93088,87135,90195,91810,84139,97281,85490,79481,92368,78494,83779,73389,79739,78925,82723,78217,80490,80914,83538,82927,73297,4164738
1289,108838,132775,108530,122477,122637,134531,105741,123845,117898,113261,120646,113652,119136,104320,111302,92735,106263,114466,99758,105690,100690,103498,97574,87319,95944,92114,95894,95660,86007,93892,80697,80522,82290,84465,73526,84994,80142,85641,80226,84896,82774,85843,84879,4297988
1290,114622,117588,118266,130797,99433,119762,113715,121546,124887,108676,123851,109866,101055,98269,99061,111187,90052,107745,106014,101908,98689,102486,93248,96282,93594,95103,90959,98431,86643,79804,81799,73629,76792,84796,73820,73199,85440,71729,82149,78953,77416,76567,81129,4170957
