node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
255,49,46,44,28,8,28,11,41,23,32,23,27,0,22,5,22,96,20,33,25,7,4,10,58,26,688
256,64,29,87,25,43,40,72,33,10,10,14,30,30,10,23,0,3,25,0,14,8,17,5,12,117,721
257,39,42,47,59,77,37,45,44,0,0,10,0,21,4,33,109,0,0,54,13,0,24,53,0,3,714
258,27,23,25,34,52,45,40,22,10,23,10,14,17,4,27,7,15,27,43,4,11,36,31,124,10,681
259,6,5,27,12,37,67,24,21,24,33,5,24,10,0,106,17,0,43,30,26,59,30,30,13,20,669
260,51,24,26,5,39,26,46,7,20,13,0,20,0,10,23,12,6,26,20,50,8,11,168,10,37,658
261,39,31,0,27,32,11,27,8,20,10,15,25,0,83,3,33,31,23,43,15,10,10,3,20,35,554
262,18,55,33,4,45,31,23,28,30,0,10,20,24,3,10,17,22,9,15,23,16,79,27,48,57,647
263,22,10,19,27,17,21,37,42,15,33,30,0,71,0,20,37,24,15,24,6,30,13,16,0,28,557
264,25,37,19,29,49,37,45,29,0,23,0,22,3,10,10,33,10,15,9,35,67,0,3,36,6,552
265,19,13,14,15,2,2,31,15,30,37,20,98,14,12,8,10,20,33,25,5,13,47,0,34,10,527
266,12,26,28,19,37,10,27,18,10,17,30,13,0,43,10,10,21,4,12,81,20,17,28,11,14,518
267,2,6,17,38,8,0,10,16,22,13,100,30,16,21,20,31,17,26,12,13,10,10,32,10,0,480
268,5,23,27,5,7,3,36,26,10,11,13,28,0,7,10,15,12,19,65,30,25,3,14,39,8,441
269,10,39,13,24,13,33,33,16,25,123,22,0,10,10,4,0,0,10,3,19,7,32,16,11,6,479
270,21,13,6,12,16,22,13,20,0,98,4,16,26,35,13,6,13,79,11,29,17,4,18,4,20,516
271,36,15,18,38,32,20,11,15,98,14,11,32,10,5,10,39,0,13,20,4,19,10,27,25,5,527
272,66,43,27,34,31,60,48,24,3,13,10,48,10,15,30,8,11,12,15,58,22,27,0,9,82,706
273,53,35,59,47,14,43,38,33,20,41,13,41,10,24,4,10,10,16,37,6,11,23,20,140,3,751
274,49,34,50,39,71,24,44,26,10,3,33,7,25,27,0,10,0,6,33,30,9,0,144,13,20,707
275,30,20,22,38,29,45,51,24,10,14,20,0,14,5,4,6,35,46,14,7,16,91,3,0,20,564
276,22,47,33,39,55,7,24,29,0,13,0,0,0,10,4,10,14,16,30,15,121,23,20,0,24,556
277,27,53,13,49,43,34,33,50,0,6,10,0,10,5,0,21,30,34,55,124,33,0,39,11,38,718
278,9,16,15,20,34,17,25,27,10,23,0,0,14,2,30,17,20,18,130,33,0,10,20,72,44,606
279,13,3,23,34,11,41,10,21,20,7,3,0,10,12,17,28,20,136,13,0,10,18,21,10,7,488
280,18,24,6,36,22,12,28,46,22,15,10,10,0,12,19,70,68,3,20,23,13,25,29,60,10,601
281,5,51,31,27,4,26,16,53,16,18,10,10,20,5,30,112,3,10,50,16,56,52,51,10,10,692
282,9,31,29,23,4,36,4,22,0,13,35,13,12,11,106,3,20,38,31,34,39,32,36,20,8,609
283,21,4,11,19,42,50,38,36,20,13,10,24,40,57,3,5,21,14,20,23,35,3,20,20,36,585
284,11,10,15,18,17,1,51,19,40,40,10,20,94,23,0,39,20,27,44,43,8,5,38,13,17,623
285,0,24,2,4,2,2,32,20,25,3,30,74,13,10,11,37,26,41,24,31,0,26,13,35,39,524
286,14,16,35,2,13,16,34,35,25,13,110,13,10,3,46,39,15,6,19,16,23,23,15,13,0,554
287,1,17,5,14,19,14,29,29,19,37,23,20,11,19,25,18,26,22,10,13,27,15,17,20,6,456
288,0,20,17,20,10,30,0,10,102,78,20,9,13,0,17,30,38,12,30,13,30,32,15,5,2,553
289,157,16,10,0,20,20,0,0,0,20,10,26,0,20,0,0,28,30,20,0,0,10,0,38,0,425
290,52,13,20,0,10,10,10,10,10,20,20,10,0,0,40,6,0,20,19,10,0,0,0,10,20,310
291,4,20,10,28,25,0,20,16,10,0,10,16,38,41,10,24,10,23,6,3,10,2,0,0,67,393
292,34,18,10,13,10,18,0,10,25,16,10,2,10,41,0,10,10,13,20,9,0,0,0,0,10,289
293,13,0,18,8,27,13,10,20,1,0,10,30,20,31,10,4,20,1,12,0,10,20,18,15,50,361
294,27,7,6,39,4,13,10,4,10,0,10,30,0,0,14,36,20,3,20,14,20,0,12,16,89,404
295,67,18,4,4,19,30,33,0,10,24,11,19,10,5,10,20,10,3,11,10,0,13,18,10,60,419
296,54,29,25,16,10,11,9,26,17,20,0,4,22,15,4,6,10,3,0,35,25,10,5,0,1,357
297,72,10,3,12,15,10,51,28,43,8,34,0,9,10,0,9,0,0,28,6,3,11,10,21,0,393
298,24,0,4,26,0,28,0,20,14,19,30,10,10,43,0,23,0,20,15,0,13,6,0,11,83,399
299,40,22,17,3,57,4,13,50,30,18,3,30,0,0,30,10,10,23,10,34,0,0,25,14,70,513
300,35,17,3,14,21,22,29,17,0,18,34,3,40,23,16,10,21,3,0,10,10,2,37,23,135,543
301,94,20,18,18,7,33,2,10,29,2,42,27,34,37,46,3,0,3,10,12,5,19,0,10,6,487
302,11,31,28,35,29,4,11,20,6,8,25,27,15,3,36,20,27,10,10,0,4,17,0,19,65,461
303,113,13,19,25,38,12,7,0,20,0,32,22,7,33,13,6,20,3,19,4,4,0,0,14,0,424
304,72,52,17,13,27,28,7,12,22,35,10,0,2,7,25,3,39,0,16,10,4,0,4,10,21,436
305,1689,24,54,25,26,14,30,26,22,23,46,16,40,10,25,26,13,10,20,20,29,6,0,13,13,2220
306,1785,13,0,10,26,11,0,19,2,7,20,10,17,10,10,10,22,13,10,13,13,0,15,6,6,2048
307,42,0,19,4,0,3,3,27,4,22,31,52,0,32,0,18,18,4,3,0,20,1,8,0,0,311
308,3,11,10,14,24,5,36,10,26,4,9,20,3,34,0,7,16,13,13,18,11,6,37,3,46,379
309,71,8,0,15,10,0,12,0,0,17,0,14,20,20,15,14,13,69,5,18,10,10,8,20,5,374
310,3,14,5,15,3,6,10,35,4,20,20,30,0,3,14,21,39,6,13,21,18,30,28,24,68,450
311,11,33,32,22,13,0,0,6,10,20,10,17,26,17,21,36,10,73,17,23,13,3,26,0,126,565
312,13,17,36,37,10,0,3,16,20,11,17,24,12,60,0,10,10,70,5,0,19,4,12,20,68,494
313,77,6,23,0,20,0,3,10,0,10,27,38,3,10,10,10,0,90,0,0,0,12,30,7,11,397
314,19,7,9,19,11,11,14,43,3,28,5,10,21,20,1,23,13,26,16,20,22,51,2,12,33,439
315,42,18,24,34,6,7,13,35,10,9,59,11,20,23,32,20,25,17,17,6,25,52,44,0,72,621
316,23,27,12,10,20,17,0,43,8,15,32,16,12,0,20,10,42,57,10,0,20,0,15,15,92,516
317,27,45,11,5,15,0,40,34,28,61,18,17,9,7,30,15,18,57,14,28,3,21,7,20,56,586
