node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
92,144401,54548,158051,125378,44117,113587,25273,76799,73000,43829,113613,45103,109825,166114,46669,97074,96737,89383,122655,66533,139364,81805,94740,127383,46706,129641,89853,90170,80800,64042,90031,36449,77448,69335,68820,111561,39048,116033,160788,83513,116655,169311,40252,3936437
93,151225,170287,85260,203063,65013,96919,242197,70790,134780,162383,200451,149724,69275,76916,102129,47547,19985,123402,77097,123120,76050,141664,184120,59343,52496,217976,140332,137729,104859,35821,79638,64479,109748,119963,43110,147141,87329,90235,54696,170277,63139,63271,112515,4727494
94,163616,419531,299708,205442,143367,98869,248681,294614,432742,329376,422058,320602,99822,168977,210502,135893,155617,102092,48524,74791,150951,101851,64699,89783,57248,116064,79094,163154,119194,228562,318760,136122,179965,136965,68684,111738,127706,166994,134144,51946,244738,247552,265221,7735959
95,150628,204311,196422,110016,59785,81944,87156,139218,137812,86798,104991,146599,95643,121805,79690,24238,63989,117641,84462,53446,79292,128438,100293,162997,95821,95502,79924,209298,46353,61459,78638,88521,187835,132319,74403,183188,20639,145014,194739,60112,39280,93682,60564,4564905
96,115345,195678,218917,150679,118570,226638,238936,232969,197330,167889,189017,317324,129481,184203,244920,116351,69053,143613,130607,57598,141397,168902,140854,137259,32205,67902,161069,188513,205469,137702,143127,107233,143570,111459,114430,126637,175275,173820,142965,97537,241086,112156,141514,6657199
97,270866,101917,212164,53961,86352,186334,247548,134307,168867,152570,94977,245273,95661,133167,224002,81591,154920,47943,151785,160367,111341,130597,137614,72162,122279,36594,144689,75019,177931,94655,154345,159681,175413,201629,106508,37611,148519,137795,147605,108896,103035,154478,155889,5898857
98,135191,87629,120599,75928,140192,249737,110943,78337,87530,173596,210423,115856,27873,65490,254562,35119,116409,119042,128346,165993,36648,162146,67875,165194,184055,100656,30030,56854,141903,100794,121678,82316,154178,92948,73950,91409,78278,57461,117664,151468,80481,56915,99383,4803079
99,152953,34273,99603,110414,170125,61166,75930,74447,98342,161026,96471,133909,84895,63594,82187,68204,62397,51037,89287,132741,38214,91960,111934,143017,136875,30437,104076,99218,183832,156927,58279,57221,82846,92711,162356,96529,65500,115104,120114,59433,139754,124538,38138,4212014
100,127134,125773,96633,287545,82117,171934,142011,174653,131282,224455,251256,150554,196846,98141,301382,77745,70296,77527,41408,105332,40880,99746,127194,181602,137731,56755,113305,117624,124741,113309,67892,313617,182445,268516,162965,89892,23400,129927,175811,162933,77462,163559,282215,6147545
101,131736,17181,170410,131313,172205,67171,151343,111257,199405,117835,162672,164002,83870,22289,363480,72142,62265,120589,114996,122099,146784,107614,166876,97938,175235,156573,123884,34066,79531,77015,111383,83734,96032,191224,171441,143107,103124,76904,134420,136871,85534,152835,127478,5337863
102,118576,75905,89103,154998,94361,95679,97501,82079,158163,107942,132504,80761,101077,69049,22878,83269,57295,54062,60810,94669,127944,42387,125817,109559,144337,108574,98698,74396,99543,231900,210941,155608,23787,275558,74318,144578,141409,45062,176607,155222,18199,191840,122552,4729517
103,140882,152325,210927,87174,181071,88478,127453,74902,120142,130748,149867,83479,76329,203887,258883,76162,73030,131392,75096,124415,55340,73828,98306,118414,82548,111394,89615,159077,76792,150720,167200,76577,188643,147530,213942,137262,242541,69532,166126,191243,265531,117742,98902,5665447
