node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
1506,43000,50000,167000,46000,93000,83000,75000,44000,79000,64000,46000,79000,76000,65000,44000,72000,57000,48000,44000,52000,73000,62000,51000,91000,48000,54000,58000,48000,47000,89000,111000,85000,85000,96000,74000,96000,98000,91000,44000,92000,46000,44000,96000,3006000
1507,498000,347000,268000,44000,201000,48000,49000,44000,62000,92000,102000,58000,209000,47000,90000,105000,51000,47000,43000,49000,104000,46000,61000,68000,74000,44000,54000,58000,46000,51000,118000,141000,54000,108000,51000,114000,48000,45000,57000,85000,60000,58000,104000,4103000
1508,64000,305000,49000,43000,146000,47000,44000,53000,80000,44000,75000,73000,75000,81000,57000,47000,72000,107000,89000,44000,48000,64000,76000,87000,101000,46000,62000,48000,46000,60000,127000,137000,95000,59000,124000,104000,54000,52000,84000,106000,116000,58000,111000,3460000
1509,748000,48000,47000,397000,555000,348000,44000,49000,164000,189000,94000,91000,46000,127000,51000,46000,52000,78000,48000,43000,59000,47000,44000,52000,97000,44000,58000,61000,63000,97000,54000,69000,58000,102000,59000,51000,95000,69000,169000,62000,58000,76000,162000,4971000
1510,356000,48000,46000,53000,116000,52000,43000,76000,47000,44000,62000,68000,44000,68000,70000,69000,69000,48000,47000,82000,97000,61000,44000,52000,89000,54000,54000,54000,46000,82000,56000,101000,83000,118000,53000,105000,86000,49000,104000,73000,104000,97000,101000,3271000
1511,651000,436000,342000,304000,50000,48000,177000,257000,137000,44000,56000,92000,108000,98000,95000,46000,73000,48000,46000,58000,60000,48000,43000,73000,48000,44000,49000,56000,44000,67000,149000,87000,54000,72000,54000,81000,49000,47000,78000,62000,140000,57000,59000,4687000
1512,294000,193000,46000,110000,51000,46000,50000,71000,48000,43000,71000,47000,44000,51000,65000,44000,63000,62000,63000,66000,58000,47000,67000,86000,75000,44000,48000,55000,67000,93000,77000,51000,89000,111000,92000,46000,78000,67000,87000,84000,70000,71000,63000,3154000
1513,57000,417000,44000,267000,186000,205000,140000,49000,47000,143000,239000,88000,44000,50000,102000,165000,65000,69000,46000,102000,54000,46000,53000,69000,48000,43000,54000,47000,44000,59000,137000,75000,143000,54000,46000,74000,47000,142000,61000,55000,148000,54000,49000,4127000
1514,53000,192000,112000,91000,77000,46000,61000,48000,46000,55000,61000,48000,43000,59000,47000,45000,50000,59000,44000,59000,66000,61000,60000,48000,47000,64000,78000,54000,44000,96000,91000,87000,82000,81000,63000,44000,57000,59000,84000,84000,99000,59000,66000,2870000
1515,494000,51000,44000,54000,191000,44000,179000,106000,93000,104000,51000,47000,82000,122000,91000,44000,48000,72000,77000,88000,111000,46000,65000,48000,46000,62000,53000,48000,43000,53000,127000,60000,109000,47000,46000,63000,140000,131000,55000,55000,108000,50000,125000,3773000
1516,1257000,664000,44000,50000,282000,291000,288000,155000,46000,163000,51000,46000,52000,95000,48000,43000,66000,47000,44000,51000,117000,44000,60000,73000,65000,111000,48000,47000,67000,63000,88000,48000,136000,56000,82000,61000,149000,60000,53000,106000,80000,48000,70000,5515000
1517,416000,49000,43000,171000,47000,44000,58000,94000,44000,82000,82000,102000,76000,50000,47000,100000,167000,65000,44000,51000,103000,58000,58000,60000,46000,87000,47000,46000,52000,123000,46000,99000,59000,128000,46000,113000,56000,109000,101000,49000,49000,101000,114000,3582000
1518,49000,47000,449000,633000,276000,44000,54000,142000,135000,143000,126000,46000,91000,48000,46000,58000,155000,48000,43000,92000,48000,45000,50000,63000,44000,80000,53000,52000,58000,66000,56000,66000,184000,94000,50000,64000,55000,111000,55000,48000,82000,63000,181000,4393000
1519,50000,46000,50000,156000,48000,43000,95000,47000,44000,51000,70000,44000,68000,67000,72000,76000,57000,47000,74000,99000,84000,44000,48000,60000,68000,76000,116000,46000,61000,91000,106000,121000,110000,103000,50000,113000,121000,106000,50000,103000,87000,47000,112000,3227000
1520,614000,533000,439000,48000,47000,257000,391000,136000,44000,49000,134000,181000,77000,82000,46000,122000,51000,46000,52000,77000,48000,43000,57000,47000,44000,51000,95000,44000,56000,65000,155000,55000,49000,61000,108000,75000,45000,62000,54000,78000,50000,46000,75000,4889000
1521,307000,46000,160000,48000,46000,53000,80000,52000,43000,65000,47000,45000,50000,65000,44000,65000,67000,64000,64000,48000,47000,81000,93000,58000,44000,51000,101000,52000,55000,99000,90000,99000,79000,64000,64000,45000,79000,98000,96000,48000,83000,80000,111000,3176000
1522,554000,44000,376000,233000,204000,196000,50000,50000,122000,164000,119000,44000,60000,78000,86000,93000,93000,46000,70000,48000,46000,62000,58000,48000,43000,66000,49000,44000,49000,68000,51000,142000,52000,45000,61000,150000,68000,46000,60000,51000,69000,50000,133000,4241000
1523,256000,170000,119000,95000,46000,66000,50000,46000,50000,60000,48000,43000,67000,47000,44000,51000,62000,44000,63000,61000,62000,62000,48000,47000,61000,80000,73000,44000,48000,77000,84000,84000,87000,64000,66000,88000,73000,46000,64000,86000,66000,46000,74000,3018000
1524,47000,44000,60000,238000,44000,171000,136000,151000,91000,50000,47000,111000,200000,77000,44000,50000,96000,158000,64000,67000,46000,107000,56000,46000,51000,64000,49000,43000,53000,141000,55000,51000,137000,45000,133000,53000,124000,63000,143000,48000,46000,65000,144000,3709000
1525,204000,44000,54000,94000,70000,60000,60000,46000,57000,48000,46000,57000,57000,48000,43000,57000,47000,45000,50000,57000,44000,57000,57000,57000,57000,48000,47000,57000,71000,64000,67000,82000,71000,82000,68000,74000,78000,91000,67000,61000,61000,69000,76000,2750000
1526,48000,43000,255000,53000,44000,52000,128000,44000,87000,82000,78000,90000,52000,47000,77000,118000,86000,44000,48000,70000,79000,92000,111000,46000,60000,48000,46000,64000,52000,60000,137000,139000,51000,46000,107000,129000,95000,50000,101000,55000,123000,47000,135000,3419000
1527,47000,618000,789000,458000,44000,50000,218000,254000,239000,114000,46000,143000,54000,46000,52000,89000,48000,43000,61000,47000,44000,52000,114000,44000,58000,63000,67000,104000,48000,58000,126000,55000,52000,84000,63000,170000,56000,54000,75000,45000,98000,49000,69000,5108000
1528,46000,52000,205000,50000,43000,104000,47000,44000,58000,76000,44000,74000,75000,93000,71000,50000,47000,92000,101000,63000,44000,52000,104000,56000,56000,56000,46000,86000,47000,117000,52000,119000,108000,46000,123000,96000,81000,125000,44000,74000,53000,125000,118000,3263000
1529,648000,530000,49000,47000,277000,396000,189000,44000,55000,106000,120000,113000,112000,46000,79000,48000,46000,58000,167000,48000,43000,84000,49000,44000,49000,58000,44000,78000,52000,66000,53000,79000,52000,45000,78000,56000,130000,62000,55000,60000,151000,72000,48000,4686000
1530,46000,243000,51000,46000,50000,94000,48000,43000,76000,47000,44000,51000,68000,44000,65000,64000,67000,71000,57000,47000,70000,91000,81000,44000,48000,57000,66000,74000,51000,112000,119000,48000,105000,88000,111000,79000,69000,106000,98000,93000,72000,49000,83000,3136000
1531,44000,472000,327000,312000,222000,48000,47000,182000,276000,104000,44000,50000,115000,165000,72000,73000,46000,111000,51000,46000,53000,76000,49000,43000,55000,47000,44000,51000,106000,57000,49000,74000,48000,147000,59000,59000,158000,52000,45000,58000,126000,71000,45000,4379000
1532,267000,176000,120000,46000,89000,48000,46000,54000,68000,48000,43000,63000,48000,45000,50000,61000,44000,62000,68000,63000,62000,48000,47000,70000,83000,56000,44000,51000,95000,100000,82000,45000,86000,79000,66000,94000,83000,77000,58000,79000,65000,45000,81000,3105000
1533,44000,53000,311000,44000,254000,147000,139000,139000,51000,50000,95000,141000,113000,44000,48000,77000,79000,89000,97000,46000,73000,48000,46000,62000,56000,48000,43000,64000,49000,52000,47000,66000,158000,115000,63000,52000,131000,45000,44000,55000,148000,64000,141000,3731000
1534,44000,50000,138000,87000,75000,66000,46000,58000,50000,46000,51000,58000,48000,43000,58000,47000,44000,51000,58000,44000,58000,58000,58000,59000,48000,47000,58000,73000,83000,78000,88000,77000,90000,80000,59000,87000,77000,94000,58000,52000,86000,81000,83000,2794000
1535,43000,346000,49000,44000,62000,150000,44000,114000,95000,117000,82000,51000,47000,105000,179000,69000,44000,50000,101000,154000,61000,63000,46000,96000,47000,46000,52000,62000,49000,65000,133000,46000,143000,57000,103000,144000,52000,47000,112000,44000,120000,50000,92000,3676000
1536,733000,958000,394000,44000,55000,213000,197000,194000,146000,46000,111000,48000,46000,57000,158000,48000,43000,93000,47000,45000,50000,72000,44000,84000,134000,55000,59000,48000,47000,126000,50000,69000,56000,122000,59000,51000,80000,70000,46000,66000,58000,74000,50000,5246000
1537,64000,48000,46000,124000,48000,88000,71000,68000,46000,65000,63000,44000,62000,61000,61000,51000,62000,45000,48000,47000,44000,68000,64000,43000,81000,48000,67000,61000,47000,105000,111000,93000,83000,105000,98000,92000,82000,81000,51000,57000,95000,76000,83000,2947000
1538,335000,47000,174000,132000,106000,46000,97000,71000,44000,79000,70000,76000,49000,67000,44000,51000,47000,44000,67000,66000,43000,94000,48000,124000,55000,47000,52000,48000,46000,118000,103000,54000,98000,100000,99000,84000,73000,47000,55000,53000,87000,80000,52000,3372000
1539,398000,261000,46000,151000,123000,44000,99000,78000,77000,54000,69000,45000,60000,47000,44000,82000,70000,43000,103000,48000,66000,68000,47000,57000,48000,46000,59000,48000,63000,55000,123000,91000,59000,112000,104000,112000,80000,84000,53000,50000,60000,87000,48000,3562000
1540,467000,300000,44000,187000,138000,133000,61000,89000,44000,52000,48000,44000,121000,76000,43000,124000,48000,132000,148000,47000,51000,48000,46000,118000,47000,54000,62000,59000,46000,51000,55000,111000,86000,57000,125000,114000,98000,99000,47000,49000,59000,60000,112000,4000000
1541,525000,350000,262000,54000,160000,44000,55000,47000,44000,117000,97000,43000,202000,48000,82000,85000,47000,57000,57000,46000,67000,48000,64000,93000,138000,46000,60000,54000,44000,53000,58000,109000,125000,71000,130000,101000,100000,46000,50000,56000,57000,76000,111000,4179000
1542,55000,467000,44000,52000,48000,44000,212000,136000,43000,220000,49000,153000,162000,47000,51000,48000,46000,127000,51000,61000,63000,66000,46000,76000,109000,44000,54000,55000,67000,56000,69000,176000,129000,66000,132000,129000,127000,47000,51000,55000,76000,82000,152000,4043000
1543,53000,53000,44000,331000,256000,43000,420000,52000,142000,137000,47000,57000,49000,46000,80000,48000,77000,102000,134000,46000,65000,64000,44000,84000,92000,54000,49000,55000,44000,60000,76000,167000,51000,91000,156000,145000,44000,48000,56000,70000,89000,117000,157000,4095000
1544,748000,596000,43000,618000,49000,286000,218000,50000,50000,48000,46000,147000,49000,180000,76000,82000,46000,86000,94000,44000,62000,62000,71000,51000,88000,44000,48000,47000,44000,70000,111000,49000,57000,111000,131000,44000,53000,54000,60000,81000,117000,120000,45000,5176000
1545,1336000,50000,398000,333000,47000,54000,49000,46000,135000,48000,119000,137000,135000,46000,77000,74000,44000,88000,96000,156000,49000,64000,44000,50000,48000,44000,54000,54000,43000,48000,101000,121000,56000,56000,132000,44000,49000,49000,56000,80000,121000,109000,153000,5093000
1546,239000,48000,51000,48000,46000,80000,48000,71000,60000,59000,46000,62000,60000,44000,59000,59000,60000,51000,63000,45000,48000,47000,44000,62000,60000,43000,76000,48000,67000,91000,63000,90000,81000,93000,81000,61000,79000,96000,76000,86000,67000,72000,45000,2875000
1547,48000,46000,185000,47000,94000,87000,76000,46000,64000,64000,44000,69000,64000,66000,49000,65000,44000,50000,47000,44000,66000,64000,43000,86000,48000,117000,53000,47000,52000,51000,100000,101000,96000,103000,89000,45000,84000,101000,91000,95000,68000,73000,46000,3018000
1548,49000,271000,200000,136000,46000,95000,82000,44000,85000,69000,67000,50000,66000,45000,48000,47000,44000,79000,74000,43000,92000,48000,63000,67000,47000,57000,48000,46000,58000,52000,51000,104000,95000,47000,96000,108000,52000,109000,101000,108000,71000,82000,44000,3286000
