node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
55,12517,11000,12699,11824,6862,7506,11790,4385,2723,3127,4573,8518,7491,11051,4916,6515,4072,131569
56,17697,7950,6623,5502,9841,9038,6196,8826,11540,6869,10150,6732,9138,5289,5882,9189,8916,145378
57,9406,10702,9637,6980,4486,10101,4914,3955,5911,7558,5399,7299,10243,4720,5321,902,4921,112455
58,8241,6997,7125,10046,15495,12524,12626,2187,2979,1579,9103,5831,7389,3610,13495,6065,11108,136400
59,9892,7837,11042,11749,8874,7176,9382,6717,7070,11040,2441,5479,5828,7400,5636,5700,7209,130472
60,7284,7701,14744,13977,12143,7924,11713,9323,4610,7895,8895,11214,10216,4550,4852,8458,1890,147389
61,7468,8958,14044,5276,6843,6072,18946,4300,12959,10073,3133,9901,8957,996,7052,7947,398,133323
62,8349,7606,11826,7983,7120,7085,9361,5778,3682,10475,10074,3250,6395,8704,3267,8297,7536,126788
63,5287,11890,10079,7488,4999,5920,9854,3993,5471,3141,2466,438,12497,6911,10245,6927,4387,111993
64,4702,6333,4831,3237,4441,9214,9555,10421,3330,5527,4106,1921,4687,3800,4703,4888,5013,90709
65,9818,11113,7626,17128,4651,5069,8972,6935,10989,9736,7139,4826,8358,5895,7497,5652,4386,135790
66,13514,14483,14239,13310,6852,8516,9256,9139,5977,3318,8563,8234,9415,5914,8880,921,4660,145191
67,10829,13913,8615,12329,9407,7325,8016,5102,5473,10692,2307,4614,8759,3508,8357,6582,4253,130081
68,11888,16768,10131,7174,12444,8888,8727,3297,4089,10046,10501,4556,12287,2918,4877,8345,13623,150559
69,8596,7633,11379,7999,6849,12181,17542,3321,7008,5708,4617,871,12384,6100,3783,6572,9736,132279
70,3610,6324,7885,10303,7445,12455,8801,2094,5700,8133,5268,7566,5536,7056,2954,5036,2055,108221
71,10282,5246,9064,9944,8435,14317,9247,3945,3418,6803,11356,3830,6934,9549,13776,8493,1236,135875
72,9750,8696,12913,6208,6545,9949,13783,14145,7272,3182,4887,5594,8401,7406,689,2604,8248,130272
73,9506,12039,7399,13436,7542,9047,5071,8331,5651,14892,5917,10991,6992,11932,8584,8967,5009,151306
74,8518,8897,3541,6593,7546,11327,4674,8097,7096,6047,2362,9375,16293,3554,7103,4448,4564,120035
75,8316,10309,6546,9002,10246,10897,11064,8375,3815,8192,4440,7133,5868,5432,6319,7185,4875,128014
76,13953,10057,9364,19111,8099,8918,12797,9165,7409,11520,5417,7939,6388,3470,11317,4980,7085,156989
77,11165,10084,5397,8912,5002,7178,10734,4676,4158,4161,4892,3345,6058,6542,6971,3904,8030,111209
78,12762,17964,9203,8638,8575,7207,6576,6855,6460,4137,254,5634,8907,9172,3690,8246,10636,134916
79,12668,13647,12715,6149,8508,12850,9730,6688,5583,10021,8233,7846,8930,9722,10275,7421,7609,158595
80,6533,12617,13222,14425,10929,17062,12418,3983,6886,886,5978,5424,21753,7181,454,6939,1562,148252
81,9610,10889,9290,9490,10055,5246,8559,4096,6320,8209,8029,6069,10695,5267,6571,3889,1857,124141
82,9245,8446,9848,9539,6204,8141,10375,1771,5869,7778,1246,5129,6774,3570,3144,8767,4839,110685
83,5897,9272,11587,11677,9391,11216,19441,11941,10657,3376,7839,6028,8280,2631,6973,5180,6261,147647
84,9314,7508,13530,16728,9614,8538,5489,5573,2285,9938,5022,1930,5908,5015,13639,9589,3734,133354
85,4573,7418,9042,9863,9104,9031,10024,8123,7762,5730,8444,2415,11509,5188,8915,4074,6063,127278
86,6959,10112,9289,9897,7549,8678,18759,8214,5710,1457,7241,5581,11561,2590,5928,297,8756,128578
87,16528,10405,11055,18988,8803,4880,11214,5328,7383,14591,7757,4888,7006,5772,4919,4638,8550,152705
88,7235,11172,12985,11252,9871,13371,11462,4862,4577,3867,2393,2470,7223,5914,3339,7708,9262,128963
89,8238,15474,9133,11623,12746,13894,7381,10120,13843,1802,6315,3656,9791,1972,4166,7534,5922,143610
90,7713,16091,10990,11240,7133,14452,6960,7160,3523,9847,5983,3394,6624,2173,7948,5502,1821,128554
91,7698,9157,10185,14868,10168,13240,17272,11293,4021,5236,5384,5412,8536,3624,3729,5479,1270,136572
92,9954,9683,11543,9816,10273,11715,14510,4380,3436,4287,3146,2113,12566,4491,7188,2660,12078,133839
93,5087,5894,8205,12011,5596,11173,8225,3699,5660,6007,3187,6381,8452,2049,10623,9494,6325,118068
94,7504,5478,9634,6819,7934,10557,9405,4750,7986,4024,7041,6340,4955,4764,8015,3448,3567,112221
95,8864,4651,6475,10086,6222,8017,5366,4932,7910,10576,5285,3187,5412,7638,5516,228,4033,104398
96,12618,8360,6481,10324,6094,12912,6412,10358,11035,6983,7529,8554,9416,7553,1973,4070,5434,136106
97,7725,10193,6843,6339,6691,11895,17499,8970,2451,3077,2345,8500,15327,4199,1590,3249,1195,118088
98,14012,11996,7543,13513,15889,10962,10404,6567,6017,4933,10018,10987,10804,9636,9559,4190,6434,163464
99,13845,9440,9711,12580,10302,11164,14451,7007,2279,8270,3746,3862,11635,4566,4652,5654,8336,141500
100,11815,9404,12619,12146,11436,9047,9723,5845,4436,4202,8515,10860,6366,1002,8221,9040,3750,138427
101,9754,17319,8114,11663,10313,13587,10069,8015,8287,4096,1968,6785,4360,4676,7692,3768,414,130880
102,14666,8387,11645,11422,9498,9497,17361,4295,7125,9849,7821,8851,5881,8588,7951,9465,2104,154406
103,12865,8915,10195,13395,7527,11672,11534,5551,5735,1791,1158,12546,14809,4275,4997,3858,3429,134252
104,12142,12806,13803,11571,8901,9051,11631,4095,4637,5259,6897,5889,8902,3517,5305,1213,2254,127873
105,9013,12489,16770,8363,7517,13704,15011,11804,1566,5373,9570,1794,7745,6275,2458,5622,3167,138241
106,16579,9165,9635,8886,7554,16318,4409,2458,7548,10076,4583,376,9080,5270,12942,3407,7208,135494
107,5787,7783,9549,10824,10173,12350,7928,4063,10588,6833,7275,8047,6111,3925,3212,4580,2742,121770
108,5186,6372,12992,11214,8980,12954,20179,10297,7951,4986,2240,4263,6435,4443,4292,4601,4046,131431
109,15293,10345,9351,20911,9247,8301,13857,5518,9160,8176,7807,8615,14581,1650,6611,9712,13284,172419
110,18156,9983,10375,9613,10908,14517,16571,8188,7080,10533,4028,1452,10979,4782,3852,3715,856,145588
111,10797,13177,11351,22401,14808,15956,9913,8698,8637,3752,6861,1762,9060,10099,5014,10363,3141,165790
112,8341,13607,11944,15973,13702,15872,13346,2905,2505,10748,1434,4819,5874,4739,3256,2999,7635,139699
113,8368,10028,13403,13397,8125,11618,14006,8255,4117,8288,7908,5088,8612,4379,2846,3078,5608,137124
114,12540,10504,10602,11739,8945,14338,9045,5773,3067,4225,2238,4020,11321,2860,11445,6250,3645,132557
115,9535,8084,10475,7622,8641,15744,10645,4191,14151,4566,10345,3107,15421,6150,1152,2962,3977,136768
116,10428,8814,10300,10124,7168,13507,13972,5578,3473,6526,2588,3443,6166,7997,6080,3229,6223,125616
117,10436,12510,9187,10085,12617,18229,4104,3807,5427,1481,10226,6900,9021,7732,2963,7087,1728,133540
118,11439,10618,8713,8403,10366,9180,14978,1683,1626,9744,4039,8566,13277,1832,3466,7023,2503,127456
119,9166,16110,10315,7852,6158,9528,18231,5155,8074,5825,4468,7725,12274,4037,10188,5543,10501,151150
120,11941,18264,12924,11281,8449,9613,20149,7430,6634,8982,9780,8922,20759,10273,6471,6190,7658,185720
121,37367,19355,16233,20030,14637,17647,17586,10506,11310,9431,9844,8219,3819,4147,5737,9227,6425,221520
122,2785,3126,7002,2793,6379,8761,8211,5438,7599,8601,10133,15601,10298,4979,7835,5944,8124,123609
123,5090,5209,4393,10423,8242,8475,8355,11298,11589,9254,9033,7819,3512,10290,6490,8261,15087,142820
124,10650,16022,15843,13953,10440,12775,12665,13647,13308,10903,10799,7485,4105,6716,9141,16152,9117,193721
125,7652,8770,12541,7304,9411,7567,5000,7515,5452,5158,4504,25805,6285,5427,4831,9218,5970,138410
126,14863,12250,13368,10670,7943,11766,7527,3796,9049,10431,7210,25943,8517,7709,3493,13399,6099,174033
127,16535,13312,15926,9971,16530,11612,8255,6983,8571,10563,4806,19017,10412,10656,11032,8919,13556,196656
128,4278,2886,4766,3191,4047,2124,4740,5692,3984,8585,9010,11993,5505,8063,5169,5595,5885,95513
129,8605,7359,4370,4462,7334,8254,7587,4723,8484,9254,9462,7351,8386,5569,5808,5565,11158,123731
130,20647,19577,25548,17590,17644,10268,12246,11087,13382,9487,8092,12248,10111,3995,2678,4796,4105,203501
131,27612,26991,13784,14271,10480,7149,8579,9864,8747,12272,6728,5567,1469,2075,3750,8622,2907,170867
132,8423,5938,2145,12578,13066,9193,7715,6857,9822,12399,13943,6135,2459,6428,4126,4485,3603,129315
133,4097,2364,9329,10728,7607,8126,6137,5740,5476,7466,9957,4354,3687,4942,3863,2800,2044,98717
134,2482,7183,5050,8471,9395,1041,4276,10378,9021,6585,6062,3460,4126,2610,3420,3423,4608,91591
135,7726,6891,7430,9002,2655,6135,5359,6194,5603,4409,2991,3292,2562,2387,5137,2579,2170,82522
136,8544,4648,6984,6042,7651,7182,6147,7330,8990,4699,9811,4602,6856,6982,5157,4595,1051,107271
137,2967,8065,4573,3177,6411,7453,10060,12394,8028,6799,5706,5939,3515,2707,4438,681,1917,94830
138,6767,2084,5282,6704,10150,4734,5467,5199,9266,6508,5733,7397,3418,4748,1179,5028,5127,94791
139,4826,4190,5149,5650,6338,7776,9508,4696,3608,1928,6320,5580,3450,2178,3877,3526,2344,80944
140,9385,9736,8381,9710,7242,1897,3219,1900,5253,5343,3417,4851,3037,1790,3649,1893,6467,87170
141,7645,11640,2751,3678,3063,3534,777,1692,4682,2948,2636,860,2606,3861,2839,1439,2207,58858
142,10829,3640,6134,9855,1068,5913,4296,9243,7077,4532,7699,2943,1536,3369,5241,3848,1414,88637
143,9351,4954,2488,9151,3463,6636,8905,6125,8036,7185,7602,1332,642,2472,2066,5633,2107,88148
144,2075,10745,10040,1010,4850,2645,6421,5074,4906,7560,7978,1575,2419,6001,3547,2081,2231,81158
145,7697,5817,12430,7803,5957,13496,6578,3995,2542,7008,7613,8036,7739,4808,5894,3381,7509,118303
146,10725,8909,1426,2404,9728,4017,7790,7041,10090,12920,12896,2691,3550,6243,4468,1846,5052,111796
147,3331,5480,6707,2989,4299,2263,2577,1594,6206,744,6477,2342,379,2610,2736,2496,725,53955
148,8109,2609,5474,6368,4344,4984,6700,4558,7695,3481,3259,3897,3613,818,1715,7666,1592,76882
149,3924,6522,5951,4471,4843,4343,8775,3439,3857,7836,4340,5966,1505,6481,982,3795,2795,79825
150,4565,4241,6123,9212,6970,10276,6465,12423,12320,9925,7391,4111,2258,5896,8831,3209,5162,119378
151,5850,13592,5363,5881,2237,3536,3059,3784,3726,2667,2150,3802,2934,2363,2464,3327,2754,69489
152,3957,3531,1908,9930,14748,5577,11851,9167,6867,5390,4548,7146,3600,1768,3485,2727,1684,97884
153,3481,3053,2655,3917,4132,5342,3204,7820,5055,2998,4427,1464,1679,248,2168,3594,907,56144
154,7449,10272,11550,7325,10498,10188,13301,13020,11138,11189,6759,15356,4098,10275,6142,2997,10739,162296
155,2605,10400,5573,5855,8458,7991,3909,6178,6244,13961,3320,3602,4668,3102,5609,4473,2087,98035
156,1237,9633,5073,4557,12641,9645,6199,4375,10964,5008,8399,1336,3966,3467,1421,4772,1825,94518
157,2891,10097,7388,2996,5856,10588,12934,10248,7970,5057,13348,2838,2027,2258,4066,3736,1225,105523
158,7244,3380,5302,6099,2345,756,6403,2984,5766,4589,4982,6398,1356,2415,2771,2904,1165,66859
159,9028,3939,1312,18909,13790,8237,6451,7172,7805,8672,9481,12073,2710,2360,3641,3469,1735,120784
160,8523,11333,7496,12467,4007,5857,12534,13366,7989,10919,9315,10055,2807,4269,8653,1883,740,132213
