node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
37,70967,92734,90566,93574,69798,69213,86079,79996,104784,115397,95187,91172,93527,81814,81899,71728,77018,73275,69312,68023,86089,70927,77257,70401,69157,2049894
38,70651,64172,75704,89175,82193,68812,59249,89542,99766,107485,98857,95723,81045,86318,80700,73500,77139,66147,80465,72076,70868,70596,70135,68117,65489,1963924
39,62886,78071,85188,93562,86808,79344,65906,82661,102325,104208,113522,92515,87702,81803,79965,80629,76149,80025,79930,67368,74978,67877,74182,69395,72279,2039278
40,66467,75384,97031,83569,76219,57452,67793,81239,108416,109277,114081,89820,95291,85167,82256,83135,84143,79963,73172,72195,72658,70823,64748,69335,68177,2027811
41,69572,75627,88971,79902,81335,65439,69796,90972,102235,109652,101209,109072,86980,84660,74801,81422,75302,74437,74845,79125,71974,70202,71197,65251,75920,2029898
42,82645,65070,70014,85538,76494,63326,67661,76126,99877,110268,102218,100633,89178,81702,76523,77369,76627,72980,71819,75142,76484,74842,72667,66421,69061,1980685
43,78091,86862,71241,78648,93744,75876,77486,61532,108874,116389,113907,104218,99362,82876,77552,80209,74804,84054,78190,80043,72260,74497,80179,73200,74288,2098382
44,64124,79124,67372,66566,82068,67243,68369,60849,106350,108990,107709,95182,97490,85414,78300,71985,66910,81506,72138,67262,75986,74775,71739,69649,64452,1951552
45,75472,87816,70163,73990,83953,69292,77059,53800,110920,115229,103148,98005,89890,96350,76313,84817,74565,75189,73218,66223,72890,76130,67888,67076,72680,2012076
46,64400,73063,65529,70005,81960,71768,70413,59611,112912,103842,99887,91413,86197,85876,73135,83367,84114,83558,72059,75072,78244,74620,71277,69950,66659,1968931
47,81099,70675,96375,73344,69359,89011,68854,77201,116683,119549,106527,99742,94015,83665,95853,82789,76832,80016,73509,72921,79069,71458,73745,70841,75627,2098759
48,65360,68182,88311,75769,67139,88707,72613,74525,111278,126906,105640,97537,99486,83135,75571,70147,81877,83281,76640,70466,77017,73779,75262,74061,71031,2053720
49,87461,75038,80461,88400,69676,74301,82468,72079,118035,125650,100827,91632,91016,83656,82954,91587,73225,83974,74859,76839,75670,75577,76178,60246,66774,2078583
50,82879,90563,72781,78574,84071,61832,71715,90187,115063,119015,108178,96275,90050,84807,82831,78044,85774,83206,77862,75670,76457,74652,81320,65669,67361,2094836
51,80564,88924,80124,83304,90770,78323,79182,98146,95205,105327,96132,93251,94972,80630,81255,70763,69344,70285,70290,71895,61543,68430,63826,63062,66191,2001738
