node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
73,3516,341,2546,1805,3508,2093,2336,499,311,332,548,17835
74,2306,3023,2532,1747,6757,4831,4140,2131,1817,39,1277,30600
75,6922,1842,4539,4443,9137,3507,9565,3677,2155,6322,8986,61095
76,3274,1444,2525,3892,3455,1701,1888,142,4029,24,971,23345
77,2552,2094,2322,4791,940,1934,3405,1285,1607,2754,564,24248
78,83,3117,2844,2134,4977,4450,5436,762,5252,1007,2472,32534
79,2170,3061,4779,2609,5326,3110,2342,2822,53,7912,462,34646
80,2053,3561,638,2258,625,547,1424,598,389,802,2610,15505
81,4693,1263,7030,5125,2742,4170,3100,386,2812,233,1211,32765
82,6587,8171,5588,3430,6474,4907,3258,4257,5329,11419,5474,64894
83,4520,3318,1995,3262,2276,4803,2878,1464,2003,1091,1431,29041
84,1964,2252,2462,2364,3766,2434,4597,1223,1102,2640,752,25556
85,85,5400,6142,7491,3866,2501,5574,1095,2154,2096,6755,43159
86,364,3207,3102,2448,5382,3601,5105,4237,169,8639,3009,39263
87,3864,1767,1779,6458,750,2389,2130,2179,164,1806,594,23880
88,5704,4614,3548,4400,2545,5521,2242,873,2761,1631,1905,35744
89,9617,6745,8850,7515,5433,7494,4789,2716,3211,9434,8480,74284
90,6326,2973,1940,2432,3582,4769,4822,1225,3154,1070,1374,33667
91,3790,3238,3375,4381,2524,4362,3805,2478,3936,8695,1511,42095
92,823,2065,5589,484,3186,1693,3245,2632,7006,1983,6215,34921
93,9165,8314,5289,6021,3123,4271,5035,5378,501,6634,1265,54996
94,10699,5368,5117,5284,1834,3664,1373,1169,1506,1647,1059,38720
95,15343,11105,4544,5524,4368,4512,5844,2176,2150,1594,3169,60329
96,6735,5203,3767,4904,3964,6136,5692,3407,6199,10851,7650,64508
97,4852,7353,3429,2242,2554,4760,3908,1784,5515,4566,2611,43574
